Algorithm,User,Epsilon,Threshold,LearningRate,Discount,Accuracy,StateAccuracy,Reward
SARSA,U_1,0.01,0.05,0.0001,0.05,0.4050632911392405,"[0.7708333333333334, 0.18604651162790697, 0.4583333333333333]",0.3103818241608891
SARSA,U_1,0.1,0.1,0.0001,0.2,0.684931506849315,"[0.75, 0.7073170731707317, 0.5]",0.67819684552499
SARSA,U_1,0.1,0.2,0.1,0.1,0.676923076923077,"[0.7368421052631579, 0.7222222222222222, 0.4]",0.684872283741128
SARSA,U_1,0.1,0.3,0.001,0.8,0.6666666666666666,"[0.6842105263157895, 0.6774193548387096, 0.5714285714285714]",0.665866219553023
SARSA,U_1,0.1,0.4,0.5,0.05,0.5714285714285714,"[0.4375, 0.6538461538461539, 0.5714285714285714]",0.5816761293068761
SARSA,U_1,0.1,0.5,0.5,0.8,0.6829268292682927,"[0.75, 0.6666666666666666, 0.5]",0.6504494981724226
SARSA,U_1,0.1,0.6,0.01,0.5,0.6363636363636364,"[0.8571428571428571, 0.5333333333333333, 0.25]",0.5692644138240955
SARSA,U_1,0.1,0.7,0.01,0.1,0.72,"[0.75, 0.8, 0.3333333333333333]",0.6828501249543906
SARSA,U_1,0.1,0.8,0.1,0.1,0.7058823529411765,"[0.75, 0.7142857142857143, 0.5]",0.6983648378434579
SARSA,U_1,0.05,0.9,0.5,0.2,0.6666666666666666,"[0.75, 0.75, 0.0]",0.6388078145757574
SARSA,U_10,0.1,0.05,0.1,0.2,0.5,"[0.6621621621621622, 0.7328767123287672, 0.12903225806451613]",0.5499648570242573
SARSA,U_10,0.01,0.1,0.1,0.2,0.389937106918239,"[0.19444444444444445, 0.746031746031746, 0.13333333333333333]",0.45046006412948514
SARSA,U_10,0.01,0.2,0.5,0.05,0.7659574468085106,"[0.7222222222222222, 0.7254901960784313, 0.8333333333333334]",0.7124704288942392
SARSA,U_10,0.01,0.3,0.5,0.5,0.7338709677419355,"[0.696969696969697, 0.6578947368421053, 0.8113207547169812]",0.704190572268827
SARSA,U_10,0.1,0.4,0.01,0.05,0.7358490566037735,"[0.84375, 0.5428571428571428, 0.8205128205128205]",0.6401515409248977
SARSA,U_10,0.01,0.5,0.1,0.2,0.8068181818181818,"[0.8260869565217391, 0.6666666666666666, 0.8947368421052632]",0.7268209190615916
SARSA,U_10,0.05,0.6,0.1,0.5,0.8028169014084507,"[0.8235294117647058, 0.6666666666666666, 0.8787878787878788]",0.7133445291461774
SARSA,U_10,0.01,0.7,0.1,0.1,0.8679245283018868,"[0.8571428571428571, 0.5555555555555556, 0.9666666666666667]",0.775705580409961
SARSA,U_10,0.01,0.8,0.1,0.5,0.8888888888888888,"[0.5, 0.6, 0.9655172413793104]",0.8352077592385487
SARSA,U_10,0.05,0.9,0.1,0.2,0.7777777777777778,"[0.5, 0.6, 0.9090909090909091]",0.7081662183392763
SARSA,U_11,0.01,0.05,0.5,0.1,0.0958904109589041,"[0.29411764705882354, 0.0625, 0.0]",0.08003675971066766
SARSA,U_11,0.1,0.1,0.0001,0.1,0.35294117647058826,"[0.25, 0.7142857142857143, 0.0]",0.48510474143724236
SARSA,U_11,0.1,0.2,0.0001,0.2,0.43333333333333335,"[0.25, 0.8571428571428571, 0.0]",0.5562610723731451
SARSA,U_11,0.1,0.3,0.1,0.05,0.11538461538461539,"[0.5, 0.16666666666666666, 0.0]",0.13776264360073204
SARSA,U_11,0.1,0.4,0.5,0.8,0.391304347826087,"[0, 0.8181818181818182, 0.0]",0.48764831947989257
SARSA,U_11,0.01,0.5,0.5,0.8,0.3157894736842105,"[0, 0.8571428571428571, 0.0]",0.47573217848888527
SARSA,U_11,0.1,0.6,0.1,0.1,0.4666666666666667,"[0, 0.6666666666666666, 0.4166666666666667]",0.5818830638780865
SARSA,U_11,0.01,0.7,0.5,0.1,0.0,"[0, 0, 0.0]",7.04319126996442e-23
SARSA,U_11,0.1,0.8,0.1,0.2,0.875,"[0, 0, 0.875]",0.8413943301007425
SARSA,U_11,0.1,0.9,0.1,0.2,1.0,"[0, 0, 1.0]",1.0
SARSA,U_12,0.01,0.05,0.0001,0.05,0.31543624161073824,"[0.7317073170731707, 0.10638297872340426, 0.5]",0.207975650177255
SARSA,U_12,0.1,0.1,0.0001,0.1,0.3333333333333333,"[0.75, 0.14893617021276595, 0.6666666666666666]",0.28811142602984097
SARSA,U_12,0.1,0.2,0.0001,0.1,0.7049180327868853,"[0.8, 0.6585365853658537, 0.8]",0.6211274716888885
SARSA,U_12,0.1,0.3,0.01,0.05,0.7407407407407407,"[0.6153846153846154, 0.7837837837837838, 0.75]",0.7759162515050797
SARSA,U_12,0.05,0.4,0.5,0.05,0.8043478260869565,"[0.8181818181818182, 0.8064516129032258, 0.75]",0.7900526288140913
SARSA,U_12,0.01,0.5,0.5,0.2,0.7894736842105263,"[0.8181818181818182, 0.7916666666666666, 0.6666666666666666]",0.8035143174369315
SARSA,U_12,0.1,0.6,0.01,0.05,0.8064516129032258,"[0.6666666666666666, 0.8636363636363636, 0.6666666666666666]",0.8482961203506428
SARSA,U_12,0.01,0.7,0.5,0.1,0.6086956521739131,"[0.8, 0.5333333333333333, 0.6666666666666666]",0.5079370056058403
SARSA,U_12,0.01,0.8,0.1,0.1,0.75,"[0.8, 0.7, 1.0]",0.7678573717335753
SARSA,U_12,0.1,0.9,0.0001,0.05,0.75,"[1.0, 0.6, 1.0]",0.6670250239516721
SARSA,U_13,0.05,0.05,0.1,0.5,0.24786324786324787,"[0.47619047619047616, 0.16176470588235295, 0.2857142857142857]",0.23446804387792455
SARSA,U_13,0.1,0.1,0.001,0.1,0.6666666666666666,"[0.5, 0.6875, 0.75]",0.7282035927100535
SARSA,U_13,0.01,0.2,0.5,0.8,0.5416666666666666,"[0.4444444444444444, 0.7037037037037037, 0.25]",0.6613936513418963
SARSA,U_13,0.1,0.3,0.1,0.1,0.6190476190476191,"[0.2, 0.72, 0.5833333333333334]",0.6798776814816837
SARSA,U_13,0.1,0.4,0.1,0.2,0.6666666666666666,"[0.4, 0.7142857142857143, 0.7]",0.6888271539213384
SARSA,U_13,0.1,0.5,0.1,0.9,0.5,"[0.6666666666666666, 0.6470588235294118, 0.2]",0.5738188103259839
SARSA,U_13,0.05,0.6,0.1,0.5,0.625,"[0.6666666666666666, 0.5833333333333334, 0.6666666666666666]",0.6434922398280459
SARSA,U_13,0.1,0.7,0.01,0.2,0.4444444444444444,"[1.0, 0.6666666666666666, 0.125]",0.5570528239732595
SARSA,U_13,0.1,0.8,0.1,0.9,0.6666666666666666,"[0.0, 0.6666666666666666, 0.8]",0.7050866911966339
SARSA,U_13,0.1,0.9,0.5,0.2,0.5,"[0, 0.6666666666666666, 0.3333333333333333]",0.4852245324813999
SARSA,U_14,0.05,0.05,0.01,0.5,0.17391304347826086,"[0.25, 0.13636363636363635, 0.16666666666666666]",0.2067573344069531
SARSA,U_14,0.1,0.1,0.5,0.8,0.18604651162790697,"[0.3333333333333333, 0.13636363636363635, 0.16666666666666666]",0.2927572220550918
SARSA,U_14,0.1,0.2,0.001,0.9,0.5526315789473685,"[0.75, 0.7222222222222222, 0.16666666666666666]",0.6048063104831563
SARSA,U_14,0.1,0.3,0.0001,0.8,0.7878787878787878,"[0.75, 0.7857142857142857, 0.8181818181818182]",0.7778981843791162
SARSA,U_14,0.1,0.4,0.1,0.5,0.4482758620689655,"[0.625, 0.6363636363636364, 0.1]",0.5496234574325735
SARSA,U_14,0.1,0.5,0.1,0.9,0.4583333333333333,"[0.8333333333333334, 0.5, 0.2]",0.4137382572600225
SARSA,U_14,0.1,0.6,0.5,0.8,0.5263157894736842,"[0.8333333333333334, 0.0, 0.8333333333333334]",0.0379183090736689
SARSA,U_14,0.1,0.7,0.5,0.05,0.5333333333333333,"[0.16666666666666666, 0.75, 0.8]",0.542354787368578
SARSA,U_14,0.05,0.8,0.5,0.5,0.6,"[0.0, 0.25, 1.0]",0.2501543095787955
SARSA,U_14,0.1,0.9,0.1,0.1,0.6,"[0, 0, 0.6]",1.0
SARSA,U_15,0.01,0.05,0.01,0.2,0.14482758620689656,"[0.32, 0.0784313725490196, 0.2777777777777778]",0.11743439207004118
SARSA,U_15,0.1,0.1,0.1,0.8,0.7611940298507462,"[0.6363636363636364, 0.8297872340425532, 0.5555555555555556]",0.7995261551948354
SARSA,U_15,0.05,0.2,0.5,0.1,0.6333333333333333,"[0.09090909090909091, 0.85, 0.3333333333333333]",0.7891875465649444
SARSA,U_15,0.1,0.3,0.5,0.5,0.5961538461538461,"[0.09090909090909091, 0.8108108108108109, 0.0]",0.7801195125334272
SARSA,U_15,0.1,0.4,0.1,0.2,0.6666666666666666,"[0.5454545454545454, 0.7333333333333333, 0.5]",0.7491234350557896
SARSA,U_15,0.01,0.5,0.5,0.05,0.7567567567567568,"[0.625, 0.84, 0.5]",0.8241470801422593
SARSA,U_15,0.05,0.6,0.5,0.05,0.5333333333333333,"[0.125, 0.7222222222222222, 0.5]",0.6635634315158442
SARSA,U_15,0.01,0.7,0.5,0.1,0.6956521739130435,"[0.0, 0.8235294117647058, 0.5]",0.7309224016333135
SARSA,U_15,0.05,0.8,0.5,0.1,0.4666666666666667,"[0.0, 0.7, 0.0]",0.638976706576008
SARSA,U_15,0.01,0.9,0.5,0.5,0.625,"[0, 0.8333333333333334, 0.0]",0.6517121855920098
SARSA,U_16,0.01,0.05,0.01,0.05,0.23275862068965517,"[0.5, 0.15, 0.35]",0.2501888349800945
SARSA,U_16,0.01,0.1,0.5,0.2,0.6666666666666666,"[0.5714285714285714, 0.7567567567567568, 0.4]",0.7082678801897796
SARSA,U_16,0.1,0.2,0.0001,0.1,0.6666666666666666,"[0.7142857142857143, 0.75, 0.3333333333333333]",0.7440285719498049
SARSA,U_16,0.1,0.3,0.001,0.05,0.5952380952380952,"[0.4, 0.6785714285714286, 0.4444444444444444]",0.6063429896357441
SARSA,U_16,0.1,0.4,0.1,0.05,0.6111111111111112,"[0.6, 0.7083333333333334, 0.2857142857142857]",0.6798646017641052
SARSA,U_16,0.01,0.5,0.5,0.1,0.5666666666666667,"[0.5, 0.7368421052631579, 0.14285714285714285]",0.647612378805843
SARSA,U_16,0.1,0.6,0.01,0.1,0.4166666666666667,"[0.5, 0.46153846153846156, 0.2857142857142857]",0.5208198864274912
SARSA,U_16,0.1,0.7,0.001,0.05,0.4444444444444444,"[0.5, 0.45454545454545453, 0.3333333333333333]",0.456248867815333
SARSA,U_16,0.1,0.8,0.5,0.2,0.5,"[0.5, 0.5714285714285714, 0.3333333333333333]",0.6070929279177478
SARSA,U_16,0.1,0.9,0.0001,0.2,0.5,"[0.5, 0.6666666666666666, 0.0]",0.587681504480777
SARSA,U_17,0.1,0.05,0.0001,0.2,0.4235294117647059,"[0.7727272727272727, 0.19791666666666666, 0.6333333333333333]",0.37644719283970224
SARSA,U_17,0.1,0.1,0.001,0.8,0.6582278481012658,"[0.7, 0.7045454545454546, 0.4666666666666667]",0.6473934657111395
SARSA,U_17,0.1,0.2,0.0001,0.8,0.7142857142857143,"[0.7894736842105263, 0.717948717948718, 0.5833333333333334]",0.6882152717479797
SARSA,U_17,0.1,0.3,0.1,0.1,0.6065573770491803,"[0.7368421052631579, 0.6, 0.2857142857142857]",0.6253380474972654
SARSA,U_17,0.1,0.4,0.1,0.2,0.7169811320754716,"[0.75, 0.7666666666666667, 0.42857142857142855]",0.7277382880557478
SARSA,U_17,0.1,0.5,0.5,0.8,0.6590909090909091,"[0.7142857142857143, 0.6666666666666666, 0.5]",0.6456570006740232
SARSA,U_17,0.05,0.6,0.5,0.5,0.7142857142857143,"[0.7857142857142857, 0.6875, 0.6]",0.7451022662069067
SARSA,U_17,0.1,0.7,0.0001,0.2,0.7037037037037037,"[0.9230769230769231, 0.5555555555555556, 0.4]",0.6031368358345223
SARSA,U_17,0.1,0.8,0.5,0.2,0.7222222222222222,"[1.0, 0.6666666666666666, 0.25]",0.6701577146652171
SARSA,U_17,0.05,0.9,0.5,0.9,0.4444444444444444,"[1.0, 0.75, 0.0]",0.5910508276003337
SARSA,U_18,0.01,0.05,0.01,0.5,0.25,"[0.8, 0.1724137931034483, 0.1]",0.207151081919503
SARSA,U_18,0.1,0.1,0.5,0.9,0.717948717948718,"[0.5714285714285714, 0.5384615384615384, 0.8947368421052632]",0.7518186525258524
SARSA,U_18,0.1,0.2,0.1,0.05,0.5428571428571428,"[0.42857142857142855, 0.7, 0.5]",0.6073700902552611
SARSA,U_18,0.05,0.3,0.1,0.05,0.1935483870967742,"[0.14285714285714285, 0.6666666666666666, 0.05555555555555555]",0.2932315033738207
SARSA,U_18,0.1,0.4,0.1,0.05,0.6923076923076923,"[0.2857142857142857, 0.6666666666666666, 0.9230769230769231]",0.7656251997638029
SARSA,U_18,0.01,0.5,0.5,0.05,0.5,"[0.14285714285714285, 0.3333333333333333, 0.8888888888888888]",0.49179717110235144
SARSA,U_18,0.1,0.6,0.0001,0.05,0.4444444444444444,"[0.0, 0.6666666666666666, 0.8]",0.6778185111782546
