Unnamed: 0,Interaction,Value,Time,Attribute,User_Index
816,mouseover a related chart,"mark:point;encoding:IMDB_Rating-quantitative-x,Release_Date-nominal-row,US_Gross-quantitative-y",1604515924175,"['IMDB_Rating', 'Release_Date', 'US_Gross']",816
817,mouseout a related chart,"mark:point;encoding:IMDB_Rating-quantitative-x,Release_Date-nominal-row,US_Gross-quantitative-y",1604515924191,"['IMDB_Rating', 'Release_Date', 'US_Gross']",817
818,mouseover a related chart,"mark:point;encoding:IMDB_Rating-quantitative-x,IMDB_Votes-quantitative-size,US_Gross-quantitative-y",1604515924192,"['IMDB_Rating', 'IMDB_Votes', 'US_Gross']",818
819,mouseout a related chart,"mark:point;encoding:IMDB_Rating-quantitative-x,IMDB_Votes-quantitative-size,US_Gross-quantitative-y",1604515924209,"['IMDB_Rating', 'IMDB_Votes', 'US_Gross']",819
820,mouseover a related chart,"mark:point;encoding:IMDB_Rating-quantitative-x,IMDB_Votes-quantitative-size,US_Gross-quantitative-y",1604515924210,"['IMDB_Rating', 'IMDB_Votes', 'US_Gross']",820
821,mouseout a related chart,"mark:point;encoding:IMDB_Rating-quantitative-x,IMDB_Votes-quantitative-size,US_Gross-quantitative-y",1604515928548,"['IMDB_Rating', 'IMDB_Votes', 'US_Gross']",821
822,mouseover a related chart,"mark:point;encoding:IMDB_Rating-quantitative-x,IMDB_Votes-quantitative-size,US_Gross-quantitative-y",1604515928548,"['IMDB_Rating', 'IMDB_Votes', 'US_Gross']",822
823,mouseout a related chart,"mark:point;encoding:IMDB_Rating-quantitative-x,IMDB_Votes-quantitative-size,US_Gross-quantitative-y",1604515928565,"['IMDB_Rating', 'IMDB_Votes', 'US_Gross']",823
835,mouseover a related chart,"mark:point;encoding:IMDB_Rating-quantitative-x,Production_Budget-quantitative-size,US_Gross-quantitative-y",1604515929498,"['IMDB_Rating', 'Production_Budget', 'US_Gross']",835
836,mouseout a related chart,"mark:point;encoding:IMDB_Rating-quantitative-x,Production_Budget-quantitative-size,US_Gross-quantitative-y",1604515929514,"['IMDB_Rating', 'Production_Budget', 'US_Gross']",836
837,mouseover a related chart,"mark:point;encoding:IMDB_Rating-quantitative-x,Production_Budget-quantitative-size,US_Gross-quantitative-y",1604515929514,"['IMDB_Rating', 'Production_Budget', 'US_Gross']",837
838,mouseout a related chart,"mark:point;encoding:IMDB_Rating-quantitative-x,Production_Budget-quantitative-size,US_Gross-quantitative-y",1604515930346,"['IMDB_Rating', 'Production_Budget', 'US_Gross']",838
839,mouseover a related chart,"mark:point;encoding:IMDB_Rating-quantitative-x,Production_Budget-quantitative-size,US_Gross-quantitative-y",1604515930346,"['IMDB_Rating', 'Production_Budget', 'US_Gross']",839
840,mouseout a related chart,"mark:point;encoding:IMDB_Rating-quantitative-x,Production_Budget-quantitative-size,US_Gross-quantitative-y",1604515930698,"['IMDB_Rating', 'Production_Budget', 'US_Gross']",840
841,added chart to bookmark,"mark:point;encoding:IMDB_Rating-quantitative-x,Production_Budget-quantitative-size,US_Gross-quantitative-y",1604515931115,"['IMDB_Rating', 'Production_Budget', 'US_Gross']",841
842,mouseover a related chart,"mark:point;encoding:IMDB_Rating-quantitative-x,Production_Budget-quantitative-size,US_Gross-quantitative-y",1604515931514,"['IMDB_Rating', 'Production_Budget', 'US_Gross']",842
860,mouseout a related chart,"mark:point;encoding:IMDB_Rating-quantitative-x,Production_Budget-quantitative-size,US_Gross-quantitative-y",1604515932753,"['IMDB_Rating', 'Production_Budget', 'US_Gross']",860
861,mouseover a related chart,"mark:point;encoding:IMDB_Rating-quantitative-x,Release_Date-nominal-row,US_Gross-quantitative-y",1604515932753,"['IMDB_Rating', 'Release_Date', 'US_Gross']",861
886,mouseout a related chart,"mark:point;encoding:IMDB_Rating-quantitative-x,Release_Date-nominal-row,US_Gross-quantitative-y",1604515933248,"['IMDB_Rating', 'Release_Date', 'US_Gross']",886
887,mouseover a related chart,"mark:point;encoding:Creative_Type-nominal-color,IMDB_Rating-quantitative-x,US_Gross-quantitative-y",1604515933248,"['Creative_Type', 'IMDB_Rating', 'US_Gross']",887
888,mouseout a related chart,"mark:point;encoding:Creative_Type-nominal-color,IMDB_Rating-quantitative-x,US_Gross-quantitative-y",1604515933331,"['Creative_Type', 'IMDB_Rating', 'US_Gross']",888
889,clicked on a field,add Major_Genre,1604515934913,['None'],889
890,main chart changed because of clicking a field,"mark:point;encoding:IMDB_Rating-quantitative-size<aggregate>mean,Major_Genre-nominal-x,US_Gross-quantitative-y<bin>",1604515935130,"['IMDB_Rating', 'Major_Genre', 'US_Gross']",890
891,clicked on a field,remove IMDB_Rating,1604515936053,['None'],891
892,main chart changed because of clicking a field,"mark:tick;encoding:Major_Genre-nominal-y,US_Gross-quantitative-x",1604515936114,"['Major_Genre', 'US_Gross']",892
894,clicked on a field,add IMDB_Rating,1604515937005,['None'],894
895,main chart changed because of clicking a field,"mark:point;encoding:IMDB_Rating-quantitative-size<aggregate>mean,Major_Genre-nominal-x,US_Gross-quantitative-y<bin>",1604515937058,"['IMDB_Rating', 'Major_Genre', 'US_Gross']",895
896,clicked on a field,remove US_Gross,1604515938520,['None'],896
897,main chart changed because of clicking a field,"mark:tick;encoding:IMDB_Rating-quantitative-x,Major_Genre-nominal-y",1604515938613,"['IMDB_Rating', 'Major_Genre']",897
898,mouseover on the specified chart,"mark:tick;encoding:IMDB_Rating-quantitative-x,Major_Genre-nominal-y",1604515939252,"['IMDB_Rating', 'Major_Genre']",898
899,mouseout on the specified chart,"mark:tick;encoding:IMDB_Rating-quantitative-x,Major_Genre-nominal-y",1604515939373,"['IMDB_Rating', 'Major_Genre']",899
900,mouseover on the specified chart,"mark:tick;encoding:IMDB_Rating-quantitative-x,Major_Genre-nominal-y",1604515939373,"['IMDB_Rating', 'Major_Genre']",900
901,mouseout on the specified chart,"mark:tick;encoding:IMDB_Rating-quantitative-x,Major_Genre-nominal-y",1604515939968,"['IMDB_Rating', 'Major_Genre']",901
902,mouseover on the specified chart,"mark:tick;encoding:IMDB_Rating-quantitative-x,Major_Genre-nominal-y",1604515939968,"['IMDB_Rating', 'Major_Genre']",902
903,mouseout on the specified chart,"mark:tick;encoding:IMDB_Rating-quantitative-x,Major_Genre-nominal-y",1604515940201,"['IMDB_Rating', 'Major_Genre']",903
904,mouseover on the specified chart,"mark:tick;encoding:IMDB_Rating-quantitative-x,Major_Genre-nominal-y",1604515940201,"['IMDB_Rating', 'Major_Genre']",904
905,mouseout on the specified chart,"mark:tick;encoding:IMDB_Rating-quantitative-x,Major_Genre-nominal-y",1604515940251,"['IMDB_Rating', 'Major_Genre']",905
906,mouseover on the specified chart,"mark:tick;encoding:IMDB_Rating-quantitative-x,Major_Genre-nominal-y",1604515942463,"['IMDB_Rating', 'Major_Genre']",906
907,mouseout on the specified chart,"mark:tick;encoding:IMDB_Rating-quantitative-x,Major_Genre-nominal-y",1604515944732,"['IMDB_Rating', 'Major_Genre']",907
908,mouseover on the specified chart,"mark:tick;encoding:IMDB_Rating-quantitative-x,Major_Genre-nominal-y",1604515944732,"['IMDB_Rating', 'Major_Genre']",908
909,mouseout on the specified chart,"mark:tick;encoding:IMDB_Rating-quantitative-x,Major_Genre-nominal-y",1604515944871,"['IMDB_Rating', 'Major_Genre']",909
910,mouseover on the specified chart,"mark:tick;encoding:IMDB_Rating-quantitative-x,Major_Genre-nominal-y",1604515946509,"['IMDB_Rating', 'Major_Genre']",910
911,mouseout on the specified chart,"mark:tick;encoding:IMDB_Rating-quantitative-x,Major_Genre-nominal-y",1604515946541,"['IMDB_Rating', 'Major_Genre']",911
912,mouseover on the specified chart,"mark:tick;encoding:IMDB_Rating-quantitative-x,Major_Genre-nominal-y",1604515946541,"['IMDB_Rating', 'Major_Genre']",912
913,mouseout on the specified chart,"mark:tick;encoding:IMDB_Rating-quantitative-x,Major_Genre-nominal-y",1604515946724,"['IMDB_Rating', 'Major_Genre']",913
914,mouseover on the specified chart,"mark:tick;encoding:IMDB_Rating-quantitative-x,Major_Genre-nominal-y",1604515946724,"['IMDB_Rating', 'Major_Genre']",914
915,mouseout on the specified chart,"mark:tick;encoding:IMDB_Rating-quantitative-x,Major_Genre-nominal-y",1604515947193,"['IMDB_Rating', 'Major_Genre']",915
916,mouseover on the specified chart,"mark:tick;encoding:IMDB_Rating-quantitative-x,Major_Genre-nominal-y",1604515947193,"['IMDB_Rating', 'Major_Genre']",916
917,mouseout on the specified chart,"mark:tick;encoding:IMDB_Rating-quantitative-x,Major_Genre-nominal-y",1604515947292,"['IMDB_Rating', 'Major_Genre']",917
918,mouseover on the specified chart,"mark:tick;encoding:IMDB_Rating-quantitative-x,Major_Genre-nominal-y",1604515947292,"['IMDB_Rating', 'Major_Genre']",918
919,mouseout on the specified chart,"mark:tick;encoding:IMDB_Rating-quantitative-x,Major_Genre-nominal-y",1604515947309,"['IMDB_Rating', 'Major_Genre']",919
920,clicked on a field,remove Major_Genre,1604515951963,['None'],920
921,main chart changed because of clicking a field,mark:tick;encoding:IMDB_Rating-quantitative-x,1604515952098,['IMDB_Rating'],921
922,clicked on a field,add Source,1604515952971,['None'],922
923,main chart changed because of clicking a field,"mark:tick;encoding:IMDB_Rating-quantitative-x,Source-nominal-y",1604515953040,"['IMDB_Rating', 'Source']",923
924,clicked on a field,remove Source,1604515955671,['None'],924
925,main chart changed because of clicking a field,mark:tick;encoding:IMDB_Rating-quantitative-x,1604515955728,['IMDB_Rating'],925
926,clicked on a field,remove undefined,1604515956809,['None'],926
927,main chart changed because of clicking a field,mark:tick;encoding:IMDB_Rating-quantitative-x,1604515956863,['IMDB_Rating'],927
928,mouseover on the specified chart,mark:tick;encoding:IMDB_Rating-quantitative-x,1604515958524,['IMDB_Rating'],928
929,mouseout on the specified chart,mark:tick;encoding:IMDB_Rating-quantitative-x,1604515958540,['IMDB_Rating'],929
942,mouseover a related chart,"mark:tick;encoding:IMDB_Rating-quantitative-x,Title-nominal-y",1604515959329,"['IMDB_Rating', 'Title']",942
943,mouseout a related chart,"mark:tick;encoding:IMDB_Rating-quantitative-x,Title-nominal-y",1604515961170,"['IMDB_Rating', 'Title']",943
944,mouseover a related chart,"mark:tick;encoding:IMDB_Rating-quantitative-x,Title-nominal-y",1604515961170,"['IMDB_Rating', 'Title']",944
945,mouseout a related chart,"mark:tick;encoding:IMDB_Rating-quantitative-x,Title-nominal-y",1604515961186,"['IMDB_Rating', 'Title']",945
980,mouseover a related chart,"mark:tick;encoding:IMDB_Rating-quantitative-x,Release_Date-nominal-y",1604515963511,"['IMDB_Rating', 'Release_Date']",980
981,mouseout a related chart,"mark:tick;encoding:IMDB_Rating-quantitative-x,Release_Date-nominal-y",1604515963528,"['IMDB_Rating', 'Release_Date']",981
982,mouseover a related chart,"mark:tick;encoding:IMDB_Rating-quantitative-x,Release_Date-nominal-y",1604515963528,"['IMDB_Rating', 'Release_Date']",982
983,mouseout a related chart,"mark:tick;encoding:IMDB_Rating-quantitative-x,Release_Date-nominal-y",1604515963578,"['IMDB_Rating', 'Release_Date']",983
984,mouseover a related chart,"mark:tick;encoding:IMDB_Rating-quantitative-x,Release_Date-nominal-y",1604515963578,"['IMDB_Rating', 'Release_Date']",984
985,mouseout a related chart,"mark:tick;encoding:IMDB_Rating-quantitative-x,Release_Date-nominal-y",1604515963594,"['IMDB_Rating', 'Release_Date']",985
986,clicked on a field,remove IMDB_Rating,1604515964537,['None'],986
988,clicked on a field,add Release_Date,1604515965194,['None'],988
989,main chart changed because of clicking a field,"mark:bar;encoding:-quantitative-x<aggregate>count,Release_Date-nominal-y",1604515965236,['Release_Date'],989
991,clicked on a field,add Worldwide_Gross,1604515967697,['None'],991
992,main chart changed because of clicking a field,"mark:tick;encoding:Release_Date-nominal-y,Worldwide_Gross-quantitative-x",1604515967748,"['Release_Date', 'Worldwide_Gross']",992
993,mouseover on the specified chart,"mark:tick;encoding:Release_Date-nominal-y,Worldwide_Gross-quantitative-x",1604515978322,"['Release_Date', 'Worldwide_Gross']",993
994,mouseout on the specified chart,"mark:tick;encoding:Release_Date-nominal-y,Worldwide_Gross-quantitative-x",1604515978725,"['Release_Date', 'Worldwide_Gross']",994
995,mouseover on the specified chart,"mark:tick;encoding:Release_Date-nominal-y,Worldwide_Gross-quantitative-x",1604515978726,"['Release_Date', 'Worldwide_Gross']",995
996,mouseout on the specified chart,"mark:tick;encoding:Release_Date-nominal-y,Worldwide_Gross-quantitative-x",1604515978743,"['Release_Date', 'Worldwide_Gross']",996
997,added chart to bookmark,"mark:tick;encoding:Release_Date-nominal-y,Worldwide_Gross-quantitative-x",1604515979526,"['Release_Date', 'Worldwide_Gross']",997
1154,clicked on a field,remove Worldwide_Gross,1604516007999,['None'],1154
1155,main chart changed because of clicking a field,"mark:bar;encoding:-quantitative-x<aggregate>count,Release_Date-nominal-y",1604516008143,['Release_Date'],1155
1156,clicked on a field,add US_Gross,1604516008721,['None'],1156
1157,main chart changed because of clicking a field,"mark:tick;encoding:Release_Date-nominal-y,US_Gross-quantitative-x",1604516008771,"['Release_Date', 'US_Gross']",1157
1158,clicked on a field,remove US_Gross,1604516011485,['None'],1158
1159,main chart changed because of clicking a field,"mark:bar;encoding:-quantitative-x<aggregate>count,Release_Date-nominal-y",1604516011541,['Release_Date'],1159
