Unnamed: 0,Interaction,Value,Time,Attribute,User_Index
46,mouseover on the specified chart,"mark:point;encoding:Major_Genre-nominal-x,US_DVD_Sales-quantitative-y<bin>,Worldwide_Gross-quantitative-size<aggregate>mean",1604515685093,"['Major_Genre', 'US_DVD_Sales', 'Worldwide_Gross']",46
47,mouseout on the specified chart,"mark:point;encoding:Major_Genre-nominal-x,US_DVD_Sales-quantitative-y<bin>,Worldwide_Gross-quantitative-size<aggregate>mean",1604515696600,"['Major_Genre', 'US_DVD_Sales', 'Worldwide_Gross']",47
48,mouseover on the specified chart,"mark:point;encoding:Major_Genre-nominal-x,US_DVD_Sales-quantitative-y<bin>,Worldwide_Gross-quantitative-size<aggregate>mean",1604515696600,"['Major_Genre', 'US_DVD_Sales', 'Worldwide_Gross']",48
49,mouseout on the specified chart,"mark:point;encoding:Major_Genre-nominal-x,US_DVD_Sales-quantitative-y<bin>,Worldwide_Gross-quantitative-size<aggregate>mean",1604515696617,"['Major_Genre', 'US_DVD_Sales', 'Worldwide_Gross']",49
145,added chart to bookmark,"mark:point;encoding:Major_Genre-nominal-x,US_DVD_Sales-quantitative-y<bin>,Worldwide_Gross-quantitative-size<aggregate>mean",1604515726203,"['Major_Genre', 'US_DVD_Sales', 'Worldwide_Gross']",145
146,mouseover on the specified chart,"mark:point;encoding:Major_Genre-nominal-x,US_DVD_Sales-quantitative-y<bin>,Worldwide_Gross-quantitative-size<aggregate>mean",1604515726896,"['Major_Genre', 'US_DVD_Sales', 'Worldwide_Gross']",146
147,mouseout on the specified chart,"mark:point;encoding:Major_Genre-nominal-x,US_DVD_Sales-quantitative-y<bin>,Worldwide_Gross-quantitative-size<aggregate>mean",1604515726913,"['Major_Genre', 'US_DVD_Sales', 'Worldwide_Gross']",147
163,mouseover a related chart,"mark:point;encoding:-quantitative-size<aggregate>count,Major_Genre-nominal-x,US_DVD_Sales-quantitative-y<bin>",1604515727728,"['Major_Genre', 'US_DVD_Sales']",163
164,mouseout a related chart,"mark:point;encoding:-quantitative-size<aggregate>count,Major_Genre-nominal-x,US_DVD_Sales-quantitative-y<bin>",1604515727909,"['Major_Genre', 'US_DVD_Sales']",164
211,mouseover a related chart,"mark:point;encoding:-quantitative-size<aggregate>count,Major_Genre-nominal-x,US_DVD_Sales-quantitative-y<bin>",1604515739127,"['Major_Genre', 'US_DVD_Sales']",211
212,mouseout a related chart,"mark:point;encoding:-quantitative-size<aggregate>count,Major_Genre-nominal-x,US_DVD_Sales-quantitative-y<bin>",1604515739143,"['Major_Genre', 'US_DVD_Sales']",212
213,mouseover on the specified chart,"mark:point;encoding:Major_Genre-nominal-x,US_DVD_Sales-quantitative-y<bin>,Worldwide_Gross-quantitative-size<aggregate>mean",1604515739242,"['Major_Genre', 'US_DVD_Sales', 'Worldwide_Gross']",213
214,mouseout on the specified chart,"mark:point;encoding:Major_Genre-nominal-x,US_DVD_Sales-quantitative-y<bin>,Worldwide_Gross-quantitative-size<aggregate>mean",1604515739259,"['Major_Genre', 'US_DVD_Sales', 'Worldwide_Gross']",214
215,mouseover on the specified chart,"mark:point;encoding:Major_Genre-nominal-x,US_DVD_Sales-quantitative-y<bin>,Worldwide_Gross-quantitative-size<aggregate>mean",1604515739260,"['Major_Genre', 'US_DVD_Sales', 'Worldwide_Gross']",215
216,mouseout on the specified chart,"mark:point;encoding:Major_Genre-nominal-x,US_DVD_Sales-quantitative-y<bin>,Worldwide_Gross-quantitative-size<aggregate>mean",1604515739326,"['Major_Genre', 'US_DVD_Sales', 'Worldwide_Gross']",216
217,clicked on a field,remove US_DVD_Sales,1604515742185,['None'],217
218,main chart changed because of clicking a field,"mark:tick;encoding:Major_Genre-nominal-y,Worldwide_Gross-quantitative-x",1604515742318,"['Major_Genre', 'Worldwide_Gross']",218
219,clicked on a field,remove Worldwide_Gross,1604515743558,['None'],219
220,main chart changed because of clicking a field,"mark:bar;encoding:-quantitative-x<aggregate>count,Major_Genre-nominal-y",1604515743609,['Major_Genre'],220
221,mouseover on the specified chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Major_Genre-nominal-y",1604515744459,['Major_Genre'],221
222,mouseout on the specified chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Major_Genre-nominal-y",1604515744560,['Major_Genre'],222
223,mouseover on the specified chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Major_Genre-nominal-y",1604515744560,['Major_Genre'],223
224,mouseout on the specified chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Major_Genre-nominal-y",1604515744593,['Major_Genre'],224
254,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-color,Major_Genre-nominal-y",1604515745805,"['Creative_Type', 'Major_Genre']",254
255,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-color,Major_Genre-nominal-y",1604515746559,"['Creative_Type', 'Major_Genre']",255
256,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-color,Major_Genre-nominal-y",1604515746559,"['Creative_Type', 'Major_Genre']",256
257,scroll on a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-color,Major_Genre-nominal-y",1604515749368,"['Creative_Type', 'Major_Genre']",257
258,scroll on a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-color,Major_Genre-nominal-y",1604515749385,"['Creative_Type', 'Major_Genre']",258
259,scroll on a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-color,Major_Genre-nominal-y",1604515749402,"['Creative_Type', 'Major_Genre']",259
