Interaction,Value,Time
main chart changed because of clicking a field,"mark:point;encoding:Release_Date-nominal-y,Source-nominal-x,Worldwide_Gross-quantitative-size",1605899420543
mouseover on the specified chart,"mark:point;encoding:Release_Date-nominal-y,Source-nominal-x,Worldwide_Gross-quantitative-size",1605899437022
mouseout on the specified chart,"mark:point;encoding:Release_Date-nominal-y,Source-nominal-x,Worldwide_Gross-quantitative-size",1605899441453
mouseover on the specified chart,"mark:point;encoding:Release_Date-nominal-y,Source-nominal-x,Worldwide_Gross-quantitative-size",1605899441453
mouseout on the specified chart,"mark:point;encoding:Release_Date-nominal-y,Source-nominal-x,Worldwide_Gross-quantitative-size",1605899441802
added chart to bookmark,"mark:point;encoding:Release_Date-nominal-y,Source-nominal-x,Worldwide_Gross-quantitative-size",1605899442128
opened window,check bookmarks,1605899444109
closed window,check bookmarks,1605899445622
opened window,check bookmarks,1605899454808
typed in answer,B,1605899458198
typed in answer,Ba,1605899458329
typed in answer,Bas,1605899458411
typed in answer,Basi,1605899458501
typed in answer,Basin,1605899458665
typed in answer,Basin ,1605899458877
typed in answer,Basin,1605899459197
typed in answer,Basing,1605899459284
typed in answer,Basing ,1605899459407
typed in answer,Basing o,1605899459549
typed in answer,Basing of,1605899459666
typed in answer,Basing off,1605899459823
typed in answer,Basing off ,1605899460419
typed in answer,Basing off a,1605899460495
typed in answer,Basing off a ,1605899460613
typed in answer,Basing off a b,1605899460752
typed in answer,Basing off a bo,1605899461006
typed in answer,Basing off a boo,1605899461195
typed in answer,Basing off a book,1605899461377
typed in answer,Basing off a book/,1605899462771
typed in answer,Basing off a book/S,1605899463144
typed in answer,Basing off a book/Sh,1605899463236
typed in answer,Basing off a book/Sho,1605899463403
typed in answer,Basing off a book/Shor,1605899463444
typed in answer,Basing off a book/Short,1605899463609
typed in answer,Basing off a book/Short ,1605899463721
typed in answer,Basing off a book/Short s,1605899463924
typed in answer,Basing off a book/Short st,1605899464001
typed in answer,Basing off a book/Short s,1605899464410
typed in answer,Basing off a book/Short ,1605899464562
typed in answer,Basing off a book/Short S,1605899465070
typed in answer,Basing off a book/Short St,1605899465255
typed in answer,Basing off a book/Short Sto,1605899465339
typed in answer,Basing off a book/Short Stor,1605899465456
typed in answer,Basing off a book/Short Story,1605899465564
typed in answer,Basing off a ook/Short Story,1605899467640
typed in answer,Basing off a Book/Short Story,1605899467856
typed in answer,Basing off a Book/Short Story ,1605899470519
typed in answer,Basing off a Book/Short Story a,1605899470570
typed in answer,Basing off a Book/Short Story an,1605899470715
typed in answer,Basing off a Book/Short Story and,1605899470801
typed in answer,Basing off a Book/Short Story and ,1605899470902
typed in answer,Basing off a Book/Short Story and,1605899471578
typed in answer,Basing off a Book/Short Story an,1605899471718
typed in answer,Basing off a Book/Short Story a,1605899471855
typed in answer,Basing off a Book/Short Story ,1605899471985
typed in answer,Basing off a Book/Short Story o,1605899472116
typed in answer,Basing off a Book/Short Story or,1605899472203
typed in answer,Basing off a Book/Short Story or ,1605899472262
typed in answer,Basing off a Book/Short Story or u,1605899472366
typed in answer,Basing off a Book/Short Story or us,1605899472438
typed in answer,Basing off a Book/Short Story or usi,1605899472525
typed in answer,Basing off a Book/Short Story or usin,1605899472680
typed in answer,Basing off a Book/Short Story or using,1605899472735
typed in answer,Basing off a Book/Short Story or using ,1605899472821
typed in answer,Basing off a Book/Short Story or using a,1605899473186
typed in answer,Basing off a Book/Short Story or using an,1605899473294
typed in answer,Basing off a Book/Short Story or using an ,1605899473361
typed in answer,Basing off a Book/Short Story or using an o,1605899473532
typed in answer,Basing off a Book/Short Story or using an or,1605899473613
typed in answer,Basing off a Book/Short Story or using an org,1605899473793
typed in answer,Basing off a Book/Short Story or using an or,1605899474169
typed in answer,Basing off a Book/Short Story or using an ori,1605899474292
typed in answer,Basing off a Book/Short Story or using an orig,1605899474373
typed in answer,Basing off a Book/Short Story or using an ori,1605899474733
typed in answer,Basing off a Book/Short Story or using an or,1605899474880
typed in answer,Basing off a Book/Short Story or using an o,1605899475015
typed in answer,Basing off a Book/Short Story or using an ,1605899475152
typed in answer,Basing off a Book/Short Story or using an O,1605899475652
typed in answer,Basing off a Book/Short Story or using an Or,1605899475877
typed in answer,Basing off a Book/Short Story or using an Ori,1605899476135
typed in answer,Basing off a Book/Short Story or using an Orig,1605899476278
typed in answer,Basing off a Book/Short Story or using an Origi,1605899476386
typed in answer,Basing off a Book/Short Story or using an Origin,1605899476537
typed in answer,Basing off a Book/Short Story or using an Origini,1605899476678
typed in answer,Basing off a Book/Short Story or using an Origin,1605899477066
typed in answer,Basing off a Book/Short Story or using an Origina,1605899477134
typed in answer,Basing off a Book/Short Story or using an Original,1605899477250
typed in answer,Basing off a Book/Short Story or using an Original ,1605899477394
typed in answer,Basing off a Book/Short Story or using an Original S,1605899477996
typed in answer,Basing off a Book/Short Story or using an Original Sc,1605899478618
typed in answer,Basing off a Book/Short Story or using an Original Scr,1605899478853
typed in answer,Basing off a Book/Short Story or using an Original Scre,1605899478923
typed in answer,Basing off a Book/Short Story or using an Original Scree,1605899479096
typed in answer,Basing off a Book/Short Story or using an Original Screen,1605899479165
typed in answer,Basing off a Book/Short Story or using an Original Screen ,1605899479269
typed in answer,Basing off a Book/Short Story or using an Original Screen p,1605899479414
typed in answer,Basing off a Book/Short Story or using an Original Screen ,1605899479690
typed in answer,Basing off a Book/Short Story or using an Original Screen,1605899479819
typed in answer,Basing off a Book/Short Story or using an Original Screenp,1605899479983
typed in answer,Basing off a Book/Short Story or using an Original Screenpl,1605899480144
typed in answer,Basing off a Book/Short Story or using an Original Screenpla,1605899480215
typed in answer,Basing off a Book/Short Story or using an Original Screenplay,1605899480378
typed in answer,Basing off a Book/Short Story or using an Original Screenplay ,1605899480513
typed in answer,Basing off a Book/Short Story or using an Original Screenplay l,1605899480664
typed in answer,Basing off a Book/Short Story or using an Original Screenplay le,1605899480702
typed in answer,Basing off a Book/Short Story or using an Original Screenplay lea,1605899480764
typed in answer,Basing off a Book/Short Story or using an Original Screenplay lead,1605899481169
typed in answer,Basing off a Book/Short Story or using an Original Screenplay leads,1605899481294
typed in answer,Basing off a Book/Short Story or using an Original Screenplay leads ,1605899481446
typed in answer,Basing off a Book/Short Story or using an Original Screenplay leads t,1605899481562
typed in answer,Basing off a Book/Short Story or using an Original Screenplay leads to,1605899481621
typed in answer,Basing off a Book/Short Story or using an Original Screenplay leads to ,1605899481715
typed in answer,Basing off a Book/Short Story or using an Original Screenplay leads to s,1605899481780
typed in answer,Basing off a Book/Short Story or using an Original Screenplay leads to su,1605899481908
typed in answer,Basing off a Book/Short Story or using an Original Screenplay leads to suc,1605899481994
typed in answer,Basing off a Book/Short Story or using an Original Screenplay leads to succ,1605899482137
typed in answer,Basing off a Book/Short Story or using an Original Screenplay leads to succe,1605899482207
typed in answer,Basing off a Book/Short Story or using an Original Screenplay leads to succes,1605899482321
typed in answer,Basing off a Book/Short Story or using an Original Screenplay leads to success,1605899482474
typed in answer,Basing off a Book/Short Story or using an Original Screenplay leads to success.,1605899482631
typed in answer,Basing off a Book/Short Story or using an Original Screenplay leads to success. ,1605899482714
typed in answer,Basing off a Book/Short Story or using an Original Screenplay leads to success. W,1605899485472
typed in answer,Basing off a Book/Short Story or using an Original Screenplay leads to success. Wh,1605899485677
typed in answer,Basing off a Book/Short Story or using an Original Screenplay leads to success. Whi,1605899485746
typed in answer,Basing off a Book/Short Story or using an Original Screenplay leads to success. Whil,1605899485976
typed in answer,Basing off a Book/Short Story or using an Original Screenplay leads to success. While,1605899486040
typed in answer,"Basing off a Book/Short Story or using an Original Screenplay leads to success. While,",1605899486243
typed in answer,"Basing off a Book/Short Story or using an Original Screenplay leads to success. While, ",1605899486350
typed in answer,"Basing off a Book/Short Story or using an Original Screenplay leads to success. While, v",1605899486770
typed in answer,"Basing off a Book/Short Story or using an Original Screenplay leads to success. While, ",1605899487038
typed in answer,"Basing off a Book/Short Story or using an Original Screenplay leads to success. While, o",1605899487241
typed in answer,"Basing off a Book/Short Story or using an Original Screenplay leads to success. While, ov",1605899487352
typed in answer,"Basing off a Book/Short Story or using an Original Screenplay leads to success. While, ove",1605899487546
typed in answer,"Basing off a Book/Short Story or using an Original Screenplay leads to success. While, over",1605899487614
typed in answer,"Basing off a Book/Short Story or using an Original Screenplay leads to success. While, overa",1605899488012
typed in answer,"Basing off a Book/Short Story or using an Original Screenplay leads to success. While, overal",1605899488148
typed in answer,"Basing off a Book/Short Story or using an Original Screenplay leads to success. While, overall",1605899488321
typed in answer,"Basing off a Book/Short Story or using an Original Screenplay leads to success. While, overall,",1605899488649
typed in answer,"Basing off a Book/Short Story or using an Original Screenplay leads to success. While, overall, ",1605899488757
typed in answer,"Basing off a Book/Short Story or using an Original Screenplay leads to success. While, overall, M",1605899489719
typed in answer,"Basing off a Book/Short Story or using an Original Screenplay leads to success. While, overall, Ma",1605899489891
