User_Index,Interaction,Value,Time,Reward,Action,Attribute,State,High-Level-State,Task
893,mouseout a related chart,"mark:tick;encoding:Airport_Name-nominal-y,Cost_Total-quantitative-x,Effect_Amount_of_damage-nominal-color",1606071043784,5.683333333333334,same,"['Airport_Name', 'Cost_Total', 'Effect_Amount_of_damage']","[0, 12, 2]",Foraging,p4
895,mouseout a related chart,"mark:tick;encoding:Airport_Name-nominal-y,Cost_Total-quantitative-x,Effect_Amount_of_damage-nominal-color",1606071044468,5.683333333333334,same,"['Airport_Name', 'Cost_Total', 'Effect_Amount_of_damage']","[0, 12, 2]",Foraging,p4
898,mouseover a related chart,"mark:tick;encoding:Airport_Name-nominal-y,Cost_Total-quantitative-x,Effect_Amount_of_damage-nominal-color",1606071045336,5.683333333333334,same,"['Airport_Name', 'Cost_Total', 'Effect_Amount_of_damage']","[0, 12, 2]",Foraging,p4
899,mouseout a related chart,"mark:tick;encoding:Airport_Name-nominal-y,Cost_Total-quantitative-x,Effect_Amount_of_damage-nominal-color",1606071046342,5.683333333333334,same,"['Airport_Name', 'Cost_Total', 'Effect_Amount_of_damage']","[0, 12, 2]",Foraging,p4
900,added chart to bookmark,"mark:tick;encoding:Airport_Name-nominal-y,Cost_Total-quantitative-x,Effect_Amount_of_damage-nominal-color",1606071049059,5.683333333333334,same,"['Airport_Name', 'Cost_Total', 'Effect_Amount_of_damage']","[0, 12, 2]",Sensemaking,p4
901,mouseover a related chart,"mark:tick;encoding:Airport_Name-nominal-y,Cost_Total-quantitative-x,Effect_Amount_of_damage-nominal-color",1606071050214,5.683333333333334,modify-1,"['Airport_Name', 'Cost_Total', 'Effect_Amount_of_damage']","[0, 12, 2]",Foraging,p4
910,mouseout a related chart,"mark:tick;encoding:Airport_Name-nominal-y,Cost_Total-quantitative-x,When_Time_of_day-nominal-color",1606071051933,5.572222222222222,same,"['Airport_Name', 'Cost_Total', 'When_Time_of_day']","[0, 12, 9]",Foraging,p4
913,mouseover a related chart,"mark:tick;encoding:Airport_Name-nominal-y,Cost_Total-quantitative-x,When_Time_of_day-nominal-color",1606071053048,5.572222222222222,same,"['Airport_Name', 'Cost_Total', 'When_Time_of_day']","[0, 12, 9]",Foraging,p4
914,scroll on a related chart,"mark:tick;encoding:Airport_Name-nominal-y,Cost_Total-quantitative-x,When_Time_of_day-nominal-color",1606071053539,5.572222222222222,same,"['Airport_Name', 'Cost_Total', 'When_Time_of_day']","[0, 12, 9]",Foraging,p4
929,mouseout a related chart,"mark:tick;encoding:Airport_Name-nominal-y,Cost_Total-quantitative-x,When_Time_of_day-nominal-color",1606071054316,5.572222222222222,same,"['Airport_Name', 'Cost_Total', 'When_Time_of_day']","[0, 12, 9]",Foraging,p4
931,mouseout a related chart,"mark:tick;encoding:Airport_Name-nominal-y,Cost_Total-quantitative-x,When_Time_of_day-nominal-color",1606071054934,5.572222222222222,modify-1,"['Airport_Name', 'Cost_Total', 'When_Time_of_day']","[0, 12, 9]",Foraging,p4
932,mouseover a related chart,"mark:tick;encoding:Airport_Name-nominal-y,Cost_Repair-quantitative-color,Cost_Total-quantitative-x",1606071178733,6.377777777777778,modify-1,"['Airport_Name', 'Cost_Repair', 'Cost_Total']","[0, 11, 12]",Foraging,p4
937,mouseout a related chart,"mark:tick;encoding:Airport_Name-nominal-y,Cost_Total-quantitative-x,When_Time_of_day-nominal-color",1606071179391,5.572222222222222,modify-1,"['Airport_Name', 'Cost_Total', 'When_Time_of_day']","[0, 12, 9]",Foraging,p4
941,mouseout a related chart,"mark:tick;encoding:Airport_Name-nominal-y,Cost_Other-quantitative-color,Cost_Total-quantitative-x",1606071181259,5.211111111111111,modify-1,"['Airport_Name', 'Cost_Other', 'Cost_Total']","[0, 10, 12]",Foraging,p4
944,mouseover a related chart,"mark:tick;encoding:Airport_Name-nominal-y,Cost_Total-quantitative-x,Wildlife_Size-nominal-color",1606071189073,7.6,modify-1,"['Airport_Name', 'Cost_Total', 'Wildlife_Size']","[0, 12, 7]",Foraging,p4
950,mouseover a related chart,"mark:tick;encoding:Airport_Name-nominal-y,Cost_Other-quantitative-color,Cost_Total-quantitative-x",1606071247346,5.211111111111111,modify-2,"['Airport_Name', 'Cost_Other', 'Cost_Total']","[0, 10, 12]",Foraging,p4
958,clicked on a field,remove Airport_Name,1606071249778,2.0722222222222224,modify-1,"['Airport_Name', 'None', 'None']","[0, 14, 14]",Foraging,p4
959,main chart changed because of clicking a field,mark:tick;encoding:Cost_Total-quantitative-x,1606071249815,2.7666666666666666,modify-1,"['Cost_Total', 'None', 'None']","[12, 14, 14]",Foraging,p4
960,clicked on a field,add When_Phase_of_flight,1606071254418,3.0166666666666666,modify-1,"['None', 'None', 'When_Phase_of_flight']","[14, 14, 6]",Foraging,p4
961,main chart changed because of clicking a field,"mark:tick;encoding:Cost_Total-quantitative-x,When_Phase_of_flight-nominal-y",1606071254476,5.683333333333334,modify-2,"['Cost_Total', 'None', 'When_Phase_of_flight']","[12, 14, 6]",Foraging,p4
962,clicked on a field,add Wildlife_Size,1606071255755,2.9611111111111112,modify-2,"['None', 'None', 'Wildlife_Size']","[14, 14, 7]",Foraging,p4
963,main chart changed because of clicking a field,"mark:bar;encoding:Cost_Total-quantitative-x,When_Phase_of_flight-nominal-y,Wildlife_Size-nominal-color",1606071255768,8.544444444444444,modify-2,"['Cost_Total', 'When_Phase_of_flight', 'Wildlife_Size']","[12, 6, 7]",Foraging,p4
964,clicked on a field,remove Cost_Total,1606071257866,2.7666666666666666,modify-2,"['Cost_Total', 'None', 'None']","[12, 14, 14]",Foraging,p4
965,main chart changed because of clicking a field,"mark:point;encoding:-quantitative-size<aggregate>count,When_Phase_of_flight-nominal-x,Wildlife_Size-nominal-y",1606071257886,5.877777777777778,modify-2,"['None', 'When_Phase_of_flight', 'Wildlife_Size']","[14, 6, 7]",Foraging,p4
966,clicked on a field,add Speed_IAS_in_knots,1606071258810,1.7944444444444445,modify-2,"['None', 'None', 'Speed_IAS_in_knots']","[14, 14, 13]",Foraging,p4
967,main chart changed because of clicking a field,"mark:tick;encoding:Speed_IAS_in_knots-quantitative-x,When_Phase_of_flight-nominal-y,Wildlife_Size-nominal-color",1606071258828,7.572222222222223,modify-1,"['Speed_IAS_in_knots', 'When_Phase_of_flight', 'Wildlife_Size']","[13, 6, 7]",Foraging,p4
968,mouseover a related chart,"mark:tick;encoding:Speed_IAS_in_knots-quantitative-x,Wildlife_Size-nominal-y",1606071259436,4.655555555555556,modify-1,"['None', 'Speed_IAS_in_knots', 'Wildlife_Size']","[14, 13, 7]",Foraging,p4
975,mouseout on the specified chart,"mark:tick;encoding:Speed_IAS_in_knots-quantitative-x,When_Phase_of_flight-nominal-y,Wildlife_Size-nominal-color",1606071260086,7.572222222222223,same,"['Speed_IAS_in_knots', 'When_Phase_of_flight', 'Wildlife_Size']","[13, 6, 7]",Sensemaking,p4
980,mouseover on the specified chart,"mark:tick;encoding:Speed_IAS_in_knots-quantitative-x,When_Phase_of_flight-nominal-y,Wildlife_Size-nominal-color",1606071261022,7.572222222222223,same,"['Speed_IAS_in_knots', 'When_Phase_of_flight', 'Wildlife_Size']","[13, 6, 7]",Sensemaking,p4
981,mouseout on the specified chart,"mark:tick;encoding:Speed_IAS_in_knots-quantitative-x,When_Phase_of_flight-nominal-y,Wildlife_Size-nominal-color",1606071261756,7.572222222222223,same,"['Speed_IAS_in_knots', 'When_Phase_of_flight', 'Wildlife_Size']","[13, 6, 7]",Sensemaking,p4
983,mouseout on the specified chart,"mark:tick;encoding:Speed_IAS_in_knots-quantitative-x,When_Phase_of_flight-nominal-y,Wildlife_Size-nominal-color",1606071273640,7.572222222222223,same,"['Speed_IAS_in_knots', 'When_Phase_of_flight', 'Wildlife_Size']","[13, 6, 7]",Sensemaking,p4
984,mouseover on the specified chart,"mark:tick;encoding:Speed_IAS_in_knots-quantitative-x,When_Phase_of_flight-nominal-y,Wildlife_Size-nominal-color",1606071275826,7.572222222222223,same,"['Speed_IAS_in_knots', 'When_Phase_of_flight', 'Wildlife_Size']","[13, 6, 7]",Sensemaking,p4
987,mouseout on the specified chart,"mark:tick;encoding:Speed_IAS_in_knots-quantitative-x,When_Phase_of_flight-nominal-y,Wildlife_Size-nominal-color",1606071280719,7.572222222222223,same,"['Speed_IAS_in_knots', 'When_Phase_of_flight', 'Wildlife_Size']","[13, 6, 7]",Sensemaking,p4
990,added chart to bookmark,"mark:tick;encoding:Speed_IAS_in_knots-quantitative-x,When_Phase_of_flight-nominal-y,Wildlife_Size-nominal-color",1606071283296,7.572222222222223,same,"['Speed_IAS_in_knots', 'When_Phase_of_flight', 'Wildlife_Size']","[13, 6, 7]",Sensemaking,p4
991,mouseover on the specified chart,"mark:tick;encoding:Speed_IAS_in_knots-quantitative-x,When_Phase_of_flight-nominal-y,Wildlife_Size-nominal-color",1606071284141,7.572222222222223,same,"['Speed_IAS_in_knots', 'When_Phase_of_flight', 'Wildlife_Size']","[13, 6, 7]",Sensemaking,p4
992,mouseout on the specified chart,"mark:tick;encoding:Speed_IAS_in_knots-quantitative-x,When_Phase_of_flight-nominal-y,Wildlife_Size-nominal-color",1606071301204,7.572222222222223,modify-3,"['Speed_IAS_in_knots', 'When_Phase_of_flight', 'Wildlife_Size']","[13, 6, 7]",Sensemaking,p4
993,clicked on a field,"tried to add Origin_State, but failed because already selected 3 fields",1606071479800,0.9333333333333332,modify-1,"['None', 'None', 'Origin_State']","[14, 14, 5]",Foraging,p4
994,clicked on a field,remove Wildlife_Size,1606071484540,2.9611111111111112,modify-2,"['None', 'None', 'Wildlife_Size']","[14, 14, 7]",Foraging,p4
995,main chart changed because of clicking a field,"mark:tick;encoding:Speed_IAS_in_knots-quantitative-x,When_Phase_of_flight-nominal-y",1606071484601,4.711111111111111,modify-1,"['None', 'Speed_IAS_in_knots', 'When_Phase_of_flight']","[14, 13, 6]",Foraging,p4
996,clicked on a field,remove Speed_IAS_in_knots,1606071486108,1.7944444444444445,modify-1,"['None', 'None', 'Speed_IAS_in_knots']","[14, 14, 13]",Foraging,p4
997,main chart changed because of clicking a field,"mark:bar;encoding:-quantitative-x<aggregate>count,When_Phase_of_flight-nominal-y",1606071486128,3.0166666666666666,modify-1,"['None', 'None', 'When_Phase_of_flight']","[14, 14, 6]",Foraging,p4
998,clicked on a field,add Wildlife_Species,1606071488684,1.988888888888889,modify-1,"['None', 'None', 'Wildlife_Species']","[14, 14, 8]",Foraging,p4
999,main chart changed because of clicking a field,"mark:point;encoding:-quantitative-size<aggregate>count,When_Phase_of_flight-nominal-x,Wildlife_Species-nominal-y",1606071488705,4.905555555555555,modify-2,"['None', 'When_Phase_of_flight', 'Wildlife_Species']","[14, 6, 8]",Foraging,p4
1000,clicked on a field,add Effect_Amount_of_damage,1606071490340,1.0444444444444445,modify-2,"['Effect_Amount_of_damage', 'None', 'None']","[2, 14, 14]",Foraging,p4
1001,main chart changed because of clicking a field,"mark:point;encoding:-quantitative-size<aggregate>count,Effect_Amount_of_damage-nominal-x,When_Phase_of_flight-nominal-color,Wildlife_Species-nominal-y",1606071490358,5.85,modify-2,"['Effect_Amount_of_damage', 'When_Phase_of_flight', 'Wildlife_Species']","[2, 6, 8]",Foraging,p4
1002,clicked on a field,remove When_Phase_of_flight,1606071494377,3.0166666666666666,modify-2,"['None', 'None', 'When_Phase_of_flight']","[14, 14, 6]",Foraging,p4
1003,main chart changed because of clicking a field,"mark:point;encoding:-quantitative-size<aggregate>count,Effect_Amount_of_damage-nominal-x,Wildlife_Species-nominal-y",1606071494395,2.9333333333333336,modify-1,"['Effect_Amount_of_damage', 'None', 'Wildlife_Species']","[2, 14, 8]",Foraging,p4
1004,clicked on a field,remove Effect_Amount_of_damage,1606071495594,1.0444444444444445,modify-1,"['Effect_Amount_of_damage', 'None', 'None']","[2, 14, 14]",Foraging,p4
1005,main chart changed because of clicking a field,"mark:bar;encoding:-quantitative-x<aggregate>count,Wildlife_Species-nominal-y",1606071495615,1.988888888888889,modify-1,"['None', 'None', 'Wildlife_Species']","[14, 14, 8]",Foraging,p4
1006,clicked on a field,add Flight_Date,1606071497002,3.0722222222222224,modify-1,"['Flight_Date', 'None', 'None']","[3, 14, 14]",Foraging,p4
1007,main chart changed because of clicking a field,"mark:bar;encoding:-quantitative-x<aggregate>count,Flight_Date-nominal-row,Wildlife_Species-nominal-y",1606071497021,4.961111111111111,modify-2,"['Flight_Date', 'None', 'Wildlife_Species']","[3, 14, 8]",Foraging,p4
1008,clicked on a field,add Cost_Repair,1606071502022,1.738888888888889,modify-2,"['Cost_Repair', 'None', 'None']","[11, 14, 14]",Foraging,p4
1009,main chart changed because of clicking a field,"mark:tick;encoding:Cost_Repair-quantitative-x,Flight_Date-nominal-row,Wildlife_Species-nominal-y",1606071502039,6.6,same,"['Cost_Repair', 'Flight_Date', 'Wildlife_Species']","[11, 3, 8]",Foraging,p4
1010,mouseover on the specified chart,"mark:tick;encoding:Cost_Repair-quantitative-x,Flight_Date-nominal-row,Wildlife_Species-nominal-y",1606071507833,6.6,same,"['Cost_Repair', 'Flight_Date', 'Wildlife_Species']","[11, 3, 8]",Sensemaking,p4
1011,scroll on the specified chart,"mark:tick;encoding:Cost_Repair-quantitative-x,Flight_Date-nominal-row,Wildlife_Species-nominal-y",1606071508179,6.6,same,"['Cost_Repair', 'Flight_Date', 'Wildlife_Species']","[11, 3, 8]",Sensemaking,p4
1032,scroll on the specified chart,"mark:tick;encoding:Cost_Repair-quantitative-x,Flight_Date-nominal-row,Wildlife_Species-nominal-y",1606071509469,6.6,same,"['Cost_Repair', 'Flight_Date', 'Wildlife_Species']","[11, 3, 8]",Sensemaking,p4
1221,scroll on the specified chart,"mark:tick;encoding:Cost_Repair-quantitative-x,Flight_Date-nominal-row,Wildlife_Species-nominal-y",1606071514613,6.6,same,"['Cost_Repair', 'Flight_Date', 'Wildlife_Species']","[11, 3, 8]",Sensemaking,p4
1244,scroll on the specified chart,"mark:tick;encoding:Cost_Repair-quantitative-x,Flight_Date-nominal-row,Wildlife_Species-nominal-y",1606071515927,6.6,same,"['Cost_Repair', 'Flight_Date', 'Wildlife_Species']","[11, 3, 8]",Sensemaking,p4
1329,mouseout on the specified chart,"mark:tick;encoding:Cost_Repair-quantitative-x,Flight_Date-nominal-row,Wildlife_Species-nominal-y",1606071517766,6.6,same,"['Cost_Repair', 'Flight_Date', 'Wildlife_Species']","[11, 3, 8]",Sensemaking,p4
1330,mouseover on the specified chart,"mark:tick;encoding:Cost_Repair-quantitative-x,Flight_Date-nominal-row,Wildlife_Species-nominal-y",1606071538966,6.6,same,"['Cost_Repair', 'Flight_Date', 'Wildlife_Species']","[11, 3, 8]",Sensemaking,p4
1334,added chart to bookmark,"mark:tick;encoding:Cost_Repair-quantitative-x,Flight_Date-nominal-row,Wildlife_Species-nominal-y",1606071540154,6.6,same,"['Cost_Repair', 'Flight_Date', 'Wildlife_Species']","[11, 3, 8]",Sensemaking,p4
1335,mouseover on the specified chart,"mark:tick;encoding:Cost_Repair-quantitative-x,Flight_Date-nominal-row,Wildlife_Species-nominal-y",1606071540824,6.6,same,"['Cost_Repair', 'Flight_Date', 'Wildlife_Species']","[11, 3, 8]",Sensemaking,p4
1336,scroll on the specified chart,"mark:tick;encoding:Cost_Repair-quantitative-x,Flight_Date-nominal-row,Wildlife_Species-nominal-y",1606071541599,6.6,same,"['Cost_Repair', 'Flight_Date', 'Wildlife_Species']","[11, 3, 8]",Sensemaking,p4
1363,scroll on the specified chart,"mark:tick;encoding:Cost_Repair-quantitative-x,Flight_Date-nominal-row,Wildlife_Species-nominal-y",1606071543670,6.6,same,"['Cost_Repair', 'Flight_Date', 'Wildlife_Species']","[11, 3, 8]",Sensemaking,p4
1481,scroll on the specified chart,"mark:tick;encoding:Cost_Repair-quantitative-x,Flight_Date-nominal-row,Wildlife_Species-nominal-y",1606071548649,6.6,same,"['Cost_Repair', 'Flight_Date', 'Wildlife_Species']","[11, 3, 8]",Sensemaking,p4
1482,mouseout on the specified chart,"mark:tick;encoding:Cost_Repair-quantitative-x,Flight_Date-nominal-row,Wildlife_Species-nominal-y",1606071549116,6.6,same,"['Cost_Repair', 'Flight_Date', 'Wildlife_Species']","[11, 3, 8]",Sensemaking,p4
