Algorithm,User,Threshold,LearningRate,Discount,Temperature,Accuracy,StateAccuracy,Reward,Epsilon,Openended,Task,participant_id,user,threshold,ncp-1
ActorCritic,pro10_bdf_p2,0.4,0.0001,0.8,1.0,0.9166666666666666,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro10_bdf_p2,0.5,0.0001,0.8,1.0,0.8,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro10_bdf_p2,0.6,0.001,0.05,1.0,0.875,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro10_bdf_p2,0.7,0.1,0.2,1.0,0.9166666666666666,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro10_bdf_p2,0.8,0.1,0.5,1.0,0.75,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro10_bdf_p2,0.9,0.0001,0.8,1.0,1.0,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro14_bdf_p2,0.05,0.001,0.8,1.0,0.3409090909090909,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro14_bdf_p2,0.1,0.001,0.99,1.0,0.3095238095238095,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro14_bdf_p2,0.2,0.1,0.1,1.0,0.2702702702702703,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro14_bdf_p2,0.3,0.001,0.05,1.0,0.2727272727272727,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro14_bdf_p2,0.4,0.0001,0.2,1.0,0.4285714285714285,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro14_bdf_p2,0.5,0.0001,0.5,1.0,0.5652173913043478,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro14_bdf_p2,0.6,0.001,0.5,1.0,0.3684210526315789,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro14_bdf_p2,0.7,0.001,0.2,1.0,0.3571428571428571,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro14_bdf_p2,0.8,0.01,0.1,1.0,0.3,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro14_bdf_p2,0.9,0.0001,0.05,1.0,0.2,"[None, None, None]",0.0,0.0,Focused,p2,,,,
ActorCritic,pro27_bcf_p2,0.05,0.0001,0.1,1.0,0.2666666666666666,"[None, None, None]",0.0,0.0,Focused,p2,,,,
