Algorithm,User,Threshold,LearningRate,Discount,Temperature,Accuracy,StateAccuracy,Reward,Epsilon,Openended,Task,participant_id,user,threshold,ncp-1
ActorCritic,pro1_bcf_p4,0.05,0.1,0.5,1.0,0.6666666666666666,"[None, None, None]",0.0,0.0,Openended,p4,,,,
ActorCritic,pro1_bcf_p4,0.1,0.0001,0.5,1.0,0.6818181818181818,"[None, None, None]",0.0,0.0,Openended,p4,,,,
ActorCritic,pro1_bcf_p4,0.2,0.01,0.1,1.0,0.2179487179487179,"[None, None, None]",0.0,0.0,Openended,p4,,,,
ActorCritic,pro1_bcf_p4,0.3,0.0001,0.2,1.0,0.5294117647058824,"[None, None, None]",0.0,0.0,Openended,p4,,,,
ActorCritic,pro1_bcf_p4,0.4,0.0001,0.99,1.0,0.7288135593220338,"[None, None, None]",0.0,0.0,Openended,p4,,,,
ActorCritic,pro1_bcf_p4,0.5,0.001,0.2,1.0,0.7551020408163265,"[None, None, None]",0.0,0.0,Openended,p4,,,,
ActorCritic,pro1_bcf_p4,0.6,0.0001,0.1,1.0,0.8461538461538461,"[None, None, None]",0.0,0.0,Openended,p4,,,,
ActorCritic,pro1_bcf_p4,0.7,0.1,0.05,1.0,0.8,"[None, None, None]",0.0,0.0,Openended,p4,,,,
ActorCritic,pro1_bcf_p4,0.8,0.0001,0.8,1.0,0.75,"[None, None, None]",0.0,0.0,Openended,p4,,,,
ActorCritic,pro1_bcf_p4,0.9,0.01,0.5,1.0,0.6,"[None, None, None]",0.0,0.0,Openended,p4,,,,
ActorCritic,pro16_bce_p4,0.05,0.0001,0.9,1.0,0.6470588235294118,"[None, None, None]",0.0,0.0,Openended,p4,,,,
ActorCritic,pro16_bce_p4,0.1,0.0001,0.5,1.0,0.6597938144329897,"[None, None, None]",0.0,0.0,Openended,p4,,,,
ActorCritic,pro16_bce_p4,0.2,0.1,0.8,1.0,0.627906976744186,"[None, None, None]",0.0,0.0,Openended,p4,,,,
ActorCritic,pro16_bce_p4,0.3,0.001,0.05,1.0,0.2666666666666666,"[None, None, None]",0.0,0.0,Openended,p4,,,,
ActorCritic,pro16_bce_p4,0.4,0.001,0.1,1.0,0.6307692307692307,"[None, None, None]",0.0,0.0,Openended,p4,,,,
ActorCritic,pro16_bce_p4,0.5,0.1,0.8,1.0,0.5555555555555556,"[None, None, None]",0.0,0.0,Openended,p4,,,,
ActorCritic,pro16_bce_p4,0.6,0.0001,0.2,1.0,0.5813953488372093,"[None, None, None]",0.0,0.0,Openended,p4,,,,
ActorCritic,pro16_bce_p4,0.7,0.001,0.1,1.0,0.5757575757575758,"[None, None, None]",0.0,0.0,Openended,p4,,,,
ActorCritic,pro16_bce_p4,0.8,0.001,0.1,1.0,0.5909090909090909,"[None, None, None]",0.0,0.0,Openended,p4,,,,
ActorCritic,pro16_bce_p4,0.9,0.001,0.5,1.0,0.6363636363636364,"[None, None, None]",0.0,0.0,Openended,p4,,,,
ActorCritic,pro14_bdf_p4,0.05,0.0001,0.05,1.0,0.6212121212121212,"[None, None, None]",0.0,0.0,Openended,p4,,,,
ActorCritic,pro14_bdf_p4,0.1,0.0001,0.9,1.0,0.656,"[None, None, None]",0.0,0.0,Openended,p4,,,,
ActorCritic,pro14_bdf_p4,0.2,0.0001,0.1,1.0,0.6036036036036037,"[None, None, None]",0.0,0.0,Openended,p4,,,,
ActorCritic,pro14_bdf_p4,0.3,0.001,0.9,1.0,0.5773195876288659,"[None, None, None]",0.0,0.0,Openended,p4,,,,
ActorCritic,pro14_bdf_p4,0.4,0.0001,0.1,1.0,0.6385542168674698,"[None, None, None]",0.0,0.0,Openended,p4,,,,
ActorCritic,pro14_bdf_p4,0.5,0.0001,0.2,1.0,0.5942028985507246,"[None, None, None]",0.0,0.0,Openended,p4,,,,
ActorCritic,pro14_bdf_p4,0.6,0.001,0.99,1.0,0.5357142857142857,"[None, None, None]",0.0,0.0,Openended,p4,,,,
ActorCritic,pro14_bdf_p4,0.7,0.001,0.2,1.0,0.5238095238095238,"[None, None, None]",0.0,0.0,Openended,p4,,,,
ActorCritic,pro14_bdf_p4,0.8,0.001,0.9,1.0,0.4285714285714285,"[None, None, None]",0.0,0.0,Openended,p4,,,,
ActorCritic,pro14_bdf_p4,0.9,0.001,0.8,1.0,0.3571428571428571,"[None, None, None]",0.0,0.0,Openended,p4,,,,
ActorCritic,pro27_bcf_p4,0.05,0.0001,0.5,1.0,0.4700854700854701,"[None, None, None]",0.0,0.0,Openended,p4,,,,
ActorCritic,pro27_bcf_p4,0.1,0.001,0.05,1.0,0.4774774774774775,"[None, None, None]",0.0,0.0,Openended,p4,,,,
ActorCritic,pro27_bcf_p4,0.2,0.001,0.8,1.0,0.2929292929292929,"[None, None, None]",0.0,0.0,Openended,p4,,,,
ActorCritic,pro27_bcf_p4,0.3,0.0001,0.99,1.0,0.425287356321839,"[None, None, None]",0.0,0.0,Openended,p4,,,,
ActorCritic,pro27_bcf_p4,0.4,0.001,0.2,1.0,0.3783783783783784,"[None, None, None]",0.0,0.0,Openended,p4,,,,
ActorCritic,pro27_bcf_p4,0.5,0.001,0.05,1.0,0.3548387096774194,"[None, None, None]",0.0,0.0,Openended,p4,,,,
ActorCritic,pro27_bcf_p4,0.6,0.0001,0.05,1.0,0.38,"[None, None, None]",0.0,0.0,Openended,p4,,,,
ActorCritic,pro27_bcf_p4,0.7,0.5,0.1,1.0,0.3243243243243243,"[None, None, None]",0.0,0.0,Openended,p4,,,,
ActorCritic,pro27_bcf_p4,0.8,0.001,0.2,1.0,0.36,"[None, None, None]",0.0,0.0,Openended,p4,,,,
ActorCritic,pro27_bcf_p4,0.9,0.5,0.1,1.0,0.4615384615384615,"[None, None, None]",0.0,0.0,Openended,p4,,,,
ActorCritic,pro26_bde_p4,0.05,0.0001,0.5,1.0,0.5741935483870968,"[None, None, None]",0.0,0.0,Openended,p4,,,,
ActorCritic,pro26_bde_p4,0.1,0.001,0.2,1.0,0.5714285714285714,"[None, None, None]",0.0,0.0,Openended,p4,,,,
ActorCritic,pro26_bde_p4,0.2,0.001,0.5,1.0,0.5877862595419847,"[None, None, None]",0.0,0.0,Openended,p4,,,,
ActorCritic,pro26_bde_p4,0.3,0.001,0.99,1.0,0.208695652173913,"[None, None, None]",0.0,0.0,Openended,p4,,,,
ActorCritic,pro26_bde_p4,0.4,0.001,0.05,1.0,0.6224489795918368,"[None, None, None]",0.0,0.0,Openended,p4,,,,
ActorCritic,pro26_bde_p4,0.5,0.001,0.8,1.0,0.4512195121951219,"[None, None, None]",0.0,0.0,Openended,p4,,,,
ActorCritic,pro26_bde_p4,0.6,0.001,0.1,1.0,0.7878787878787878,"[None, None, None]",0.0,0.0,Openended,p4,,,,
ActorCritic,pro26_bde_p4,0.7,0.0001,0.05,1.0,0.7755102040816326,"[None, None, None]",0.0,0.0,Openended,p4,,,,
ActorCritic,pro26_bde_p4,0.8,0.1,0.05,1.0,0.7575757575757576,"[None, None, None]",0.0,0.0,Openended,p4,,,,
ActorCritic,pro26_bde_p4,0.9,0.0001,0.9,1.0,0.8235294117647058,"[None, None, None]",0.0,0.0,Openended,p4,,,,
ActorCritic,pro11_bcf_p4,0.05,0.1,0.1,1.0,0.6748466257668712,"[None, None, None]",0.0,0.0,Openended,p4,,,,
ActorCritic,pro11_bcf_p4,0.1,0.0001,0.1,1.0,0.6168831168831169,"[None, None, None]",0.0,0.0,Openended,p4,,,,
ActorCritic,pro11_bcf_p4,0.2,0.001,0.2,1.0,0.6861313868613139,"[None, None, None]",0.0,0.0,Openended,p4,,,,
