Algorithm,User,Threshold,LearningRate,Discount,Temperature,Accuracy,StateAccuracy,Reward,Epsilon,Openended,Task,participant_id,user,threshold,ncp-1
ActorCritic,pro12_bdf_p3,0.05,0.001,0.9,1.0,0.4827586206896552,"[None, None, None]",0.0,0.0,Openended,p3,,,,
ActorCritic,pro12_bdf_p3,0.1,0.001,0.2,1.0,0.4909090909090909,"[None, None, None]",0.0,0.0,Openended,p3,,,,
ActorCritic,pro12_bdf_p3,0.2,0.1,0.9,1.0,0.4897959183673469,"[None, None, None]",0.0,0.0,Openended,p3,,,,
ActorCritic,pro12_bdf_p3,0.3,0.1,0.9,1.0,0.4651162790697674,"[None, None, None]",0.0,0.0,Openended,p3,,,,
ActorCritic,pro12_bdf_p3,0.4,0.1,0.9,1.0,0.5135135135135135,"[None, None, None]",0.0,0.0,Openended,p3,,,,
ActorCritic,pro12_bdf_p3,0.5,0.0001,0.2,1.0,0.5806451612903226,"[None, None, None]",0.0,0.0,Openended,p3,,,,
ActorCritic,pro12_bdf_p3,0.6,0.001,0.05,1.0,0.52,"[None, None, None]",0.0,0.0,Openended,p3,,,,
ActorCritic,pro12_bdf_p3,0.7,0.0001,0.8,1.0,0.4210526315789473,"[None, None, None]",0.0,0.0,Openended,p3,,,,
ActorCritic,pro12_bdf_p3,0.8,0.0001,0.9,1.0,0.5384615384615384,"[None, None, None]",0.0,0.0,Openended,p3,,,,
ActorCritic,pro12_bdf_p3,0.9,0.001,0.1,1.0,0.2857142857142857,"[None, None, None]",0.0,0.0,Openended,p3,,,,
ActorCritic,pro14_bdf_p3,0.05,0.0001,0.2,1.0,0.4571428571428571,"[None, None, None]",0.0,0.0,Openended,p3,,,,
ActorCritic,pro14_bdf_p3,0.1,0.001,0.1,1.0,0.5909090909090909,"[None, None, None]",0.0,0.0,Openended,p3,,,,
ActorCritic,pro14_bdf_p3,0.2,0.5,0.2,1.0,0.6101694915254238,"[None, None, None]",0.0,0.0,Openended,p3,,,,
ActorCritic,pro14_bdf_p3,0.3,0.1,0.1,1.0,0.5961538461538461,"[None, None, None]",0.0,0.0,Openended,p3,,,,
ActorCritic,pro14_bdf_p3,0.4,0.001,0.8,1.0,0.75,"[None, None, None]",0.0,0.0,Openended,p3,,,,
ActorCritic,pro14_bdf_p3,0.5,0.001,0.2,1.0,0.6756756756756757,"[None, None, None]",0.0,0.0,Openended,p3,,,,
ActorCritic,pro14_bdf_p3,0.6,0.0001,0.9,1.0,0.6666666666666666,"[None, None, None]",0.0,0.0,Openended,p3,,,,
ActorCritic,pro14_bdf_p3,0.7,0.0001,0.2,1.0,0.6818181818181818,"[None, None, None]",0.0,0.0,Openended,p3,,,,
ActorCritic,pro14_bdf_p3,0.8,0.1,0.9,1.0,0.5333333333333333,"[None, None, None]",0.0,0.0,Openended,p3,,,,
ActorCritic,pro14_bdf_p3,0.9,0.001,0.1,1.0,0.625,"[None, None, None]",0.0,0.0,Openended,p3,,,,
ActorCritic,pro11_bcf_p3,0.05,0.0001,0.9,1.0,0.6697247706422018,"[None, None, None]",0.0,0.0,Openended,p3,,,,
ActorCritic,pro11_bcf_p3,0.1,0.001,0.1,1.0,0.7378640776699029,"[None, None, None]",0.0,0.0,Openended,p3,,,,
ActorCritic,pro11_bcf_p3,0.2,0.0001,0.8,1.0,0.6630434782608695,"[None, None, None]",0.0,0.0,Openended,p3,,,,
ActorCritic,pro11_bcf_p3,0.3,0.0001,0.5,1.0,0.6875,"[None, None, None]",0.0,0.0,Openended,p3,,,,
ActorCritic,pro11_bcf_p3,0.4,0.001,0.05,1.0,0.6811594202898551,"[None, None, None]",0.0,0.0,Openended,p3,,,,
ActorCritic,pro11_bcf_p3,0.5,0.0001,0.99,1.0,0.6842105263157895,"[None, None, None]",0.0,0.0,Openended,p3,,,,
ActorCritic,pro11_bcf_p3,0.6,0.001,0.8,1.0,0.6521739130434783,"[None, None, None]",0.0,0.0,Openended,p3,,,,
ActorCritic,pro11_bcf_p3,0.7,0.001,0.05,1.0,0.6857142857142857,"[None, None, None]",0.0,0.0,Openended,p3,,,,
ActorCritic,pro11_bcf_p3,0.8,0.0001,0.9,1.0,0.7391304347826086,"[None, None, None]",0.0,0.0,Openended,p3,,,,
ActorCritic,pro11_bcf_p3,0.9,0.0001,0.99,1.0,0.75,"[None, None, None]",0.0,0.0,Openended,p3,,,,
ActorCritic,pro16_bce_p3,0.05,0.0001,0.1,1.0,0.4351145038167939,"[None, None, None]",0.0,0.0,Openended,p3,,,,
