,modify-1,modify-2,modify-3,same
modify-1,0.43868784170788855,0.06092163499088779,0.00807081489195522,0.4923197084092684
modify-2,0.13303659742828883,0.4732937685459941,0.02225519287833828,0.3714144411473788
modify-3,0.2096069868995633,0.4148471615720524,0.22270742358078602,0.15283842794759825
same,0.19200250574232616,0.0768427646690332,0.010649404886197537,0.7205053247024431
