,modify-1,modify-2,modify-3,same
modify-1,0.4714828897338403,0.06945500633713561,0.005069708491761723,0.45399239543726233
modify-2,0.10656807307525011,0.5524140930839495,0.020008699434536755,0.3210091344062636
modify-3,0.1715686274509804,0.4166666666666667,0.24509803921568626,0.16666666666666666
same,0.21578003586371788,0.08009563658099222,0.010520023909145249,0.6936043036461447
