Action,State,TimeStamp,StateActionProbab,IdleTime,Reward,Subtask_Screenshot_Time,Subtask_Idle_Time,ZoomLevel,NDSI,Subtask_Zoom,Angle
zoom,Navigation,2016-06-10 17:54:03.103,0.8421052631578947,1.781,0,2,2,1,0.651583625,2,0.0
zoom,Navigation,2016-06-10 17:54:03.263,0.8461538461538461,0.16,0,2,2,2,0.651013625,2,0.0
zoom,Navigation,2016-06-10 17:54:03.440,0.85,0.177,0,2,2,3,0.650957125,2,0.0
pan,Navigation,2016-06-10 17:54:04.738,0.12195121951219512,1.298,0,2,2,3,0.6578185,2,17.182206641761155
pan,Navigation,2016-06-10 17:54:05.433,0.14285714285714285,0.695,0,2,2,3,0.63246025,2,356.3361675190608
zoom,Navigation,2016-06-10 17:54:05.872,0.813953488372093,0.439,0,2,2,4,0.6228665,2,0.0
zoom,Navigation,2016-06-10 17:54:06.056,0.8181818181818182,0.184,0,2,2,5,0.59378175,2,0.0
pan,Sensemaking,2016-06-10 17:54:06.978,0.7333333333333333,0.922,0,2,2,5,0.643045,2,336.776046590488
zoom,Navigation,2016-06-10 17:54:07.695,0.8222222222222222,0.717,0,2,2,4,0.632255625,2,0.0
zoom,Navigation,2016-06-10 17:54:07.846,0.8260869565217391,0.151,0,2,2,3,0.636739375,2,0.0
pan,Foraging,2016-06-10 17:54:08.366,0.6875,0.52,0,2,2,3,0.6463865,2,342.61274521451134
pan,Foraging,2016-06-10 17:54:09.369,0.7058823529411765,1.003,0,2,2,3,0.599820875,2,344.6196156467171
pan,Foraging,2016-06-10 17:54:09.925,0.7222222222222222,0.556,0,2,2,3,0.582838,2,350.16439355455265
pan,Foraging,2016-06-10 17:54:11.175,0.7368421052631579,1.25,0,2,2,3,0.65203975,2,1.2771008107349966
pan,Foraging,2016-06-10 17:54:11.690,0.75,0.515,0,2,2,3,0.6438475,2,18.17776344900567
pan,Foraging,2016-06-10 17:54:12.706,0.7619047619047619,1.016,0,2,2,3,0.643383875,2,21.145358265109024
pan,Foraging,2016-06-10 17:54:13.279,0.7727272727272727,0.573,0,2,2,3,0.649039,2,3.0110033875524964
pan,Foraging,2016-06-10 17:54:14.130,0.782608695652174,0.851,0,2,2,3,0.42908175,2,349.3748684449942
pan,Foraging,2016-06-10 17:54:16.233,0.7916666666666666,2.103,0,2,2,3,0.572109,2,5.736687422418033
pan,Foraging,2016-06-10 17:54:16.747,0.8,0.514,0,2,2,3,0.65253175,2,298.88545861154006
pan,Foraging,2016-06-10 17:54:18.946,0.8076923076923077,2.199,0,2,2,3,0.598725125,2,294.1294580665898
pan,Foraging,2016-06-10 17:54:20.778,0.8148148148148148,1.832,0,2,2,3,0.582838,2,332.46373968022147
zoom,Navigation,2016-06-10 17:54:21.535,0.8297872340425532,0.757,0,2,2,4,0.619396625,2,0.0
zoom,Navigation,2016-06-10 17:54:21.695,0.8333333333333334,0.16,0,2,2,5,0.460868875,3,0.0
pan,Sensemaking,2016-06-10 17:54:28.730,0.75,7.035,10,2,2,5,0.5662425,4,10.723876703046747
pan,Sensemaking,2016-06-10 17:54:32.443,0.7647058823529411,3.713,10,3,2,5,0.319116375,4,30.61412713716852
pan,Sensemaking,2016-06-10 17:54:37.180,0.7777777777777778,4.737,20,3,2,5,0.0,4,13.62847983432524
pan,Sensemaking,2016-06-10 17:54:43.117,0.7894736842105263,5.937,10,3,2,5,0.6276155000000001,4,8.758078729731553
zoom,Navigation,2016-06-10 17:54:45.930,0.8367346938775511,2.813,10,4,2,4,0.62642325,4,0.0
zoom,Navigation,2016-06-10 17:54:46.266,0.84,0.336,10,4,2,3,0.634453125,4,0.0
zoom,Navigation,2016-06-10 17:54:47.993,0.8431372549019608,1.727,10,4,2,2,0.639999875,4,0.0
zoom,Navigation,2016-06-10 17:54:48.471,0.8461538461538461,0.478,10,4,2,1,0.651583625,4,0.0
pan,Foraging,2016-06-10 17:54:50.771,0.8214285714285714,2.3,10,4,2,1,0.643234,4,3.4243851004034846
