UserIndex,Action,State,TimeStamp,HighLevelStateActionProbab,StateActionProbab,IdleTime,Reward,Subtask_Screenshot_Time,Subtask_Idle_Time,ZoomLevel,NDSI,Subtask_Zoom,Subtask_ROI,Latitude,Longitude,All_address,All_raw_address,Most_frequent_state,Most_frequent_region,Angle,high-level-action
0,start,Foraging,2016-06-15 13:05:29.682,0.6666666666666666,0.4,0.0,0,1,1,0,0.676744,1,1,34.103049999999996,-98.6128,"['None', 'Other', 'None', 'Other', 'None', 'Other', 'None', 'Other']","[[15.2153, -132.053], [52.9908, -65.1726], [15.2153, -132.053], [52.9908, -65.1726], [15.2153, -132.053], [52.9908, -65.1726], [15.2153, -132.053], [52.9908, -65.1726]]",None,None,0.0,change
1,pan,Foraging,2016-06-15 13:05:55.490,0.5,0.3333333333333333,25.808,0,1,1,0,0.676744,1,1,34.103049999999996,-98.6128,"['None', 'Other', 'None', 'Other', 'None', 'Other', 'None', 'Other']","[[15.2153, -132.053], [52.9908, -65.1726], [15.2153, -132.053], [52.9908, -65.1726], [15.2153, -132.053], [52.9908, -65.1726], [15.2153, -132.053], [52.9908, -65.1726]]",None,None,351.61335618047656,same
2,pan,Foraging,2016-06-15 13:06:04.477,0.6,0.42857142857142855,8.987,0,1,1,0,0.676744,1,1,34.103049999999996,-98.6128,"['None', 'Other', 'None', 'Other', 'None', 'Other', 'None', 'Other']","[[15.2153, -132.053], [52.9908, -65.1726], [15.2153, -132.053], [52.9908, -65.1726], [15.2153, -132.053], [52.9908, -65.1726], [15.2153, -132.053], [52.9908, -65.1726]]",None,None,357.1888954813951,same
3,zoom,Navigation,2016-06-15 13:06:12.361,0.6666666666666666,0.4,7.884,0,1,1,1,0.626178375,1,1,32.654175,-94.1993125,"['None', 'South', 'Other', 'None', 'None', 'NorthernRockiesPlains', 'South', 'Other']","[[18.1367, -107.299], [30.3858, -97.2569], [15.1746, -86.0958], [30.4655, -77.7951], [30.5427, -132.053], [52.9945, -94.0237], [30.5342, -93.9559], [52.9994, -65.1151]]",None,None,0.0,change
4,pan,Navigation,2016-06-15 13:06:13.907,0.5,0.3333333333333333,1.546,0,1,1,1,0.643234,1,1,41.7668,-79.5355,"['South', 'Other', 'South', 'Other', 'South', 'Other', 'South', 'Other']","[[30.5342, -93.9559], [52.9994, -65.1151], [30.5342, -93.9559], [52.9994, -65.1151], [30.5342, -93.9559], [52.9994, -65.1151], [30.5342, -93.9559], [52.9994, -65.1151]]",Texas,South,343.359619424273,same
5,pan,Navigation,2016-06-15 13:06:15.973,0.6,0.42857142857142855,2.066,0,1,1,1,0.643234,1,1,41.7668,-79.5355,"['South', 'Other', 'South', 'Other', 'South', 'Other', 'South', 'Other']","[[30.5342, -93.9559], [52.9994, -65.1151], [30.5342, -93.9559], [52.9994, -65.1151], [30.5342, -93.9559], [52.9994, -65.1151], [30.5342, -93.9559], [52.9994, -65.1151]]",Texas,South,355.024278025896,same
6,zoom,Navigation,2016-06-15 13:06:16.922,0.6666666666666666,0.375,0.949,0,1,1,2,0.578702375,1,1,42.66595,-75.8294,"['South', 'Northeast', 'Northeast', 'Northeast', 'UpperMidwest', 'Northeast', 'Northeast', 'Northeast']","[[30.5342, -90.8979], [41.7187, -71.5601], [41.3786, -71.4974], [41.7272, -70.6166], [41.7904, -93.9831], [52.9994, -71.5039], [41.7966, -71.4782], [49.3825, -65.098]]",Rhode Island,Northeast,0.0,same
7,zoom,Navigation,2016-06-15 13:06:17.521,0.7142857142857143,0.4444444444444444,0.599,0,1,1,3,0.635006125,1,1,47.489575,-72.5898375,"['OhioValley', 'Northeast', 'Northeast', 'Northeast', 'NorthernRockiesPlains', 'Northeast', 'Northeast', 'Northeast']","[[41.7811, -81.7069], [48.4988, -71.5039], [41.7638, -71.4782], [48.488, -65.098], [48.5039, -81.5833], [52.9994, -71.533], [48.5017, -71.4939], [49.3799, -66.3215]]",Québec,Northeast,0.0,same
8,pan,Sensemaking,2016-06-15 13:06:18.480,0.6666666666666666,0.4,0.959,0,1,1,3,0.635316,1,1,48.940799999999996,-68.9077,"['Northeast', 'Northeast', 'Northeast', 'Northeast', 'Northeast', 'Northeast', 'Northeast', 'Northeast']","[[48.5017, -71.4939], [49.3799, -66.3215], [48.5017, -71.4939], [49.3799, -66.3215], [48.5017, -71.4939], [49.3799, -66.3215], [48.5017, -71.4939], [49.3799, -66.3215]]",Québec,Northeast,354.7671638005117,change
9,pan,Sensemaking,2016-06-15 13:06:19.917,0.5,0.5,1.437,0,1,1,3,0.635316,1,1,48.940799999999996,-68.9077,"['Northeast', 'Northeast', 'Northeast', 'Northeast', 'Northeast', 'Northeast', 'Northeast', 'Northeast']","[[48.5017, -71.4939], [49.3799, -66.3215], [48.5017, -71.4939], [49.3799, -66.3215], [48.5017, -71.4939], [49.3799, -66.3215], [48.5017, -71.4939], [49.3799, -66.3215]]",Québec,Northeast,353.902424804141,same
10,pan,Sensemaking,2016-06-15 13:06:21.004,0.6,0.5714285714285714,1.087,0,1,1,3,0.635316,1,1,48.940799999999996,-68.9077,"['Northeast', 'Northeast', 'Northeast', 'Northeast', 'Northeast', 'Northeast', 'Northeast', 'Northeast']","[[48.5017, -71.4939], [49.3799, -66.3215], [48.5017, -71.4939], [49.3799, -66.3215], [48.5017, -71.4939], [49.3799, -66.3215], [48.5017, -71.4939], [49.3799, -66.3215]]",Québec,Northeast,4.147218361621661,same
