Action,State,TimeStamp,StateActionProbab,IdleTime,Reward,Subtask_Screenshot_Time,Subtask_Idle_Time,ZoomLevel,NDSI,Subtask_Zoom,Angle
pan,Sensemaking,2016-06-10 21:04:15.454,0.6666666666666666,1.083,0,3,1,5,0.6220732499999999,1,337.24256641058827
zoom,Navigation,2016-06-10 21:04:16.055,0.6486486486486487,0.601,0,3,1,4,0.634366625,1,0.0
zoom,Navigation,2016-06-10 21:04:16.527,0.6578947368421053,0.472,0,3,1,3,0.635006125,1,0.0
zoom,Navigation,2016-06-10 21:04:17.095,0.6666666666666666,0.568,0,3,1,2,0.578702375,1,0.0
pan,Navigation,2016-06-10 21:04:18.042,0.3,0.947,0,3,1,2,0.6431485,1,8.059429936532496
pan,Navigation,2016-06-10 21:04:18.810,0.3170731707317073,0.768,0,3,1,2,0.656382375,1,6.4782551571909
zoom,Navigation,2016-06-10 21:04:19.487,0.6428571428571429,0.677,0,3,1,1,0.651583625,1,0.0
pan,Foraging,2016-06-10 21:04:20.614,0.7727272727272727,1.127,0,3,1,1,0.643234,1,5.79148225468284
pan,Foraging,2016-06-10 21:04:21.698,0.782608695652174,1.084,0,3,1,1,0.643234,1,6.25930904274098
pan,Foraging,2016-06-10 21:04:23.348,0.7916666666666666,1.65,0,3,1,1,0.57259225,1,5.100460034064838
zoom,Navigation,2016-06-10 21:04:24.519,0.6511627906976745,1.171,0,3,1,2,0.651013625,1,0.0
zoom,Navigation,2016-06-10 21:04:25.039,0.6590909090909091,0.52,0,3,1,3,0.650957125,1,0.0
pan,Navigation,2016-06-10 21:04:26.275,0.3111111111111111,1.236,0,3,1,3,0.6578185,1,3.127359410229875
zoom,Navigation,2016-06-10 21:04:26.976,0.6521739130434783,0.701,0,3,1,4,0.6228665,1,0.0
pan,Navigation,2016-06-10 21:04:28.903,0.3191489361702128,1.927,0,3,1,4,0.6430395,1,14.08177003429983
zoom,Navigation,2016-06-10 21:04:29.647,0.6458333333333334,0.744,0,3,1,5,0.3161485,1,0.0
pan,Sensemaking,2016-06-10 21:04:38.055,0.7,8.408,10,3,1,5,0.154086125,1,6.867413644607734
zoom,Navigation,2016-06-10 21:04:56.866,0.6530612244897959,18.811,0,4,1,4,0.6228665,1,0.0
zoom,Navigation,2016-06-10 21:04:57.456,0.66,0.59,0,4,2,3,0.5782797500000001,1,0.0
zoom,Navigation,2016-06-10 21:04:57.983,0.6666666666666666,0.527,0,4,2,2,0.618309125,1,0.0
pan,Foraging,2016-06-10 21:04:59.774,0.8,1.791,0,4,2,2,0.66188225,1,356.3983301097441
pan,Foraging,2016-06-10 21:05:01.323,0.8076923076923077,1.549,0,4,2,2,0.6766825,1,352.8565457007137
