UserIndex,Action,State,TimeStamp,HighLevelStateActionProbab,StateActionProbab,IdleTime,Reward,Subtask_Screenshot_Time,Subtask_Idle_Time,ZoomLevel,NDSI,Subtask_Zoom,Subtask_ROI,Latitude,Longitude,All_address,All_raw_address,Most_frequent_state,Most_frequent_region,Angle,high-level-action
13,zoom,Navigation,2016-06-15 16:37:28.811,0.5714285714285714,0.6666666666666666,1.659,0,1,2,1,2.6063345,1,1,41.767250000000004,-87.9112125,"['None', 'Other', 'South', 'Other', 'South', 'Other', 'South', 'Other']","[[30.5427, -132.053], [52.9945, -94.0237], [30.5342, -93.9559], [52.9994, -65.1151], [30.5342, -93.9559], [52.9994, -65.1151], [30.5342, -93.9559], [52.9994, -65.1151]]",Texas,Other,0.0,change
14,zoom,Navigation,2016-06-15 16:37:29.490,0.5,0.7,0.679,0,1,2,2,2.4732365,1,1,41.7611625,-93.7680375,"['None', 'UpperMidwest', 'South', 'Northeast', 'West', 'Other', 'UpperMidwest', 'Other']","[[30.5427, -116.467], [41.7484, -95.2126], [30.5342, -90.8979], [41.7187, -71.5601], [41.761, -116.496], [52.9945, -94.0237], [41.7904, -93.9831], [52.9994, -71.5039]]",Iowa,UpperMidwest,0.0,same
15,pan,Navigation,2016-06-15 16:37:37.233,0.5555555555555556,0.18181818181818182,7.743,0,1,2,2,2.53624,1,1,47.3949,-82.7435,"['UpperMidwest', 'Other', 'UpperMidwest', 'Other', 'UpperMidwest', 'Other', 'UpperMidwest', 'Other']","[[41.7904, -93.9831], [52.9994, -71.5039], [41.7904, -93.9831], [52.9994, -71.5039], [41.7904, -93.9831], [52.9994, -71.5039], [41.7904, -93.9831], [52.9994, -71.5039]]",Iowa,UpperMidwest,352.85438640214693,same
16,zoom,Navigation,2016-06-15 16:37:40.013,0.6,0.6666666666666666,2.78,0,1,2,3,2.5378125000000002,1,1,47.8727125,-99.42622499999999,"['SouthWest', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'Other', 'NorthernRockiesPlains', 'Other', 'NorthernRockiesPlains', 'Other']","[[41.7504, -111.985], [48.49, -98.502], [41.7644, -98.4982], [48.4885, -88.6355], [48.5, -111.989], [52.9963, -98.5314], [48.5025, -98.4653], [52.4896, -88.8034]]",North Dakota,NorthernRockiesPlains,0.0,same
17,zoom,Navigation,2016-06-15 16:37:40.716,0.6363636363636364,0.6923076923076923,0.703,0,1,2,4,2.505693,1,1,48.5008,-105.295525,"['NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'Other', 'NorthernRockiesPlains', 'Other']","[[45.1258, -111.985], [48.49, -105.253], [45.1276, -105.248], [48.4992, -98.8713], [48.5219, -111.994], [51.8747, -105.251], [48.5, -105.248], [51.8672, -98.5139]]",Montana,NorthernRockiesPlains,0.0,same
18,zoom,Navigation,2016-06-15 16:37:41.323,0.6666666666666666,0.7142857142857143,0.607,0,1,2,5,2.2584410000000004,1,1,46.91589999999999,-105.4365,"['NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains']","[[45.2251, -108.54], [46.915, -105.161], [45.2275, -105.159], [46.8152, -104.043], [46.9161, -108.48], [48.6067, -105.178], [47.018, -105.154], [48.6036, -101.777]]",Montana,NorthernRockiesPlains,0.0,same
19,zoom,Navigation,2016-06-15 16:37:42.714,0.6923076923076923,0.7333333333333333,1.391,0,1,2,6,1.9230189999999998,1,1,46.838750000000005,-105.487625,"['NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains']","[[46.1332, -106.835], [46.9159, -105.161], [46.07, -105.159], [46.8152, -104.562], [46.9161, -106.851], [47.7574, -105.178], [47.018, -105.154], [47.0842, -105.001]]",Montana,NorthernRockiesPlains,0.0,same
20,zoom,Navigation,2016-06-15 16:37:44.403,0.7142857142857143,0.75,1.689,0,1,2,5,2.2584410000000004,1,1,46.91589999999999,-105.4365,"['NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains']","[[45.2251, -108.54], [46.915, -105.161], [45.2275, -105.159], [46.8152, -104.043], [46.9161, -108.48], [48.6067, -105.178], [47.018, -105.154], [48.6036, -101.777]]",Montana,NorthernRockiesPlains,0.0,same
21,zoom,Navigation,2016-06-15 16:37:44.635,0.7333333333333333,0.7647058823529411,0.232,0,1,2,4,2.505693,1,1,48.5008,-105.295525,"['NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'Other', 'NorthernRockiesPlains', 'Other']","[[45.1258, -111.985], [48.49, -105.253], [45.1276, -105.248], [48.4992, -98.8713], [48.5219, -111.994], [51.8747, -105.251], [48.5, -105.248], [51.8672, -98.5139]]",Montana,NorthernRockiesPlains,0.0,same
22,zoom,Navigation,2016-06-15 16:37:44.939,0.75,0.7777777777777778,0.304,0,1,2,3,2.5378125000000002,1,1,47.8727125,-99.42622499999999,"['SouthWest', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'Other', 'NorthernRockiesPlains', 'Other', 'NorthernRockiesPlains', 'Other']","[[41.7504, -111.985], [48.49, -98.502], [41.7644, -98.4982], [48.4885, -88.6355], [48.5, -111.989], [52.9963, -98.5314], [48.5025, -98.4653], [52.4896, -88.8034]]",North Dakota,NorthernRockiesPlains,0.0,same
23,zoom,Navigation,2016-06-15 16:37:54.678,0.7647058823529411,0.7894736842105263,9.739,0,1,2,4,2.505693,1,1,48.5008,-105.295525,"['NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'Other', 'NorthernRockiesPlains', 'Other']","[[45.1258, -111.985], [48.49, -105.253], [45.1276, -105.248], [48.4992, -98.8713], [48.5219, -111.994], [51.8747, -105.251], [48.5, -105.248], [51.8672, -98.5139]]",Montana,NorthernRockiesPlains,0.0,same
24,zoom,Navigation,2016-06-15 16:37:55.308,0.7777777777777778,0.8,0.63,0,1,2,5,2.2584410000000004,2,1,46.91589999999999,-105.4365,"['NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains']","[[45.2251, -108.54], [46.915, -105.161], [45.2275, -105.159], [46.8152, -104.043], [46.9161, -108.48], [48.6067, -105.178], [47.018, -105.154], [48.6036, -101.777]]",Montana,NorthernRockiesPlains,0.0,same
25,pan,Sensemaking,2016-06-15 16:38:10.967,0.6666666666666666,0.4,15.659,0,1,2,5,2.4629985000000003,3,1,47.4235875,-99.987475,"['NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains']","[[45.9054, -100.353], [46.9152, -98.9483], [46.9173, -101.775], [48.6054, -98.4245], [46.9173, -101.775], [48.6054, -98.4245], [46.9173, -101.775], [48.6054, -98.4245]]",North Dakota,NorthernRockiesPlains,301.13020005312234,change
26,pan,Sensemaking,2016-06-15 16:38:20.502,0.5,0.5,9.535,10,1,2,5,1.783291,4,1,37.070949999999996,-73.408225,"['None', 'NorthernRockiesPlains', 'Other', 'Other', 'Other', 'Other', 'Other']","[[48.6086, -101.774], [50.1158, -98.3942], [49.05, -98.3871], [49.8716, -95.1617], [49.05, -98.3871], [49.8716, -95.1617]]",Manitoba,Other,240.1357377798579,same
