,User,State,KPSS_Result,KPSS_P,KPSS_stats
0,U_1,Foraging,True,0.03190437238924057,0.5433445865917719
1,U_1,Navigation,False,0.1,0.19233964955385832
2,U_1,Sensemaking,True,0.01,0.8792218688186533
3,U_10,Foraging,True,0.01,1.575172802454222
4,U_10,Navigation,True,0.01,1.6326576296503217
5,U_10,Sensemaking,True,0.01,1.606350405639057
6,U_11,Foraging,False,0.06862700725325388,0.41978534317245103
7,U_11,Navigation,True,0.022103597002743638,0.60586043296982
8,U_11,Sensemaking,True,0.01899364867900262,0.6400698645309711
9,U_12,Foraging,False,0.1,0.2005588826040758
10,U_12,Navigation,False,0.09815217353975357,0.3512869573877717
11,U_12,Sensemaking,False,0.1,0.13002834064999533
12,U_13,Foraging,True,0.01,0.774328714164467
13,U_13,Navigation,False,0.1,0.09074809814579618
14,U_13,Sensemaking,True,0.017768069967908424,0.6535512303530073
15,U_14,Foraging,True,0.04100119598761148,0.502954689815005
16,U_14,Navigation,False,0.1,0.11753848558834395
17,U_14,Sensemaking,True,0.01,0.8378007336652776
18,U_15,Foraging,False,0.1,0.12079266362766472
19,U_15,Navigation,False,0.1,0.10537159219479884
20,U_15,Sensemaking,False,0.1,0.30170425947650575
21,U_16,Foraging,True,0.01,0.9975465305307157
22,U_16,Navigation,False,0.1,0.22913479178872173
23,U_16,Sensemaking,True,0.01913864659868206,0.6384748874144973
24,U_17,Foraging,False,0.1,0.3440658327611438
25,U_17,Navigation,False,0.1,0.06563714811385689
26,U_17,Sensemaking,True,0.036596948863153476,0.5225095470475986
27,U_18,Foraging,True,0.016884091284281488,0.6632749958729036
28,U_18,Navigation,False,0.1,0.2222797679809203
29,U_18,Sensemaking,True,0.01370112248710409,0.698287652641855
30,U_19,Foraging,False,0.1,0.2623073196235444
31,U_19,Navigation,True,0.01,0.9271893435821059
32,U_19,Sensemaking,False,0.1,0.2739042820457116
33,U_2,Foraging,True,0.0389999807040934,0.5118400856738253
34,U_2,Navigation,False,0.1,0.10097877078073093
35,U_2,Sensemaking,True,0.01,1.0984493041183268
36,U_20,Foraging,True,0.01,1.0966651191263639
37,U_20,Navigation,True,0.01,1.545971157346893
38,U_20,Sensemaking,True,0.01,1.038108388523828
39,U_3,Foraging,False,0.1,0.17685638810769594
40,U_3,Navigation,False,0.1,0.14602426717389044
41,U_3,Sensemaking,True,0.01,0.7430467781081069
42,U_4,Foraging,False,0.1,0.3210301398789773
43,U_4,Navigation,True,0.015523683399811866,0.6782394826020695
44,U_4,Sensemaking,False,0.06355488529306344,0.43155266612009285
45,U_5,Foraging,True,0.01,1.4422045595750745
46,U_5,Navigation,False,0.1,0.17281948163747546
47,U_5,Sensemaking,True,0.01,0.9607269214983578
48,U_6,Foraging,False,0.1,0.26934034181061073
49,U_6,Navigation,True,0.01,0.9313268488290745
50,U_6,Sensemaking,True,0.01,1.0210265286191367
51,U_7,Foraging,True,0.014218392717098087,0.692597680111921
52,U_7,Navigation,True,0.019098241911288172,0.6389193389758301
53,U_7,Sensemaking,True,0.0388248425913571,0.5126176988943745
54,U_8,Foraging,True,0.01,0.9146821420268805
55,U_8,Navigation,True,0.01,1.1586746364609184
56,U_8,Sensemaking,True,0.01,0.9184715022005404
57,U_9,Foraging,True,0.03582478874958399,0.5259379379518471
58,U_9,Navigation,True,0.01,1.2012706400558688
59,U_9,Sensemaking,True,0.021334781632589464,0.6143174020415159
