User,Threshold,LearningRate,Discount
82316e37-1117-4663-84b4-ddb6455c83b2,0.22448979591836735,0.1,0.05
82316e37-1117-4663-84b4-ddb6455c83b2,0.5714285714285714,0.001,0.9
82316e37-1117-4663-84b4-ddb6455c83b2,0.9183673469387755,0.01,0.1
ff56863b-0710-4a58-ad22-4bf2889c9bc0,0.0625,0.01,0.2
ff56863b-0710-4a58-ad22-4bf2889c9bc0,0.11363636363636363,0.001,0.99
ff56863b-0710-4a58-ad22-4bf2889c9bc0,0.19886363636363635,0.01,0.2
ff56863b-0710-4a58-ad22-4bf2889c9bc0,0.26136363636363635,0.5,0.5
ff56863b-0710-4a58-ad22-4bf2889c9bc0,0.4034090909090909,0.5,0.05
ff56863b-0710-4a58-ad22-4bf2889c9bc0,0.5170454545454546,0.1,0.1
ff56863b-0710-4a58-ad22-4bf2889c9bc0,0.6079545454545454,0.1,0.8
ff56863b-0710-4a58-ad22-4bf2889c9bc0,0.6875,0.5,0.05
ff56863b-0710-4a58-ad22-4bf2889c9bc0,0.9375,0.1,0.9
bda49380-37ad-41c5-a109-7fa198a7691a,0.09302325581395349,0.0001,0.05
bda49380-37ad-41c5-a109-7fa198a7691a,0.16279069767441862,0.01,0.1
bda49380-37ad-41c5-a109-7fa198a7691a,0.3023255813953488,0.01,0.1
bda49380-37ad-41c5-a109-7fa198a7691a,0.5116279069767442,0.01,0.1
bda49380-37ad-41c5-a109-7fa198a7691a,0.7209302325581395,0.01,0.9
bda49380-37ad-41c5-a109-7fa198a7691a,0.7984496124031008,0.01,0.9
6d49fab8-273b-4a91-948b-ecd14556b049,0.2,0.01,0.2
6d49fab8-273b-4a91-948b-ecd14556b049,0.4266666666666667,0.5,0.99
6d49fab8-273b-4a91-948b-ecd14556b049,0.72,0.01,0.05
6d49fab8-273b-4a91-948b-ecd14556b049,0.9333333333333333,0.01,0.5
954edb7c-4eae-47ab-9338-5c5c7eccac2d,0.15254237288135594,0.01,0.05
954edb7c-4eae-47ab-9338-5c5c7eccac2d,0.3728813559322034,0.01,0.99
954edb7c-4eae-47ab-9338-5c5c7eccac2d,0.6610169491525424,0.001,0.2
954edb7c-4eae-47ab-9338-5c5c7eccac2d,0.8305084745762712,0.5,0.2
a6aab5f5-fdb6-41df-9fc6-221d70f8c6e8,0.1,0.0001,0.9
a6aab5f5-fdb6-41df-9fc6-221d70f8c6e8,0.4,0.0001,0.99
a6aab5f5-fdb6-41df-9fc6-221d70f8c6e8,0.6166666666666667,0.001,0.05
a6aab5f5-fdb6-41df-9fc6-221d70f8c6e8,0.8333333333333334,0.1,0.8
