UserIndex,Action,State,TimeStamp,HighLevelStateActionProbab,StateActionProbab,IdleTime,Reward,Subtask_Screenshot_Time,Subtask_Idle_Time,ZoomLevel,NDSI,Subtask_Zoom,Subtask_ROI,Latitude,Longitude,All_address,All_raw_address,Most_frequent_state,Most_frequent_region,Angle,high-level-action
11,pan,Sensemaking,2016-06-08 17:31:12.763,0.6,0.5714285714285714,20.42,0,1,1,5,0.0,2,1,44.376400000000004,-96.70235,"['NorthernRockiesPlains', 'UpperMidwest', 'NorthernRockiesPlains', 'UpperMidwest', 'NorthernRockiesPlains', 'UpperMidwest', 'NorthernRockiesPlains', 'UpperMidwest']","[[43.5328, -98.3916], [45.22, -95.0131], [43.5328, -98.3916], [45.22, -95.0131], [43.5328, -98.3916], [45.22, -95.0131], [43.5328, -98.3916], [45.22, -95.0131]]",South Dakota,NorthernRockiesPlains,359.46827549083116,same
12,zoom,Navigation,2016-06-08 17:31:21.580,0.3,0.5833333333333334,8.817,0,1,2,4,0.630823,2,2,41.8963875,-98.8942,"['SouthWest', 'NorthernRockiesPlains', 'South', 'UpperMidwest', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'UpperMidwest']","[[38.3755, -105.001], [41.7499, -98.5189], [39.5587, -98.4872], [41.7471, -95.1461], [41.7504, -105.244], [45.1093, -98.502], [41.7565, -98.4982], [45.1237, -91.7562]]",Nebraska,NorthernRockiesPlains,0.0,change
13,pan,Navigation,2016-06-08 17:31:29.912,0.7272727272727273,0.3076923076923077,8.332,0,1,2,4,0.3109345,2,2,46.7971625,-96.84133750000001,"['NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains']","[[45.1276, -105.248], [48.4992, -98.8713], [45.1255, -98.4456], [48.458, -91.7582], [45.1255, -98.4456], [48.458, -91.7582], [45.1255, -98.4456], [48.458, -91.7582]]",South Dakota,NorthernRockiesPlains,11.410695173243449,same
14,pan,Navigation,2016-06-08 17:31:37.672,0.75,0.35714285714285715,7.76,0,1,2,4,0.3161125,2,2,45.965175,-108.61987500000001,"['SouthWest', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains']","[[41.75, -111.985], [45.124, -105.26], [45.1258, -111.985], [48.49, -105.253], [45.1258, -111.985], [48.49, -105.253], [45.1258, -111.985], [48.49, -105.253]]",Montana,NorthernRockiesPlains,2.0662193928051984,same
15,zoom,Navigation,2016-06-08 17:31:39.015,0.7692307692307693,0.5333333333333333,1.343,0,1,2,3,0.6367393749999999,2,2,41.83425,-99.685,"['South', 'NorthernRockiesPlains', 'South', 'UpperMidwest', 'SouthWest', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains']","[[35.0085, -111.96], [41.7484, -98.5357], [35.6837, -98.4657], [41.7401, -90.8979], [41.7504, -111.985], [48.49, -98.502], [41.7644, -98.4982], [48.4885, -88.6355]]",Nebraska,NorthernRockiesPlains,0.0,same
16,pan,Navigation,2016-06-08 17:31:40.585,0.7857142857142857,0.375,1.57,0,1,2,3,0.0,2,2,45.126450000000006,-93.56684999999999,"['NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains']","[[41.7644, -98.4982], [48.4885, -88.6355], [41.7644, -98.4982], [48.4885, -88.6355], [41.7644, -98.4982], [48.4885, -88.6355], [41.7644, -98.4982], [48.4885, -88.6355]]",Nebraska,NorthernRockiesPlains,353.72796578399664,same
17,pan,Navigation,2016-06-08 17:31:41.582,0.8,0.4117647058823529,0.997,0,1,2,3,0.308401875,2,2,50.55907499999999,-96.5408125,"['NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains']","[[48.5, -111.989], [52.9963, -98.5314], [48.5025, -98.4653], [52.4896, -88.8034], [48.5025, -98.4653], [52.4896, -88.8034], [48.5025, -98.4653], [52.4896, -88.8034]]",North Dakota,NorthernRockiesPlains,346.0941982382733,same
18,zoom,Navigation,2016-06-08 17:31:43.127,0.8125,0.5,1.545,0,1,2,2,0.618309125,2,2,41.7611625,-93.7680375,"['None', 'UpperMidwest', 'South', 'Northeast', 'West', 'NorthernRockiesPlains', 'UpperMidwest', 'Northeast']","[[30.5427, -116.467], [41.7484, -95.2126], [30.5342, -90.8979], [41.7187, -71.5601], [41.761, -116.496], [52.9945, -94.0237], [41.7904, -93.9831], [52.9994, -71.5039]]",Iowa,UpperMidwest,0.0,same
19,zoom,Navigation,2016-06-08 17:31:43.761,0.8235294117647058,0.5263157894736842,0.634,0,1,2,1,0.32996662499999996,2,2,41.767250000000004,-87.9112125,"['None', 'NorthernRockiesPlains', 'South', 'Other', 'South', 'Other', 'South', 'Other']","[[30.5427, -132.053], [52.9945, -94.0237], [30.5342, -93.9559], [52.9994, -65.1151], [30.5342, -93.9559], [52.9994, -65.1151], [30.5342, -93.9559], [52.9994, -65.1151]]",Texas,South,0.0,same
20,pan,Foraging,2016-06-08 17:31:45.742,0.6,0.42857142857142855,1.981,0,1,2,1,0.29621175,2,2,23.180349999999997,-87.02857499999999,"['None', 'South', 'Other', 'None', 'Other', 'None', 'Other', 'None']","[[18.1367, -107.299], [30.3858, -97.2569], [15.1746, -86.0958], [30.4655, -77.7951], [15.1746, -86.0958], [30.4655, -77.7951], [15.1746, -86.0958], [30.4655, -77.7951]]",None,None,26.33319155760971,change
21,pan,Foraging,2016-06-08 17:31:46.785,0.5,0.5,1.043,0,1,2,1,0.0,2,2,22.82005,-81.94545,"['Other', 'None', 'Other', 'None', 'Other', 'None', 'Other', 'None']","[[15.1746, -86.0958], [30.4655, -77.7951], [15.1746, -86.0958], [30.4655, -77.7951], [15.1746, -86.0958], [30.4655, -77.7951], [15.1746, -86.0958], [30.4655, -77.7951]]",Olancho,Other,343.96448887154486,same
22,pan,Foraging,2016-06-08 17:31:48.022,0.5714285714285714,0.5555555555555556,1.237,0,1,2,1,0.0,2,2,22.82005,-81.94545,"['Other', 'None', 'Other', 'None', 'Other', 'None', 'Other', 'None']","[[15.1746, -86.0958], [30.4655, -77.7951], [15.1746, -86.0958], [30.4655, -77.7951], [15.1746, -86.0958], [30.4655, -77.7951], [15.1746, -86.0958], [30.4655, -77.7951]]",Olancho,Other,333.6582706603021,same
23,pan,Foraging,2016-06-08 17:31:49.130,0.625,0.6,1.108,0,1,2,1,0.0,2,2,22.82005,-81.94545,"['Other', 'None', 'Other', 'None', 'Other', 'None', 'Other', 'None']","[[15.1746, -86.0958], [30.4655, -77.7951], [15.1746, -86.0958], [30.4655, -77.7951], [15.1746, -86.0958], [30.4655, -77.7951], [15.1746, -86.0958], [30.4655, -77.7951]]",Olancho,Other,350.2267722988848,same
24,pan,Foraging,2016-06-08 17:31:50.994,0.6666666666666666,0.4,1.864,0,1,2,1,0.0,2,2,22.82005,-81.94545,"['Other', 'None', 'Other', 'None', 'Other', 'None', 'Other', 'None']","[[15.1746, -86.0958], [30.4655, -77.7951], [15.1746, -86.0958], [30.4655, -77.7951], [15.1746, -86.0958], [30.4655, -77.7951], [15.1746, -86.0958], [30.4655, -77.7951]]",Olancho,Other,0.0,change
25,zoom,Foraging,2016-06-08 17:31:51.519,0.4444444444444444,0.18181818181818182,0.525,0,1,2,2,0.618309125,2,2,41.7611625,-93.7680375,"['None', 'UpperMidwest', 'South', 'Northeast', 'West', 'NorthernRockiesPlains', 'UpperMidwest', 'Northeast']","[[30.5427, -116.467], [41.7484, -95.2126], [30.5342, -90.8979], [41.7187, -71.5601], [41.761, -116.496], [52.9945, -94.0237], [41.7904, -93.9831], [52.9994, -71.5039]]",Iowa,UpperMidwest,0.0,change
26,pan,Foraging,2016-06-08 17:31:52.345,0.6,0.5833333333333334,0.826,0,1,2,2,0.0,2,2,47.3949,-82.7435,"['UpperMidwest', 'Northeast', 'UpperMidwest', 'Northeast', 'UpperMidwest', 'Northeast', 'UpperMidwest', 'Northeast']","[[41.7904, -93.9831], [52.9994, -71.5039], [41.7904, -93.9831], [52.9994, -71.5039], [41.7904, -93.9831], [52.9994, -71.5039], [41.7904, -93.9831], [52.9994, -71.5039]]",Iowa,UpperMidwest,356.5313355875505,same
27,pan,Foraging,2016-06-08 17:31:53.182,0.6363636363636364,0.6153846153846154,0.837,0,1,2,2,0.28786587500000005,2,2,44.5803875,-68.980325,"['Northeast', 'Northeast', 'Northeast', 'Northeast', 'Northeast', 'Northeast', 'Northeast', 'Northeast']","[[41.3786, -71.4974], [41.7272, -70.6166], [41.7966, -71.4782], [49.3825, -65.098], [41.7966, -71.4782], [49.3825, -65.098], [41.7966, -71.4782], [49.3825, -65.098]]",Rhode Island,Northeast,340.4710533434178,same
28,pan,Foraging,2016-06-08 17:31:56.171,0.6666666666666666,0.6428571428571429,2.989,0,1,2,2,0.0,2,2,45.58955,-68.2881,"['Northeast', 'Northeast', 'Northeast', 'Northeast', 'Northeast', 'Northeast', 'Northeast', 'Northeast']","[[41.7966, -71.4782], [49.3825, -65.098], [41.7966, -71.4782], [49.3825, -65.098], [41.7966, -71.4782], [49.3825, -65.098], [41.7966, -71.4782], [49.3825, -65.098]]",Rhode Island,Northeast,356.11510210424615,same
29,zoom,Foraging,2016-06-08 17:31:57.207,0.6923076923076923,0.2,1.036,0,1,2,1,0.32996662499999996,2,2,41.767250000000004,-87.9112125,"['None', 'NorthernRockiesPlains', 'South', 'Other', 'South', 'Other', 'South', 'Other']","[[30.5427, -132.053], [52.9945, -94.0237], [30.5342, -93.9559], [52.9994, -65.1151], [30.5342, -93.9559], [52.9994, -65.1151], [30.5342, -93.9559], [52.9994, -65.1151]]",Texas,South,0.0,same
30,pan,Foraging,2016-06-08 17:31:58.036,0.7142857142857143,0.625,0.829,0,1,2,1,0.0,2,2,41.7668,-79.5355,"['South', 'Other', 'South', 'Other', 'South', 'Other', 'South', 'Other']","[[30.5342, -93.9559], [52.9994, -65.1151], [30.5342, -93.9559], [52.9994, -65.1151], [30.5342, -93.9559], [52.9994, -65.1151], [30.5342, -93.9559], [52.9994, -65.1151]]",Texas,South,19.277733986494635,same
31,pan,Foraging,2016-06-08 17:31:59.021,0.7333333333333333,0.6470588235294118,0.985,0,1,2,1,0.0,2,2,41.7668,-79.5355,"['South', 'Other', 'South', 'Other', 'South', 'Other', 'South', 'Other']","[[30.5342, -93.9559], [52.9994, -65.1151], [30.5342, -93.9559], [52.9994, -65.1151], [30.5342, -93.9559], [52.9994, -65.1151], [30.5342, -93.9559], [52.9994, -65.1151]]",Texas,South,23.81679118433171,same
32,zoom,Navigation,2016-06-08 17:32:01.805,0.2222222222222222,0.55,2.784,0,1,2,2,0.651013625,2,2,42.36835000000001,-113.94953749999999,"['None', 'West', 'None', 'UpperMidwest', 'None', 'Other', 'West', 'NorthernRockiesPlains']","[[35.4656, -124.134], [41.6637, -116.597], [30.5427, -116.467], [41.7484, -95.2126], [41.7792, -132.156], [52.9917, -116.51], [41.761, -116.496], [52.9945, -94.0237]]",None,None,0.0,change
33,pan,Navigation,2016-06-08 17:32:03.318,0.7894736842105263,0.38095238095238093,1.513,0,1,2,2,0.29083649999999994,2,2,44.5777875,-82.364875,"['South', 'Northeast', 'UpperMidwest', 'Northeast', 'UpperMidwest', 'Northeast', 'UpperMidwest', 'Northeast']","[[30.5342, -90.8979], [41.7187, -71.5601], [41.7904, -93.9831], [52.9994, -71.5039], [41.7904, -93.9831], [52.9994, -71.5039], [41.7904, -93.9831], [52.9994, -71.5039]]",Iowa,Northeast,357.059593898257,same
34,pan,Navigation,2016-06-08 17:32:04.348,0.75,0.5,1.03,0,1,2,2,0.0,2,2,47.3949,-82.7435,"['UpperMidwest', 'Northeast', 'UpperMidwest', 'Northeast', 'UpperMidwest', 'Northeast', 'UpperMidwest', 'Northeast']","[[41.7904, -93.9831], [52.9994, -71.5039], [41.7904, -93.9831], [52.9994, -71.5039], [41.7904, -93.9831], [52.9994, -71.5039], [41.7904, -93.9831], [52.9994, -71.5039]]",Iowa,UpperMidwest,0.0,change
