User,ROI_Cycle,NorthernRockiesPlains,SouthWest,NorthWest,Northeast,Other,None
userid_954edb7c-4eae-47ab-9338-5c5c7eccac2d,3,Navigation,NA,Navigation,Navigation,Navigation,Navigation
userid_954edb7c-4eae-47ab-9338-5c5c7eccac2d,4,Navigation,NA,NA,NA,Foraging,NA
userid_954edb7c-4eae-47ab-9338-5c5c7eccac2d,5,Navigation,Sensemaking,NA,NA,Navigation,Foraging
userid_a6aab5f5-fdb6-41df-9fc6-221d70f8c6e8,1,NA,NA,NA,NA,Sensemaking,Navigation
userid_a6aab5f5-fdb6-41df-9fc6-221d70f8c6e8,2,Navigation,Navigation,NA,NA,Foraging,Navigation
userid_a6aab5f5-fdb6-41df-9fc6-221d70f8c6e8,3,Navigation,NA,NA,NA,Navigation,Navigation
userid_a6aab5f5-fdb6-41df-9fc6-221d70f8c6e8,4,Navigation,NA,NA,NA,Foraging,Sensemaking
userid_a6aab5f5-fdb6-41df-9fc6-221d70f8c6e8,5,Navigation,NA,NA,NA,Navigation,Foraging
userid_ac5b65d7-f260-4534-9fae-d998b726ed32,1,Sensemaking,NA,NA,NA,Navigation,Foraging
userid_ac5b65d7-f260-4534-9fae-d998b726ed32,2,Navigation,NA,NA,Foraging,Foraging,Foraging
userid_ac5b65d7-f260-4534-9fae-d998b726ed32,3,Navigation,NA,Navigation,NA,Foraging,Navigation
userid_ac5b65d7-f260-4534-9fae-d998b726ed32,4,Sensemaking,NA,Navigation,NA,Foraging,Navigation
userid_ac5b65d7-f260-4534-9fae-d998b726ed32,5,Navigation,NA,NA,NA,Navigation,Foraging
userid_ac5b65d7-f260-4534-9fae-d998b726ed32,6,Navigation,NA,Sensemaking,NA,Foraging,Navigation
userid_ac5b65d7-f260-4534-9fae-d998b726ed32,7,Sensemaking,Sensemaking,Navigation,Foraging,Navigation,Foraging
userid_bc9f9425-e867-4876-a5d9-791229916767,1,Navigation,NA,Sensemaking,NA,Foraging,Foraging
userid_bc9f9425-e867-4876-a5d9-791229916767,2,NA,NA,Navigation,Navigation,Foraging,Foraging
userid_bc9f9425-e867-4876-a5d9-791229916767,3,Foraging,NA,NA,Navigation,Foraging,Foraging
userid_bda49380-37ad-41c5-a109-7fa198a7691a,1,Sensemaking,NA,NA,NA,Navigation,Foraging
userid_bda49380-37ad-41c5-a109-7fa198a7691a,2,Navigation,Navigation,NA,NA,NA,NA
userid_bda49380-37ad-41c5-a109-7fa198a7691a,3,Navigation,NA,Sensemaking,NA,Navigation,Navigation
userid_bda49380-37ad-41c5-a109-7fa198a7691a,4,Sensemaking,Sensemaking,Navigation,NA,Foraging,Navigation
userid_bda49380-37ad-41c5-a109-7fa198a7691a,5,Navigation,NA,Sensemaking,Foraging,Foraging,Foraging
userid_bda49380-37ad-41c5-a109-7fa198a7691a,6,Navigation,Sensemaking,Navigation,NA,Navigation,Foraging
userid_bda49380-37ad-41c5-a109-7fa198a7691a,7,Sensemaking,NA,NA,NA,Navigation,Sensemaking
userid_cd3ef507-e3e9-4edb-9222-90a69a9bf272,1,Sensemaking,NA,NA,Foraging,Foraging,Foraging
userid_cd3ef507-e3e9-4edb-9222-90a69a9bf272,2,NA,NA,Navigation,NA,Foraging,Navigation
userid_cd3ef507-e3e9-4edb-9222-90a69a9bf272,3,Navigation,Navigation,Navigation,Foraging,Foraging,Navigation
userid_cd3ef507-e3e9-4edb-9222-90a69a9bf272,4,Sensemaking,NA,NA,Foraging,Foraging,Navigation
userid_d6555293-35c7-4c27-b522-38d67d2d1b1a,1,Navigation,NA,NA,Navigation,Navigation,Navigation
userid_d6555293-35c7-4c27-b522-38d67d2d1b1a,2,Navigation,NA,NA,NA,Navigation,Navigation
userid_d6555293-35c7-4c27-b522-38d67d2d1b1a,3,Navigation,NA,NA,NA,NA,NA
userid_d6555293-35c7-4c27-b522-38d67d2d1b1a,4,Navigation,NA,Navigation,NA,Navigation,Navigation
userid_d6555293-35c7-4c27-b522-38d67d2d1b1a,5,Sensemaking,NA,Navigation,Sensemaking,Sensemaking,Navigation
userid_d6555293-35c7-4c27-b522-38d67d2d1b1a,6,Sensemaking,NA,NA,Foraging,Foraging,Foraging
userid_da52acdd-3cea-483c-86e5-2c2740d371aa,1,Sensemaking,Sensemaking,NA,NA,NA,Navigation
userid_da52acdd-3cea-483c-86e5-2c2740d371aa,2,Navigation,NA,Sensemaking,NA,Navigation,Navigation
userid_da52acdd-3cea-483c-86e5-2c2740d371aa,3,NA,NA,Sensemaking,NA,NA,Navigation
userid_da52acdd-3cea-483c-86e5-2c2740d371aa,4,Navigation,Navigation,Navigation,NA,Navigation,Navigation
userid_da52acdd-3cea-483c-86e5-2c2740d371aa,5,Navigation,NA,NA,NA,Foraging,Foraging
userid_da52acdd-3cea-483c-86e5-2c2740d371aa,6,Navigation,Navigation,NA,NA,Navigation,Navigation
userid_da52acdd-3cea-483c-86e5-2c2740d371aa,7,Navigation,NA,NA,NA,Foraging,Navigation
userid_da52acdd-3cea-483c-86e5-2c2740d371aa,8,Navigation,NA,NA,NA,Sensemaking,NA
userid_da52acdd-3cea-483c-86e5-2c2740d371aa,9,Navigation,NA,NA,NA,Navigation,Foraging
userid_e4221e48-0930-40db-af3c-f4de1ed87582,1,Navigation,NA,Navigation,NA,Navigation,Foraging
userid_e4221e48-0930-40db-af3c-f4de1ed87582,2,Navigation,Sensemaking,Navigation,NA,Navigation,Navigation
userid_e4221e48-0930-40db-af3c-f4de1ed87582,3,NA,Navigation,NA,Sensemaking,Foraging,NA
userid_e4221e48-0930-40db-af3c-f4de1ed87582,4,NA,NA,NA,Sensemaking,NA,NA
userid_ff56863b-0710-4a58-ad22-4bf2889c9bc0,1,NA,Navigation,NA,NA,Navigation,Foraging
userid_ff56863b-0710-4a58-ad22-4bf2889c9bc0,2,Sensemaking,Navigation,NA,NA,Navigation,NA
userid_ff56863b-0710-4a58-ad22-4bf2889c9bc0,3,Navigation,NA,Sensemaking,NA,Navigation,Navigation
userid_ff56863b-0710-4a58-ad22-4bf2889c9bc0,4,NA,NA,Navigation,NA,Foraging,Navigation
userid_ff56863b-0710-4a58-ad22-4bf2889c9bc0,5,Sensemaking,NA,Navigation,Sensemaking,Sensemaking,Navigation
userid_ff56863b-0710-4a58-ad22-4bf2889c9bc0,6,NA,NA,Navigation,Foraging,Foraging,Navigation
userid_ff56863b-0710-4a58-ad22-4bf2889c9bc0,7,Sensemaking,NA,Navigation,Foraging,Foraging,Foraging
userid_ff56863b-0710-4a58-ad22-4bf2889c9bc0,8,Navigation,Navigation,NA,NA,Navigation,Foraging
userid_ff56863b-0710-4a58-ad22-4bf2889c9bc0,9,Sensemaking,Navigation,NA,Foraging,Foraging,Sensemaking
userid_ff56863b-0710-4a58-ad22-4bf2889c9bc0,10,Sensemaking,NA,NA,NA,Foraging,NA
