UserIndex,Action,State,TimeStamp,HighLevelAction,HighLevelStateActionProbab,StateActionProbab,IdleTime,Reward,Subtask_Screenshot_Time,Subtask_Idle_Time,ZoomLevel,NDSI,Subtask_Zoom,Subtask_ROI,Latitude,Longitude,All_address,All_raw_address,Most_frequent_state,Most_frequent_region,Angle,high-level-action
0,start,Foraging,2016-06-14 14:20:15.438,same,1.0,0.4,0.0,0,1,1,0,0.169186,1,1,34.103049999999996,-98.6128,"['None', 'Other', 'None', 'Other', 'None', 'Other', 'None', 'Other']","[[15.2153, -132.053], [52.9908, -65.1726], [15.2153, -132.053], [52.9908, -65.1726], [15.2153, -132.053], [52.9908, -65.1726], [15.2153, -132.053], [52.9908, -65.1726]]",None,None,0.0,same
1,zoom,Navigation,2016-06-14 14:20:48.979,change,1.0,0.4,33.541,0,1,1,1,0.626178375,1,1,32.654175,-94.1993125,"['None', 'South', 'Other', 'None', 'None', 'NorthernRockiesPlains', 'South', 'Other']","[[18.1367, -107.299], [30.3858, -97.2569], [15.1746, -86.0958], [30.4655, -77.7951], [30.5427, -132.053], [52.9945, -94.0237], [30.5342, -93.9559], [52.9994, -65.1151]]",None,None,0.0,change
2,zoom,Navigation,2016-06-14 14:20:49.667,same,0.5,0.5,0.688,0,1,1,2,0.5911005,1,1,31.098675,-92.82305,"['None', 'South', 'None', 'None', 'None', 'UpperMidwest', 'South', 'Northeast']","[[19.3337, -107.299], [30.4742, -97.2569], [23.9454, -86.0958], [30.4921, -77.7951], [30.5427, -116.467], [41.7484, -95.2126], [30.5342, -90.8979], [41.7187, -71.5601]]",None,None,0.0,same
3,zoom,Navigation,2016-06-14 14:20:50.370,same,0.6666666666666666,0.5714285714285714,0.703,0,1,1,3,0.5503321250000001,1,1,28.6190375,-98.9083625,"['Other', 'Other', 'Other', 'Other', 'Other', 'South', 'South', 'SouthEast']","[[23.3093, -102.879], [27.2511, -101.72], [25.9019, -97.2569], [25.9019, -97.2569], [28.9428, -110.021], [34.9908, -98.8853], [29.9522, -98.2459], [32.7023, -85.0019]]",Tamaulipas,Other,0.0,same
4,pan,Sensemaking,2016-06-14 14:20:52.096,change,1.0,0.4,1.726,0,1,1,3,0.310688125,1,1,38.6285375,-97.32331250000001,"['South', 'NorthernRockiesPlains', 'South', 'UpperMidwest', 'South', 'UpperMidwest', 'South', 'UpperMidwest']","[[35.0085, -111.96], [41.7484, -98.5357], [35.6837, -98.4657], [41.7401, -90.8979], [35.6837, -98.4657], [41.7401, -90.8979], [35.6837, -98.4657], [41.7401, -90.8979]]",Oklahoma,South,5.511678809905948,change
5,pan,Sensemaking,2016-06-14 14:20:53.102,same,0.5,0.5,1.006,0,1,1,3,0.0,1,1,38.7119,-94.68180000000001,"['South', 'UpperMidwest', 'South', 'UpperMidwest', 'South', 'UpperMidwest', 'South', 'UpperMidwest']","[[35.6837, -98.4657], [41.7401, -90.8979], [35.6837, -98.4657], [41.7401, -90.8979], [35.6837, -98.4657], [41.7401, -90.8979], [35.6837, -98.4657], [41.7401, -90.8979]]",Oklahoma,South,346.15837729931235,same
6,zoom,Navigation,2016-06-14 14:20:55.019,change,0.5,0.625,1.917,0,1,1,2,0.5911005,1,2,31.098675,-92.82305,"['None', 'South', 'None', 'None', 'None', 'UpperMidwest', 'South', 'Northeast']","[[19.3337, -107.299], [30.4742, -97.2569], [23.9454, -86.0958], [30.4921, -77.7951], [30.5427, -116.467], [41.7484, -95.2126], [30.5342, -90.8979], [41.7187, -71.5601]]",None,None,0.0,change
7,zoom,Navigation,2016-06-14 14:20:55.762,same,0.6,0.6666666666666666,0.743,0,1,1,1,0.626178375,1,2,32.654175,-94.1993125,"['None', 'South', 'Other', 'None', 'None', 'NorthernRockiesPlains', 'South', 'Other']","[[18.1367, -107.299], [30.3858, -97.2569], [15.1746, -86.0958], [30.4655, -77.7951], [30.5427, -132.053], [52.9945, -94.0237], [30.5342, -93.9559], [52.9994, -65.1151]]",None,None,0.0,same
8,pan,Foraging,2016-06-14 14:20:58.477,change,0.5,0.3333333333333333,2.715,0,1,1,1,0.0,1,2,41.7668,-79.5355,"['South', 'Other', 'South', 'Other', 'South', 'Other', 'South', 'Other']","[[30.5342, -93.9559], [52.9994, -65.1151], [30.5342, -93.9559], [52.9994, -65.1151], [30.5342, -93.9559], [52.9994, -65.1151], [30.5342, -93.9559], [52.9994, -65.1151]]",Texas,South,357.86876913271766,change
9,zoom,Navigation,2016-06-14 14:20:59.043,change,0.5,0.7,0.566,0,1,1,2,0.651013625,1,2,42.36835000000001,-113.94953749999999,"['None', 'West', 'None', 'UpperMidwest', 'None', 'Other', 'West', 'NorthernRockiesPlains']","[[35.4656, -124.134], [41.6637, -116.597], [30.5427, -116.467], [41.7484, -95.2126], [41.7792, -132.156], [52.9917, -116.51], [41.761, -116.496], [52.9945, -94.0237]]",None,None,0.0,change
10,zoom,Navigation,2016-06-14 14:21:02.378,same,0.5714285714285714,0.7272727272727273,3.335,0,1,1,3,0.650957125,1,2,41.8029375,-111.7233375,"['None', 'SouthWest', 'South', 'NorthernRockiesPlains', 'None', 'NorthernRockiesPlains', 'SouthWest', 'NorthernRockiesPlains']","[[35.4466, -124.124], [41.7065, -112.025], [35.0085, -111.96], [41.7484, -98.5357], [41.7759, -124.65], [48.4972, -112.005], [41.7504, -111.985], [48.49, -98.502]]",None,NorthernRockiesPlains,0.0,same
11,zoom,Navigation,2016-06-14 14:21:03.139,same,0.625,0.75,0.761,0,1,1,2,0.651013625,1,2,42.36835000000001,-113.94953749999999,"['None', 'West', 'None', 'UpperMidwest', 'None', 'Other', 'West', 'NorthernRockiesPlains']","[[35.4656, -124.134], [41.6637, -116.597], [30.5427, -116.467], [41.7484, -95.2126], [41.7792, -132.156], [52.9917, -116.51], [41.761, -116.496], [52.9945, -94.0237]]",None,None,0.0,same
12,zoom,Navigation,2016-06-14 14:21:03.331,same,0.6666666666666666,0.7692307692307693,0.192,0,1,1,1,0.626178375,1,2,32.654175,-94.1993125,"['None', 'South', 'Other', 'None', 'None', 'NorthernRockiesPlains', 'South', 'Other']","[[18.1367, -107.299], [30.3858, -97.2569], [15.1746, -86.0958], [30.4655, -77.7951], [30.5427, -132.053], [52.9945, -94.0237], [30.5342, -93.9559], [52.9994, -65.1151]]",None,None,0.0,same
13,zoom,Navigation,2016-06-14 14:21:03.538,same,0.7,0.7857142857142857,0.207,0,1,1,0,0.169186,1,2,34.103049999999996,-98.6128,"['None', 'Other', 'None', 'Other', 'None', 'Other', 'None', 'Other']","[[15.2153, -132.053], [52.9908, -65.1726], [15.2153, -132.053], [52.9908, -65.1726], [15.2153, -132.053], [52.9908, -65.1726], [15.2153, -132.053], [52.9908, -65.1726]]",None,None,0.0,same
14,zoom,Foraging,2016-06-14 14:21:04.818,change,0.6666666666666666,0.2857142857142857,1.28,0,1,1,1,0.626178375,1,2,32.654175,-94.1993125,"['None', 'South', 'Other', 'None', 'None', 'NorthernRockiesPlains', 'South', 'Other']","[[18.1367, -107.299], [30.3858, -97.2569], [15.1746, -86.0958], [30.4655, -77.7951], [30.5427, -132.053], [52.9945, -94.0237], [30.5342, -93.9559], [52.9994, -65.1151]]",None,None,0.0,change
15,pan,Foraging,2016-06-14 14:21:07.982,same,0.5,0.375,3.164,0,1,1,1,0.0,1,2,41.7668,-79.5355,"['South', 'Other', 'South', 'Other', 'South', 'Other', 'South', 'Other']","[[30.5342, -93.9559], [52.9994, -65.1151], [30.5342, -93.9559], [52.9994, -65.1151], [30.5342, -93.9559], [52.9994, -65.1151], [30.5342, -93.9559], [52.9994, -65.1151]]",Texas,South,355.8406809852439,same
16,pan,Foraging,2016-06-14 14:21:11.906,same,0.6,0.4444444444444444,3.924,0,1,1,1,0.0,1,2,41.7668,-79.5355,"['South', 'Other', 'South', 'Other', 'South', 'Other', 'South', 'Other']","[[30.5342, -93.9559], [52.9994, -65.1151], [30.5342, -93.9559], [52.9994, -65.1151], [30.5342, -93.9559], [52.9994, -65.1151], [30.5342, -93.9559], [52.9994, -65.1151]]",Texas,South,4.6245475742940485,same
17,pan,Foraging,2016-06-14 14:21:14.565,same,0.6666666666666666,0.5,2.659,0,1,1,1,0.0,1,2,41.7668,-79.5355,"['South', 'Other', 'South', 'Other', 'South', 'Other', 'South', 'Other']","[[30.5342, -93.9559], [52.9994, -65.1151], [30.5342, -93.9559], [52.9994, -65.1151], [30.5342, -93.9559], [52.9994, -65.1151], [30.5342, -93.9559], [52.9994, -65.1151]]",Texas,South,350.89195712538185,same
18,zoom,Navigation,2016-06-14 14:21:20.594,change,0.36363636363636365,0.8,6.029,0,1,1,2,0.618309125,1,2,41.7611625,-93.7680375,"['None', 'UpperMidwest', 'South', 'Northeast', 'West', 'NorthernRockiesPlains', 'UpperMidwest', 'Northeast']","[[30.5427, -116.467], [41.7484, -95.2126], [30.5342, -90.8979], [41.7187, -71.5601], [41.761, -116.496], [52.9945, -94.0237], [41.7904, -93.9831], [52.9994, -71.5039]]",Iowa,UpperMidwest,0.0,change
19,zoom,Navigation,2016-06-14 14:21:22.242,same,0.6666666666666666,0.8125,1.648,0,1,1,3,0.6367393749999999,1,2,41.83425,-99.685,"['South', 'NorthernRockiesPlains', 'South', 'UpperMidwest', 'SouthWest', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains']","[[35.0085, -111.96], [41.7484, -98.5357], [35.6837, -98.4657], [41.7401, -90.8979], [41.7504, -111.985], [48.49, -98.502], [41.7644, -98.4982], [48.4885, -88.6355]]",Nebraska,NorthernRockiesPlains,0.0,same
20,zoom,Navigation,2016-06-14 14:21:23.682,same,0.6923076923076923,0.8235294117647058,1.44,0,1,1,4,0.6228665,1,2,38.5418625,-105.7333625,"['South', 'SouthWest', 'SouthWest', 'SouthWest', 'SouthWest', 'NorthernRockiesPlains', 'SouthWest', 'NorthernRockiesPlains']","[[35.0085, -111.688], [38.3697, -105.273], [36.3394, -105.219], [38.3701, -102.886], [38.3778, -111.966], [41.744, -105.315], [38.3755, -105.001], [41.7499, -98.5189]]",Colorado,SouthWest,0.0,same
21,zoom,Navigation,2016-06-14 14:21:23.898,same,0.7142857142857143,0.8333333333333334,0.216,0,1,1,5,0.317124875,1,2,19.228275,-51.84525,"['SouthWest', 'SouthWest', 'None', 'SouthWest', 'NorthernRockiesPlains', 'None']","[[36.768, -104.905], [38.4493, -102.885], [38.4611, -105.023], [40.1478, -101.949]]",Colorado,SouthWest,0.0,same
22,pan,Sensemaking,2016-06-14 14:21:26.754,change,0.6666666666666666,0.5714285714285714,2.856,0,1,1,5,0.4396956249999999,1,2,40.5699,-105.053,"['SouthWest', 'SouthWest', 'SouthWest', 'NorthernRockiesPlains', 'SouthWest', 'NorthernRockiesPlains', 'SouthWest', 'NorthernRockiesPlains']","[[38.4561, -108.4], [40.1422, -105.486], [40.149, -107.831], [41.8365, -105.309], [40.1513, -104.815], [41.8364, -101.884], [40.1513, -104.815], [41.8364, -101.884]]",Colorado,SouthWest,7.551746054715041,change
23,pan,Sensemaking,2016-06-14 14:21:30.234,same,0.5,0.625,3.48,0,1,1,5,0.32028575,1,2,42.66125,-104.2045,"['NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains']","[[41.8405, -108.544], [43.5318, -105.244], [41.841, -104.835], [43.4649, -101.781], [41.841, -104.835], [43.4649, -101.781], [41.841, -104.835], [43.4649, -101.781]]",Wyoming,NorthernRockiesPlains,340.91768325146063,same
24,zoom,Navigation,2016-06-14 14:21:31.316,change,0.3333333333333333,0.8421052631578947,1.082,0,1,1,4,0.632255625,1,3,41.7476125,-105.22398749999999,"['SouthWest', 'NorthernRockiesPlains', 'SouthWest', 'NorthernRockiesPlains', 'SouthWest', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains']","[[38.3778, -111.966], [41.744, -105.315], [38.3755, -105.001], [41.7499, -98.5189], [41.75, -111.985], [45.124, -105.26], [41.7504, -105.244], [45.1093, -98.502]]",Utah,NorthernRockiesPlains,0.0,change
25,zoom,Navigation,2016-06-14 14:21:31.738,same,0.6875,0.85,0.422,0,1,1,3,0.6367393749999999,1,3,41.83425,-99.685,"['South', 'NorthernRockiesPlains', 'South', 'UpperMidwest', 'SouthWest', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains']","[[35.0085, -111.96], [41.7484, -98.5357], [35.6837, -98.4657], [41.7401, -90.8979], [41.7504, -111.985], [48.49, -98.502], [41.7644, -98.4982], [48.4885, -88.6355]]",Nebraska,NorthernRockiesPlains,0.0,same
26,zoom,Navigation,2016-06-14 14:21:32.426,same,0.7058823529411765,0.8571428571428571,0.688,0,1,1,2,0.618309125,1,3,41.7611625,-93.7680375,"['None', 'UpperMidwest', 'South', 'Northeast', 'West', 'NorthernRockiesPlains', 'UpperMidwest', 'Northeast']","[[30.5427, -116.467], [41.7484, -95.2126], [30.5342, -90.8979], [41.7187, -71.5601], [41.761, -116.496], [52.9945, -94.0237], [41.7904, -93.9831], [52.9994, -71.5039]]",Iowa,UpperMidwest,0.0,same
27,zoom,Navigation,2016-06-14 14:21:32.922,same,0.7222222222222222,0.8636363636363636,0.496,0,1,1,1,0.626178375,1,3,32.654175,-94.1993125,"['None', 'South', 'Other', 'None', 'None', 'NorthernRockiesPlains', 'South', 'Other']","[[18.1367, -107.299], [30.3858, -97.2569], [15.1746, -86.0958], [30.4655, -77.7951], [30.5427, -132.053], [52.9945, -94.0237], [30.5342, -93.9559], [52.9994, -65.1151]]",None,None,0.0,same
28,pan,Foraging,2016-06-14 14:21:34.438,change,0.42857142857142855,0.5454545454545454,1.516,0,1,1,1,0.0,1,3,41.7668,-79.5355,"['South', 'Other', 'South', 'Other', 'South', 'Other', 'South', 'Other']","[[30.5342, -93.9559], [52.9994, -65.1151], [30.5342, -93.9559], [52.9994, -65.1151], [30.5342, -93.9559], [52.9994, -65.1151], [30.5342, -93.9559], [52.9994, -65.1151]]",Texas,South,355.56628113902855,change
29,pan,Foraging,2016-06-14 14:21:36.381,same,0.625,0.5833333333333334,1.943,0,1,1,1,0.0,1,3,41.7668,-79.5355,"['South', 'Other', 'South', 'Other', 'South', 'Other', 'South', 'Other']","[[30.5342, -93.9559], [52.9994, -65.1151], [30.5342, -93.9559], [52.9994, -65.1151], [30.5342, -93.9559], [52.9994, -65.1151], [30.5342, -93.9559], [52.9994, -65.1151]]",Texas,South,358.0257221183919,same
30,zoom,Navigation,2016-06-14 14:21:38.212,change,0.3157894736842105,0.8695652173913043,1.831,0,1,1,2,0.618309125,1,3,41.7611625,-93.7680375,"['None', 'UpperMidwest', 'South', 'Northeast', 'West', 'NorthernRockiesPlains', 'UpperMidwest', 'Northeast']","[[30.5427, -116.467], [41.7484, -95.2126], [30.5342, -90.8979], [41.7187, -71.5601], [41.761, -116.496], [52.9945, -94.0237], [41.7904, -93.9831], [52.9994, -71.5039]]",Iowa,UpperMidwest,0.0,change
31,pan,Navigation,2016-06-14 14:21:38.909,same,0.7,0.08333333333333333,0.697,0,1,1,2,0.0,1,3,47.3949,-82.7435,"['UpperMidwest', 'Northeast', 'UpperMidwest', 'Northeast', 'UpperMidwest', 'Northeast', 'UpperMidwest', 'Northeast']","[[41.7904, -93.9831], [52.9994, -71.5039], [41.7904, -93.9831], [52.9994, -71.5039], [41.7904, -93.9831], [52.9994, -71.5039], [41.7904, -93.9831], [52.9994, -71.5039]]",Iowa,UpperMidwest,2.6699339427236035,same
