Action,State,TimeStamp,StateActionProbab,IdleTime,Reward,Subtask_Screenshot_Time,Subtask_Idle_Time,ZoomLevel,NDSI,Subtask_Zoom,Angle
start,Foraging,2016-06-15 19:34:50.319,0.4,0.0,0,1,1,0,0.676744,1,0.0
pan,Foraging,2016-06-15 19:35:07.266,0.3333333333333333,16.947,0,1,1,0,0.676744,1,358.19498011027434
zoom,Navigation,2016-06-15 19:35:07.963,0.4,0.697,0,1,1,1,0.626178375,1,0.0
zoom,Navigation,2016-06-15 19:35:08.123,0.5,0.16,0,1,1,2,0.618309125,1,0.0
zoom,Navigation,2016-06-15 19:35:08.274,0.5714285714285714,0.151,0,1,1,3,0.5782797500000001,1,0.0
pan,Navigation,2016-06-15 19:35:09.478,0.25,1.204,0,1,1,3,0.462991875,1,0.29152255159760765
zoom,Navigation,2016-06-15 19:35:10.163,0.5555555555555556,0.685,0,1,1,4,0.6228665,1,0.0
zoom,Navigation,2016-06-15 19:35:10.330,0.6,0.167,0,1,1,5,0.593418875,1,0.0
zoom,Navigation,2016-06-15 19:35:10.491,0.6363636363636364,0.161,0,1,1,6,0.55750475,1,0.0
pan,Sensemaking,2016-06-15 19:35:11.456,0.4,0.965,0,1,1,6,0.620568,1,309.11107165424784
pan,Sensemaking,2016-06-15 19:35:12.085,0.5,0.629,0,1,1,6,0.47292175,1,359.33762975424173
zoom,Navigation,2016-06-15 19:35:20.210,0.6666666666666666,8.125,0,1,1,5,0.593418875,1,0.0
zoom,Navigation,2016-06-15 19:35:20.612,0.6923076923076923,0.402,0,1,1,4,0.6228665,1,0.0
pan,Navigation,2016-06-15 19:35:21.741,0.21428571428571427,1.129,0,1,1,4,0.6430395,1,359.7637537514015
zoom,Navigation,2016-06-15 19:35:22.322,0.6666666666666666,0.581,0,1,1,3,0.5782797500000001,1,0.0
zoom,Navigation,2016-06-15 19:35:22.482,0.6875,0.16,0,1,1,2,0.618309125,1,0.0
