User,ROI_Cycle,SouthEast,South,OhioValley,NorthernRockiesPlains,SouthWest,NorthWest,UpperMidwest,Northeast,West,Other,None
userid_3abeecbe-327a-441e-be2a-0dd3763c1d45,0,NA,Foraging,NA,Sensemaking,NA,NA,Navigation,NA,NA,NA,Foraging
userid_44968286-f204-4ad6-a9b5-d95b38e97866,0,NA,Foraging,NA,NA,NA,Navigation,NA,NA,Navigation,NA,Foraging
userid_44968286-f204-4ad6-a9b5-d95b38e97866,1,NA,Foraging,NA,Navigation,NA,Navigation,Foraging,Navigation,Navigation,NA,Foraging
userid_44968286-f204-4ad6-a9b5-d95b38e97866,2,NA,Navigation,NA,Foraging,Navigation,NA,NA,Navigation,NA,Sensemaking,Foraging
userid_44968286-f204-4ad6-a9b5-d95b38e97866,3,NA,Foraging,NA,Navigation,NA,NA,Navigation,NA,NA,NA,NA
userid_6d49fab8-273b-4a91-948b-ecd14556b049,0,NA,Foraging,NA,Navigation,NA,Navigation,NA,Navigation,Navigation,NA,Navigation
userid_6d49fab8-273b-4a91-948b-ecd14556b049,1,NA,Foraging,NA,Navigation,Navigation,NA,Navigation,Navigation,Navigation,Foraging,Foraging
userid_6d49fab8-273b-4a91-948b-ecd14556b049,2,NA,Navigation,NA,NA,Navigation,NA,Navigation,NA,NA,NA,Foraging
userid_72a8d170-77ae-400e-b2a5-de9e1d33a714,0,NA,Foraging,NA,Sensemaking,NA,Sensemaking,NA,NA,Navigation,NA,Navigation
userid_72a8d170-77ae-400e-b2a5-de9e1d33a714,1,NA,Foraging,NA,Navigation,NA,Navigation,Navigation,NA,Foraging,NA,Navigation
userid_72a8d170-77ae-400e-b2a5-de9e1d33a714,2,NA,Foraging,NA,Navigation,NA,NA,Foraging,Foraging,Foraging,NA,Foraging
userid_733a1ac5-0b01-485e-9b29-ac33932aa240,0,NA,Sensemaking,NA,Sensemaking,Sensemaking,NA,Sensemaking,NA,NA,NA,Navigation
userid_733a1ac5-0b01-485e-9b29-ac33932aa240,1,NA,NA,NA,Navigation,NA,Sensemaking,Foraging,Navigation,NA,NA,Foraging
userid_7d014c75-453b-4188-9e4e-fb086984896a,0,NA,Foraging,NA,Sensemaking,Sensemaking,Navigation,Foraging,Foraging,Foraging,Foraging,Foraging
userid_7d014c75-453b-4188-9e4e-fb086984896a,1,NA,NA,NA,Sensemaking,Sensemaking,NA,NA,NA,NA,NA,NA
userid_7d014c75-453b-4188-9e4e-fb086984896a,2,NA,NA,NA,Navigation,NA,NA,NA,Sensemaking,NA,NA,Sensemaking
userid_7d014c75-453b-4188-9e4e-fb086984896a,3,NA,Foraging,NA,Sensemaking,Sensemaking,Navigation,NA,Navigation,NA,Sensemaking,Sensemaking
