User,Threshold,LearningRate,Discount
82316e37-1117-4663-84b4-ddb6455c83b2,0.22448979591836735,0.01,0.05
82316e37-1117-4663-84b4-ddb6455c83b2,0.5714285714285714,0.0001,0.1
82316e37-1117-4663-84b4-ddb6455c83b2,0.9183673469387755,0.0001,0.8
ff56863b-0710-4a58-ad22-4bf2889c9bc0,0.0625,0.1,0.05
ff56863b-0710-4a58-ad22-4bf2889c9bc0,0.11363636363636363,0.1,0.8
ff56863b-0710-4a58-ad22-4bf2889c9bc0,0.19886363636363635,0.1,0.9
ff56863b-0710-4a58-ad22-4bf2889c9bc0,0.26136363636363635,0.1,0.5
ff56863b-0710-4a58-ad22-4bf2889c9bc0,0.4034090909090909,0.1,0.8
ff56863b-0710-4a58-ad22-4bf2889c9bc0,0.5170454545454546,0.5,0.99
ff56863b-0710-4a58-ad22-4bf2889c9bc0,0.6079545454545454,0.1,0.8
ff56863b-0710-4a58-ad22-4bf2889c9bc0,0.6875,0.0001,0.99
ff56863b-0710-4a58-ad22-4bf2889c9bc0,0.9375,0.0001,0.99
bda49380-37ad-41c5-a109-7fa198a7691a,0.09302325581395349,0.1,0.2
bda49380-37ad-41c5-a109-7fa198a7691a,0.16279069767441862,1.0,0.1
bda49380-37ad-41c5-a109-7fa198a7691a,0.3023255813953488,0.01,0.99
bda49380-37ad-41c5-a109-7fa198a7691a,0.5116279069767442,0.01,0.1
bda49380-37ad-41c5-a109-7fa198a7691a,0.7209302325581395,0.1,0.1
bda49380-37ad-41c5-a109-7fa198a7691a,0.7984496124031008,0.1,0.9
6d49fab8-273b-4a91-948b-ecd14556b049,0.2,0.01,0.1
6d49fab8-273b-4a91-948b-ecd14556b049,0.4266666666666667,0.01,0.05
6d49fab8-273b-4a91-948b-ecd14556b049,0.72,0.01,0.05
6d49fab8-273b-4a91-948b-ecd14556b049,0.9333333333333333,0.0001,0.1
954edb7c-4eae-47ab-9338-5c5c7eccac2d,0.15254237288135594,0.1,0.05
954edb7c-4eae-47ab-9338-5c5c7eccac2d,0.3728813559322034,0.01,0.1
954edb7c-4eae-47ab-9338-5c5c7eccac2d,0.6610169491525424,0.0001,0.2
954edb7c-4eae-47ab-9338-5c5c7eccac2d,0.8305084745762712,0.0001,0.05
a6aab5f5-fdb6-41df-9fc6-221d70f8c6e8,0.1,0.1,0.2
a6aab5f5-fdb6-41df-9fc6-221d70f8c6e8,0.4,0.1,0.2
a6aab5f5-fdb6-41df-9fc6-221d70f8c6e8,0.6166666666666667,0.0001,0.05
a6aab5f5-fdb6-41df-9fc6-221d70f8c6e8,0.8333333333333334,0.0001,0.05
44968286-f204-4ad6-a9b5-d95b38e97866,0.13793103448275862,0.1,0.05
44968286-f204-4ad6-a9b5-d95b38e97866,0.26436781609195403,0.01,0.05
44968286-f204-4ad6-a9b5-d95b38e97866,0.40229885057471265,0.01,0.05
44968286-f204-4ad6-a9b5-d95b38e97866,0.5517241379310345,0.5,0.99
44968286-f204-4ad6-a9b5-d95b38e97866,0.7126436781609196,1.0,0.9
44968286-f204-4ad6-a9b5-d95b38e97866,0.9425287356321839,0.001,0.1
72a8d170-77ae-400e-b2a5-de9e1d33a714,0.1375,0.1,0.05
72a8d170-77ae-400e-b2a5-de9e1d33a714,0.3,0.01,0.1
72a8d170-77ae-400e-b2a5-de9e1d33a714,0.475,0.01,0.05
72a8d170-77ae-400e-b2a5-de9e1d33a714,0.6125,0.01,0.2
72a8d170-77ae-400e-b2a5-de9e1d33a714,0.8,1.0,0.9
733a1ac5-0b01-485e-9b29-ac33932aa240,0.11627906976744186,0.1,0.05
733a1ac5-0b01-485e-9b29-ac33932aa240,0.6511627906976745,0.1,0.5
7d014c75-453b-4188-9e4e-fb086984896a,0.18461538461538463,0.1,0.2
7d014c75-453b-4188-9e4e-fb086984896a,0.3435897435897436,0.01,0.2
7d014c75-453b-4188-9e4e-fb086984896a,0.4205128205128205,0.1,0.1
7d014c75-453b-4188-9e4e-fb086984896a,0.4717948717948718,0.01,0.8
7d014c75-453b-4188-9e4e-fb086984896a,0.5282051282051282,0.01,0.8
7d014c75-453b-4188-9e4e-fb086984896a,0.5948717948717949,0.01,0.8
7d014c75-453b-4188-9e4e-fb086984896a,0.7230769230769231,0.01,0.9
7d014c75-453b-4188-9e4e-fb086984896a,0.7435897435897436,0.1,0.5
7d014c75-453b-4188-9e4e-fb086984896a,0.841025641025641,0.01,0.99
7d014c75-453b-4188-9e4e-fb086984896a,0.9179487179487179,0.1,0.9
8bf5b71b-dfd4-403f-8791-06427b26ccaf,0.16049382716049382,0.0001,0.1
8bf5b71b-dfd4-403f-8791-06427b26ccaf,0.2962962962962963,0.1,0.05
8bf5b71b-dfd4-403f-8791-06427b26ccaf,0.38271604938271603,0.01,0.99
8bf5b71b-dfd4-403f-8791-06427b26ccaf,0.5555555555555556,0.01,0.05
8bf5b71b-dfd4-403f-8791-06427b26ccaf,0.691358024691358,0.01,0.99
8bf5b71b-dfd4-403f-8791-06427b26ccaf,0.8641975308641975,0.0001,0.05
93be0a02-3f7a-46c9-b526-aa956ed00856,0.1076923076923077,0.1,0.2
93be0a02-3f7a-46c9-b526-aa956ed00856,0.2153846153846154,0.1,0.2
93be0a02-3f7a-46c9-b526-aa956ed00856,0.5076923076923077,0.5,0.9
93be0a02-3f7a-46c9-b526-aa956ed00856,0.6076923076923076,0.1,0.5
93be0a02-3f7a-46c9-b526-aa956ed00856,0.9153846153846154,0.01,0.99
