UserIndex,Action,State,TimeStamp,HighLevelAction,HighLevelStateActionProbab,StateActionProbab,IdleTime,Reward,Subtask_Screenshot_Time,Subtask_Idle_Time,ZoomLevel,NDSI,Subtask_Zoom,Subtask_ROI,Latitude,Longitude,All_address,All_raw_address,Most_frequent_state,Most_frequent_region,Angle,high-level-action,ROI_Cycle
93,zoom,Navigation,2016-06-08 17:33:44.559,change,0.2321428571428571,0.7166666666666667,5.802,10,3,2,4,0.645461125,3,7,48.5021875,-118.64875,"['None', 'NorthWest', 'NorthWest', 'NorthernRockiesPlains', 'None', 'NorthWest', 'NorthWest', 'Other']","[[45.1393, -124.664], [48.4949, -118.763], [45.1357, -118.749], [48.4972, -112.017], [48.5002, -125.495], [51.8744, -118.758], [48.505, -118.734], [51.8708, -112.01]]",None,NorthWest,0.0,same,4
94,zoom,Navigation,2016-06-08 17:33:44.887,same,0.7719298245614035,0.7213114754098361,0.328,10,3,2,3,0.47314325,3,7,36.742025,-91.477625,"['None', 'None', 'NorthernRockiesPlains', 'None', 'NorthWest', 'None', 'Other']","[[41.7759, -124.65], [48.4972, -112.005], [49.1719, -132.156], [52.9938, -125.507], [48.5013, -125.495], [52.9961, -112.008]]",None,None,0.0,same,4
95,zoom,Navigation,2016-06-08 17:33:45.264,same,0.7758620689655172,0.7258064516129032,0.377,10,3,2,2,0.3336255,3,7,47.379675000000006,-110.0281375,"['None', 'Other', 'West', 'NorthernRockiesPlains', 'West', 'NorthernRockiesPlains', 'West', 'NorthernRockiesPlains']","[[41.7792, -132.156], [52.9917, -116.51], [41.761, -116.496], [52.9945, -94.0237], [41.761, -116.496], [52.9945, -94.0237], [41.761, -116.496], [52.9945, -94.0237]]",Nevada,West,0.0,change,4
96,pan,Foraging,2016-06-08 17:33:46.061,change,0.2916666666666667,0.7857142857142857,0.797,10,3,2,2,0.317388125,3,7,36.750325,-109.471225,"['None', 'West', 'None', 'UpperMidwest', 'None', 'UpperMidwest', 'None', 'UpperMidwest']","[[35.4656, -124.134], [41.6637, -116.597], [30.5427, -116.467], [41.7484, -95.2126], [30.5427, -116.467], [41.7484, -95.2126], [30.5427, -116.467], [41.7484, -95.2126]]",None,None,12.37664635134847,same,4
97,pan,Foraging,2016-06-08 17:33:46.867,same,0.72,0.7931034482758621,0.806,10,3,2,2,0.0,3,7,36.14555,-105.8398,"['None', 'UpperMidwest', 'None', 'UpperMidwest', 'None', 'UpperMidwest', 'None', 'UpperMidwest']","[[30.5427, -116.467], [41.7484, -95.2126], [30.5427, -116.467], [41.7484, -95.2126], [30.5427, -116.467], [41.7484, -95.2126], [30.5427, -116.467], [41.7484, -95.2126]]",None,None,9.09896713681569,same,4
98,pan,Foraging,2016-06-08 17:33:48.522,same,0.7307692307692307,0.8,1.655,10,3,2,2,0.0,3,7,36.14555,-105.8398,"['None', 'UpperMidwest', 'None', 'UpperMidwest', 'None', 'UpperMidwest', 'None', 'UpperMidwest']","[[30.5427, -116.467], [41.7484, -95.2126], [30.5427, -116.467], [41.7484, -95.2126], [30.5427, -116.467], [41.7484, -95.2126], [30.5427, -116.467], [41.7484, -95.2126]]",None,None,350.5180438512962,same,4
99,pan,Foraging,2016-06-08 17:33:51.786,same,0.7407407407407407,0.8064516129032258,3.264,0,3,2,2,0.2908364999999999,3,7,44.5777875,-82.364875,"['South', 'Northeast', 'UpperMidwest', 'Northeast', 'UpperMidwest', 'Northeast', 'UpperMidwest', 'Northeast']","[[30.5342, -90.8979], [41.7187, -71.5601], [41.7904, -93.9831], [52.9994, -71.5039], [41.7904, -93.9831], [52.9994, -71.5039], [41.7904, -93.9831], [52.9994, -71.5039]]",Iowa,Northeast,339.74955961318256,same,4
100,pan,Foraging,2016-06-08 17:33:58.337,same,0.75,0.8125,6.551,0,3,2,2,0.3235409999999999,3,7,45.18025,-123.341125,"['None', 'West', 'None', 'Other', 'None', 'Other', 'None', 'Other']","[[35.4656, -124.134], [41.6637, -116.597], [41.7792, -132.156], [52.9917, -116.51], [41.7792, -132.156], [52.9917, -116.51], [41.7792, -132.156], [52.9917, -116.51]]",None,None,12.726036915481982,change,4
101,zoom,Navigation,2016-06-08 17:33:59.153,change,0.2372881355932203,0.7301587301587301,0.816,0,3,2,3,0.650957125,3,7,41.8029375,-111.7233375,"['None', 'SouthWest', 'South', 'NorthernRockiesPlains', 'None', 'NorthernRockiesPlains', 'SouthWest', 'NorthernRockiesPlains']","[[35.4466, -124.124], [41.7065, -112.025], [35.0085, -111.96], [41.7484, -98.5357], [41.7759, -124.65], [48.4972, -112.005], [41.7504, -111.985], [48.49, -98.502]]",None,NorthernRockiesPlains,0.0,same,4
102,zoom,Navigation,2016-06-08 17:33:59.777,same,0.7666666666666667,0.734375,0.624,0,3,2,4,0.632255625,3,7,41.7476125,-105.2239875,"['SouthWest', 'NorthernRockiesPlains', 'SouthWest', 'NorthernRockiesPlains', 'SouthWest', 'NorthernRockiesPlains', 'NorthernRockiesPlains', 'NorthernRockiesPlains']","[[38.3778, -111.966], [41.744, -105.315], [38.3755, -105.001], [41.7499, -98.5189], [41.75, -111.985], [45.124, -105.26], [41.7504, -105.244], [45.1093, -98.502]]",Utah,NorthernRockiesPlains,0.0,same,4
