u,Trial,Dataset,Experiment,probabsame,probabmodify1,probabmodify2,probabmodify3
pro13,0,movies,moviescombined,0.625,0.23369565217391305,0.13043478260869565,0.010869565217391304
pro13,1,movies,moviescombined,0.5555555555555556,0.358974358974359,0.08547008547008547,0.0
pro15,0,movies,moviescombined,0.5384615384615384,0.33653846153846156,0.10576923076923077,0.019230769230769232
pro15,1,movies,moviescombined,0.4205128205128205,0.49230769230769234,0.08205128205128205,0.005128205128205128
pro17,0,movies,moviescombined,0.6288659793814433,0.281786941580756,0.07560137457044673,0.013745704467353952
pro17,1,movies,moviescombined,0.5494505494505495,0.2600732600732601,0.1794871794871795,0.01098901098901099
pro18,0,movies,moviescombined,0.504950495049505,0.3613861386138614,0.1188118811881188,0.01485148514851485
pro18,1,movies,moviescombined,0.3835616438356164,0.6164383561643836,0.0,0.0
pro20,0,movies,moviescombined,0.5718954248366013,0.39869281045751637,0.029411764705882353,0.0
pro20,1,movies,moviescombined,0.5800604229607251,0.3957703927492447,0.02416918429003021,0.0
pro21,0,movies,moviescombined,0.5364077669902912,0.32038834951456313,0.13349514563106796,0.009708737864077669
pro21,1,movies,moviescombined,0.5435435435435435,0.2702702702702703,0.17417417417417416,0.012012012012012012
pro22,0,movies,moviescombined,0.5617529880478087,0.3466135458167331,0.08366533864541832,0.00796812749003984
pro22,1,movies,moviescombined,0.6652892561983471,0.16115702479338842,0.1652892561983471,0.008264462809917356
pro23,0,movies,moviescombined,0.6238095238095238,0.16666666666666666,0.19047619047619047,0.01904761904761905
pro23,1,movies,moviescombined,0.5691056910569106,0.14227642276422764,0.2601626016260163,0.028455284552845527
pro24,0,movies,moviescombined,0.49523809523809526,0.2857142857142857,0.21904761904761905,0.0
pro24,1,movies,moviescombined,0.60431654676259,0.2158273381294964,0.15827338129496402,0.02158273381294964
pro25,0,movies,moviescombined,0.5338345864661654,0.07518796992481203,0.37593984962406013,0.015037593984962405
pro25,1,movies,moviescombined,0.48863636363636365,0.11363636363636363,0.35795454545454547,0.03977272727272727
pro29,0,movies,moviescombined,0.691699604743083,0.24110671936758893,0.05928853754940711,0.007905138339920948
pro29,1,movies,moviescombined,0.6047619047619047,0.319047619047619,0.07142857142857142,0.004761904761904762
pro31,0,movies,moviescombined,0.6865671641791045,0.19402985074626866,0.08955223880597014,0.029850746268656716
pro31,1,movies,moviescombined,0.47058823529411764,0.16042780748663102,0.34759358288770054,0.0213903743315508
pro3,0,movies,moviescombined,0.5494505494505495,0.3772893772893773,0.06227106227106227,0.01098901098901099
pro3,1,movies,moviescombined,0.6666666666666666,0.3333333333333333,0.0,0.0
pro5,0,movies,moviescombined,0.6337209302325582,0.2616279069767442,0.10465116279069768,0.0
pro5,1,movies,moviescombined,0.4585635359116022,0.09944751381215469,0.4143646408839779,0.027624309392265192
pro8,0,movies,moviescombined,0.596551724137931,0.14482758620689656,0.2413793103448276,0.017241379310344827
pro8,1,movies,moviescombined,0.5283018867924528,0.1069182389937107,0.3522012578616352,0.012578616352201259
pro9,0,movies,moviescombined,0.6259541984732825,0.17557251908396945,0.1984732824427481,0.0
pro9,1,movies,moviescombined,0.5303643724696356,0.3076923076923077,0.1214574898785425,0.04048582995951417
stu10,0,movies,moviescombined,0.5849056603773585,0.1509433962264151,0.24528301886792453,0.018867924528301886
stu10,1,movies,moviescombined,0.7103174603174603,0.10714285714285714,0.1746031746031746,0.007936507936507936
stu11,0,movies,moviescombined,0.5459770114942529,0.20114942528735633,0.22413793103448276,0.028735632183908046
stu11,1,movies,moviescombined,0.5317073170731708,0.17560975609756097,0.25853658536585367,0.03414634146341464
stu13,0,movies,moviescombined,0.5471698113207547,0.08176100628930817,0.31446540880503143,0.05660377358490566
stu13,1,movies,moviescombined,0.5098039215686274,0.1111111111111111,0.3333333333333333,0.0457516339869281
stu15,0,movies,moviescombined,0.5314285714285715,0.28285714285714286,0.17714285714285713,0.008571428571428572
stu15,1,movies,moviescombined,0.29473684210526313,0.5157894736842106,0.17543859649122806,0.014035087719298246
stu17,0,movies,moviescombined,0.4782608695652174,0.2898550724637681,0.2028985507246377,0.028985507246376812
stu17,1,movies,moviescombined,0.3300970873786408,0.33980582524271846,0.2912621359223301,0.038834951456310676
