u,Trial,Dataset,Openended,probabsame,probabmodify1,probabmodify2,probabmodify3
pro1,0,birdstrikes,open,0.7030567685589519,0.2270742358078602,0.0655021834061135,0.0043668122270742
pro1,1,birdstrikes,open,0.6706586826347305,0.2155688622754491,0.1137724550898203,0.0
pro1,0,birdstrikes,focused,0.5,0.5,0.0,0.0
pro1,1,birdstrikes,focused,0.8,0.1714285714285714,0.0285714285714285,0.0
pro10,1,birdstrikes,focused,0.8888888888888888,0.074074074074074,0.037037037037037,0.0
pro10,0,birdstrikes,open,0.7030567685589519,0.2270742358078602,0.0655021834061135,0.0043668122270742
pro10,1,birdstrikes,open,0.5284974093264249,0.3678756476683937,0.0880829015544041,0.0155440414507772
pro10,0,birdstrikes,focused,0.68,0.32,0.0,0.0
pro11,1,birdstrikes,open,0.6891891891891891,0.2094594594594594,0.1013513513513513,0.0
pro11,0,birdstrikes,open,0.703125,0.1015625,0.1875,0.0078125
pro11,1,birdstrikes,focused,0.6842105263157895,0.1228070175438596,0.1929824561403508,0.0
pro11,0,birdstrikes,focused,0.5454545454545454,0.1818181818181818,0.2727272727272727,0.0
pro12,1,birdstrikes,open,0.6902654867256637,0.2743362831858407,0.0353982300884955,0.0
pro12,0,birdstrikes,open,0.7184466019417476,0.2815533980582524,0.0,0.0
pro12,0,birdstrikes,focused,0.5147058823529411,0.3970588235294117,0.088235294117647,0.0
pro12,1,birdstrikes,focused,0.6263736263736264,0.2967032967032967,0.0659340659340659,0.0109890109890109
pro13,1,movies,focused,0.6521739130434783,0.3478260869565217,0.0,0.0
pro13,0,movies,focused,0.8260869565217391,0.1739130434782608,0.0,0.0
pro13,0,movies,open,0.7272727272727273,0.2636363636363636,0.009090909090909,0.0
pro13,1,movies,open,0.6818181818181818,0.3181818181818182,0.0,0.0
pro14,1,birdstrikes,focused,0.3684210526315789,0.5263157894736842,0.1052631578947368,0.0
pro14,0,birdstrikes,focused,0.5,0.5,0.0,0.0
pro14,0,birdstrikes,open,0.5466666666666666,0.3466666666666667,0.1066666666666666,0.0
pro14,1,birdstrikes,open,0.664,0.248,0.088,0.0
pro15,0,movies,focused,0.75,0.15,0.1,0.0
pro15,1,movies,focused,0.717391304347826,0.2826086956521739,0.0,0.0
pro15,1,movies,open,0.4230769230769231,0.5480769230769231,0.0288461538461538,0.0
pro15,0,movies,open,0.4625,0.5375,0.0,0.0
pro16,1,birdstrikes,focused,0.8,0.2,0.0,0.0
pro16,0,birdstrikes,focused,0.7619047619047619,0.238095238095238,0.0,0.0
pro16,0,birdstrikes,open,0.6476190476190476,0.3523809523809524,0.0,0.0
pro16,1,birdstrikes,open,0.7411764705882353,0.2588235294117647,0.0,0.0
pro17,1,movies,focused,0.6941176470588235,0.3058823529411765,0.0,0.0
pro17,0,movies,focused,0.72,0.28,0.0,0.0
pro17,0,movies,open,0.655367231638418,0.3446327683615819,0.0,0.0
pro17,1,movies,open,0.6263157894736842,0.3736842105263158,0.0,0.0
pro18,1,movies,open,0.1794871794871795,0.8205128205128205,0.0,0.0
pro18,0,movies,focused,0.6046511627906976,0.3488372093023256,0.0465116279069767,0.0
pro18,1,movies,focused,0.9166666666666666,0.0833333333333333,0.0,0.0
pro18,0,movies,open,0.4928571428571429,0.4571428571428571,0.05,0.0
pro19,0,birdstrikes,focused,0.631578947368421,0.1403508771929824,0.1929824561403508,0.0350877192982456
pro19,1,birdstrikes,focused,0.6271186440677966,0.135593220338983,0.2372881355932203,0.0
pro19,1,birdstrikes,open,0.5655430711610487,0.1722846441947565,0.2172284644194756,0.0449438202247191
pro19,0,birdstrikes,open,0.6695156695156695,0.1054131054131054,0.2136752136752136,0.0113960113960113
pro2,1,birdstrikes,focused,0.4666666666666667,0.5333333333333333,0.0,0.0
pro2,0,birdstrikes,focused,0.6590909090909091,0.3409090909090909,0.0,0.0
pro2,0,birdstrikes,open,0.5515151515151515,0.4424242424242424,0.006060606060606,0.0
pro2,1,birdstrikes,open,0.6496350364963503,0.3138686131386861,0.0364963503649635,0.0
pro20,0,movies,focused,0.6470588235294118,0.3529411764705882,0.0,0.0
pro20,1,movies,focused,0.6721311475409836,0.3278688524590163,0.0,0.0
pro20,1,movies,open,0.6531531531531531,0.3108108108108108,0.036036036036036,0.0
pro20,0,movies,open,0.5854700854700855,0.3846153846153846,0.0299145299145299,0.0
pro21,0,movies,open,0.4933333333333333,0.4844444444444444,0.0222222222222222,0.0
pro21,1,movies,open,0.6494464944649446,0.3505535055350554,0.0,0.0
pro21,1,movies,focused,0.6811594202898551,0.3188405797101449,0.0,0.0
pro21,0,movies,focused,0.8674698795180723,0.1325301204819277,0.0,0.0
pro22,1,movies,focused,0.573170731707317,0.4146341463414634,0.0121951219512195,0.0
pro22,0,movies,focused,0.6551724137931034,0.3448275862068966,0.0,0.0
pro22,0,movies,open,0.7177914110429447,0.2822085889570552,0.0,0.0
pro22,1,movies,open,0.7559055118110236,0.2440944881889764,0.0,0.0
pro23,0,movies,open,0.5803571428571429,0.2142857142857142,0.1875,0.0178571428571428
pro23,0,movies,focused,0.6707317073170732,0.1097560975609756,0.2195121951219512,0.0
pro23,1,movies,open,0.7278911564625851,0.1632653061224489,0.1020408163265306,0.0068027210884353
pro23,1,movies,focused,0.7068965517241379,0.1379310344827586,0.1551724137931034,0.0
pro24,0,movies,open,0.4761904761904761,0.238095238095238,0.2857142857142857,0.0
pro24,1,movies,open,0.6777777777777778,0.2222222222222222,0.0888888888888888,0.0111111111111111
pro24,1,movies,focused,0.7,0.25,0.05,0.0
pro24,0,movies,focused,0.5714285714285714,0.3571428571428571,0.0714285714285714,0.0
pro25,0,movies,open,0.6326530612244898,0.3469387755102041,0.0204081632653061,0.0
pro25,1,movies,focused,0.6,0.4,0.0,0.0
pro25,0,movies,focused,0.625,0.375,0.0,0.0
pro25,1,movies,open,0.7129629629629629,0.2685185185185185,0.0185185185185185,0.0
pro26,1,birdstrikes,open,0.65625,0.34375,0.0,0.0
pro26,0,birdstrikes,focused,0.6222222222222222,0.3777777777777777,0.0,0.0
pro26,1,birdstrikes,focused,0.68,0.32,0.0,0.0
pro26,0,birdstrikes,open,0.5462962962962963,0.4444444444444444,0.0092592592592592,0.0
pro27,1,birdstrikes,focused,0.66,0.2,0.14,0.0
pro27,1,birdstrikes,open,0.5504587155963303,0.2844036697247706,0.1651376146788991,0.0
pro27,0,birdstrikes,focused,0.73,0.14,0.12,0.01
pro27,0,birdstrikes,open,0.621301775147929,0.1775147928994082,0.1834319526627219,0.0177514792899408
pro28,0,birdstrikes,open,0.6767676767676768,0.3232323232323232,0.0,0.0
pro28,1,birdstrikes,open,0.766497461928934,0.2233502538071066,0.0101522842639593,0.0
pro28,1,birdstrikes,focused,0.6896551724137931,0.3103448275862069,0.0,0.0
pro28,0,birdstrikes,focused,0.4838709677419355,0.5161290322580645,0.0,0.0
pro29,0,movies,open,0.7397959183673469,0.2551020408163265,0.0051020408163265,0.0
pro29,1,movies,open,0.640625,0.3515625,0.0078125,0.0
pro29,1,movies,focused,0.75,0.25,0.0,0.0
pro29,0,movies,focused,0.6190476190476191,0.369047619047619,0.0119047619047619,0.0
pro3,1,movies,focused,0.7021276595744681,0.2978723404255319,0.0,0.0
pro3,0,movies,focused,0.6382978723404256,0.3617021276595745,0.0,0.0
pro3,0,movies,open,0.5571428571428572,0.4142857142857143,0.0285714285714285,0.0
