u,Trial,Dataset,Opennded,probabsame,probabmodify1,probabmodify2,probabmodify3
stu38,0,movies,open,0.5668789808917197,0.17834394904458598,0.22929936305732485,0.025477707006369428
stu38,1,movies,open,0.6296296296296297,0.18518518518518517,0.17037037037037037,0.014814814814814815
stu39,0,movies,open,0.5847953216374269,0.3684210526315789,0.04678362573099415,0.0
stu39,1,movies,open,0.6629834254143646,0.3259668508287293,0.011049723756906077,0.0
stu3,0,movies,open,0.7392857142857143,0.07142857142857142,0.15,0.039285714285714285
stu3,1,movies,open,0.6970954356846473,0.13278008298755187,0.16182572614107885,0.008298755186721992
stu4,0,movies,open,0.7164179104477612,0.2835820895522388,0.0,0.0
stu4,1,movies,open,0.6595744680851063,0.3404255319148936,0.0,0.0
stu6,0,movies,open,0.6267942583732058,0.11961722488038277,0.22966507177033493,0.023923444976076555
stu6,1,movies,open,0.6813186813186813,0.15934065934065933,0.15384615384615385,0.005494505494505495
stu7,0,movies,open,0.5642857142857143,0.42857142857142855,0.007142857142857143,0.0
stu7,1,movies,open,0.4580152671755725,0.5419847328244275,0.0,0.0
