u,Trial,Dataset,Experiment,probabsame,probabmodify1,probabmodify2,probabmodify3
pro10,0,birdstrikes,birdstrikescombined,0.662962962962963,0.18518518518518517,0.13333333333333333,0.018518518518518517
pro10,1,birdstrikes,birdstrikescombined,0.48727272727272725,0.37454545454545457,0.12727272727272726,0.01090909090909091
pro11,0,birdstrikes,birdstrikescombined,0.6192660550458715,0.15137614678899083,0.19724770642201836,0.03211009174311927
pro11,1,birdstrikes,birdstrikescombined,0.6634146341463415,0.1951219512195122,0.13170731707317074,0.00975609756097561
pro12,0,birdstrikes,birdstrikescombined,0.5588235294117647,0.31176470588235294,0.10588235294117647,0.023529411764705882
pro12,1,birdstrikes,birdstrikescombined,0.6194331983805668,0.21052631578947367,0.1417004048582996,0.02834008097165992
pro14,0,birdstrikes,birdstrikescombined,0.4146341463414634,0.45528455284552843,0.12195121951219512,0.008130081300813009
pro14,1,birdstrikes,birdstrikescombined,0.6374269005847953,0.2807017543859649,0.06432748538011696,0.017543859649122806
pro16,0,birdstrikes,birdstrikescombined,0.5950413223140496,0.1652892561983471,0.2396694214876033,0.0
pro16,1,birdstrikes,birdstrikescombined,0.5965909090909091,0.19886363636363635,0.19318181818181818,0.011363636363636364
pro19,0,birdstrikes,birdstrikescombined,0.647196261682243,0.11448598130841121,0.21261682242990654,0.02570093457943925
pro19,1,birdstrikes,birdstrikescombined,0.5080213903743316,0.16310160427807488,0.26737967914438504,0.06149732620320856
pro1,0,birdstrikes,birdstrikescombined,0.4864864864864865,0.4864864864864865,0.02702702702702703,0.0
pro1,1,birdstrikes,birdstrikescombined,0.6530172413793104,0.2025862068965517,0.1271551724137931,0.017241379310344827
pro26,0,birdstrikes,birdstrikescombined,0.5272727272727272,0.3515151515151515,0.07272727272727272,0.048484848484848485
pro26,1,birdstrikes,birdstrikescombined,0.5221238938053098,0.29646017699115046,0.17256637168141592,0.008849557522123894
pro27,0,birdstrikes,birdstrikescombined,0.6069364161849711,0.11560693641618497,0.2514450867052023,0.02601156069364162
pro27,1,birdstrikes,birdstrikescombined,0.46153846153846156,0.2923076923076923,0.2230769230769231,0.023076923076923078
pro28,0,birdstrikes,birdstrikescombined,0.5698529411764706,0.27941176470588236,0.11764705882352941,0.03308823529411765
pro28,1,birdstrikes,birdstrikescombined,0.7155172413793104,0.21551724137931033,0.06465517241379311,0.004310344827586207
pro2,0,birdstrikes,birdstrikescombined,0.5247524752475248,0.3217821782178218,0.13861386138613863,0.01485148514851485
pro2,1,birdstrikes,birdstrikescombined,0.46875,0.53125,0.0,0.0
pro30,0,birdstrikes,birdstrikescombined,0.6927374301675978,0.25139664804469275,0.0446927374301676,0.0111731843575419
pro30,1,birdstrikes,birdstrikescombined,0.5735294117647058,0.3602941176470588,0.0625,0.003676470588235294
pro32,0,birdstrikes,birdstrikescombined,0.6646706586826348,0.19461077844311378,0.1377245508982036,0.0029940119760479044
pro32,1,birdstrikes,birdstrikescombined,0.4884318766066838,0.38046272493573263,0.11568123393316196,0.015424164524421594
pro4,0,birdstrikes,birdstrikescombined,0.6804123711340206,0.25257731958762886,0.061855670103092786,0.005154639175257732
pro4,1,birdstrikes,birdstrikescombined,0.6727272727272727,0.28363636363636363,0.04,0.0036363636363636364
pro6,0,birdstrikes,birdstrikescombined,0.6631578947368421,0.28421052631578947,0.05263157894736842,0.0
pro6,1,birdstrikes,birdstrikescombined,0.6069364161849711,0.3236994219653179,0.06936416184971098,0.0
pro7,0,birdstrikes,birdstrikescombined,0.7232704402515723,0.2641509433962264,0.012578616352201259,0.0
pro7,1,birdstrikes,birdstrikescombined,0.636986301369863,0.2671232876712329,0.08904109589041095,0.00684931506849315
