u,Trial,Dataset,Experiment,probabsame,probabmodify1,probabmodify2,probabmodify3
stu12,0,birdstrikes,birdstrikescombined,0.6793893129770993,0.2824427480916031,0.03816793893129771,0.0
stu12,1,birdstrikes,birdstrikescombined,0.6072727272727273,0.3236363636363636,0.06545454545454546,0.0036363636363636364
stu14,0,birdstrikes,birdstrikescombined,0.6578947368421053,0.14473684210526316,0.16447368421052633,0.03289473684210526
stu14,1,birdstrikes,birdstrikescombined,0.5102880658436214,0.2839506172839506,0.18930041152263374,0.01646090534979424
stu16,0,birdstrikes,birdstrikescombined,0.6226415094339622,0.08490566037735849,0.2389937106918239,0.05345911949685535
stu16,1,birdstrikes,birdstrikescombined,0.7348066298342542,0.07734806629834254,0.1712707182320442,0.016574585635359115
stu18,0,birdstrikes,birdstrikescombined,0.718562874251497,0.18562874251497005,0.09580838323353294,0.0
stu18,1,birdstrikes,birdstrikescombined,0.6975806451612904,0.21774193548387097,0.08064516129032258,0.004032258064516129
stu19,0,birdstrikes,birdstrikescombined,0.64,0.24,0.1,0.02
stu19,1,birdstrikes,birdstrikescombined,0.5096774193548387,0.24516129032258063,0.22580645161290322,0.01935483870967742
stu1,0,birdstrikes,birdstrikescombined,0.7391304347826086,0.08695652173913043,0.15942028985507245,0.014492753623188406
stu1,1,birdstrikes,birdstrikescombined,0.5486486486486486,0.3054054054054054,0.13783783783783785,0.008108108108108109
stu20,0,birdstrikes,birdstrikescombined,0.6341463414634146,0.3170731707317073,0.04878048780487805,0.0
stu20,1,birdstrikes,birdstrikescombined,0.5806451612903226,0.41935483870967744,0.0,0.0
stu22,0,birdstrikes,birdstrikescombined,0.5851851851851851,0.34074074074074073,0.06666666666666667,0.007407407407407408
stu22,1,birdstrikes,birdstrikescombined,0.539568345323741,0.3776978417266187,0.08273381294964029,0.0
stu23,0,birdstrikes,birdstrikescombined,0.5602409638554217,0.30120481927710846,0.12048192771084337,0.018072289156626505
stu23,1,birdstrikes,birdstrikescombined,0.5960591133004927,0.37438423645320196,0.024630541871921183,0.0049261083743842365
stu27,0,birdstrikes,birdstrikescombined,0.5459459459459459,0.1864864864864865,0.24054054054054055,0.02702702702702703
stu27,1,birdstrikes,birdstrikescombined,0.5850340136054422,0.19047619047619047,0.18820861678004536,0.036281179138321996
stu28,0,birdstrikes,birdstrikescombined,0.5759493670886076,0.37341772151898733,0.05063291139240506,0.0
stu28,1,birdstrikes,birdstrikescombined,0.6145833333333334,0.3472222222222222,0.03819444444444445,0.0
stu2,0,birdstrikes,birdstrikescombined,0.6153846153846154,0.23076923076923078,0.15384615384615385,0.0
stu2,1,birdstrikes,birdstrikescombined,0.6643109540636042,0.1978798586572438,0.1166077738515901,0.02120141342756184
stu32,0,birdstrikes,birdstrikescombined,0.6237113402061856,0.3402061855670103,0.030927835051546393,0.005154639175257732
stu32,1,birdstrikes,birdstrikescombined,0.5844594594594594,0.31756756756756754,0.08445945945945946,0.013513513513513514
stu33,0,birdstrikes,birdstrikescombined,0.5798816568047337,0.20710059171597633,0.1834319526627219,0.029585798816568046
stu33,1,birdstrikes,birdstrikescombined,0.6081632653061224,0.3510204081632653,0.04081632653061224,0.0
stu34,0,birdstrikes,birdstrikescombined,0.5440613026819924,0.2260536398467433,0.20306513409961685,0.02681992337164751
stu34,1,birdstrikes,birdstrikescombined,0.6936936936936937,0.1981981981981982,0.10810810810810811,0.0
stu35,0,birdstrikes,birdstrikescombined,0.4845360824742268,0.5154639175257731,0.0,0.0
stu35,1,birdstrikes,birdstrikescombined,0.48205128205128206,0.4666666666666667,0.046153846153846156,0.005128205128205128
stu40,0,birdstrikes,birdstrikescombined,0.569672131147541,0.2581967213114754,0.15163934426229508,0.020491803278688523
stu40,1,birdstrikes,birdstrikescombined,0.6209677419354839,0.24193548387096775,0.13709677419354838,0.0
stu5,0,birdstrikes,birdstrikescombined,0.6331877729257642,0.13537117903930132,0.21397379912663755,0.017467248908296942
stu5,1,birdstrikes,birdstrikescombined,0.5733333333333334,0.15333333333333332,0.18666666666666668,0.08666666666666667
stu8,0,birdstrikes,birdstrikescombined,0.6415094339622641,0.1792452830188679,0.14622641509433962,0.0330188679245283
stu8,1,birdstrikes,birdstrikescombined,0.6373626373626373,0.34065934065934067,0.02197802197802198,0.0
stu9,0,birdstrikes,birdstrikescombined,0.7252747252747253,0.16483516483516483,0.1043956043956044,0.005494505494505495
stu9,1,birdstrikes,birdstrikescombined,0.6497175141242938,0.1016949152542373,0.23163841807909605,0.01694915254237288
