u,Trial,Task,Dataset,Experiment,Openendedness,probabsame,probabmodify1,probabmodify2,probabmodify3
pro13,0,p4,movies,moviesace,open,0.5277777777777778,0.4444444444444444,0.027777777777777776,0.0
pro13,1,p4,movies,moviesace,open,0.631578947368421,0.27631578947368424,0.09210526315789473,0.0
pro15,0,p4,movies,moviesade,open,0.41379310344827586,0.5689655172413793,0.017241379310344827,0.0
pro15,1,p4,movies,moviesade,open,0.43636363636363634,0.5454545454545454,0.01818181818181818,0.0
pro17,0,p4,movies,moviesace,open,0.5038167938931297,0.1984732824427481,0.2824427480916031,0.015267175572519083
pro17,1,p4,movies,moviesace,open,0.6028368794326241,0.3191489361702128,0.07092198581560284,0.0070921985815602835
pro18,0,p4,movies,moviesadf,open,0.44680851063829785,0.5531914893617021,0.0,0.0
pro18,1,p4,movies,moviesadf,open,0.25,0.75,0.0,0.0
pro20,0,p4,movies,moviesade,open,0.5857142857142857,0.40714285714285714,0.007142857142857143,0.0
pro20,1,p4,movies,moviesade,open,0.6285714285714286,0.3523809523809524,0.01904761904761905,0.0
pro21,0,p4,movies,moviesade,open,0.4713375796178344,0.3184713375796178,0.20382165605095542,0.006369426751592357
pro21,1,p4,movies,moviesade,open,0.6556291390728477,0.19205298013245034,0.1456953642384106,0.006622516556291391
pro22,0,p4,movies,moviesade,open,0.676056338028169,0.30985915492957744,0.014084507042253521,0.0
pro22,1,p4,movies,moviesade,open,0.703125,0.125,0.171875,0.0
pro23,0,p4,movies,moviesacf,open,0.46153846153846156,0.40384615384615385,0.1346153846153846,0.0
pro23,1,p4,movies,moviesacf,open,0.7368421052631579,0.07017543859649122,0.15789473684210525,0.03508771929824561
pro24,0,p4,movies,moviesadf,open,0.7254901960784313,0.21568627450980393,0.0392156862745098,0.0196078431372549
pro24,1,p4,movies,moviesadf,open,0.4827586206896552,0.25862068965517243,0.22413793103448276,0.034482758620689655
pro25,0,p4,movies,moviesacf,open,0.4875,0.1375,0.35,0.025
pro25,1,p4,movies,moviesacf,open,0.6119402985074627,0.11940298507462686,0.26865671641791045,0.0
pro29,0,p4,movies,moviesace,open,0.6126126126126126,0.2972972972972973,0.09009009009009009,0.0
pro29,1,p4,movies,moviesace,open,0.64,0.34,0.02,0.0
pro31,0,p4,movies,moviesadf,open,0.525,0.2125,0.25,0.0125
pro31,1,p4,movies,moviesadf,open,0.3333333333333333,0.09722222222222222,0.5277777777777778,0.041666666666666664
pro3,0,p4,movies,moviesace,open,0.5833333333333334,0.4166666666666667,0.0,0.0
pro3,1,p4,movies,moviesace,open,0.6060606060606061,0.2878787878787879,0.10606060606060606,0.0
pro5,0,p4,movies,moviesadf,open,0.5238095238095238,0.19047619047619047,0.2698412698412698,0.015873015873015872
pro5,1,p4,movies,moviesadf,open,0.5370370370370371,0.05555555555555555,0.4074074074074074,0.0
pro8,0,p4,movies,moviesacf,open,0.5277777777777778,0.08333333333333333,0.3888888888888889,0.0
pro8,1,p4,movies,moviesacf,open,0.5789473684210527,0.19298245614035087,0.21052631578947367,0.017543859649122806
pro9,0,p4,movies,moviesacf,open,0.5,0.5,0.0,0.0
pro9,1,p4,movies,moviesacf,open,0.5204081632653061,0.2755102040816326,0.17346938775510204,0.030612244897959183
stu10,0,p4,movies,moviesacf,open,0.6774193548387096,0.12903225806451613,0.1935483870967742,0.0
stu10,1,p4,movies,moviesacf,open,0.7051282051282052,0.19230769230769232,0.10256410256410256,0.0
stu11,0,p4,movies,moviesadf,open,0.45454545454545453,0.30303030303030304,0.24242424242424243,0.0
stu11,1,p4,movies,moviesadf,open,0.6341463414634146,0.12195121951219512,0.2032520325203252,0.04065040650406504
stu13,0,p4,movies,moviesacf,open,0.5806451612903226,0.0967741935483871,0.3225806451612903,0.0
stu13,1,p4,movies,moviesacf,open,0.5185185185185185,0.14814814814814814,0.2962962962962963,0.037037037037037035
stu15,0,p4,movies,moviesade,open,0.33043478260869563,0.5304347826086957,0.12173913043478261,0.017391304347826087
stu15,1,p4,movies,moviesade,open,0.17073170731707318,0.6260162601626016,0.18699186991869918,0.016260162601626018
stu17,0,p4,movies,moviesace,open,0.7,0.2,0.05,0.05
stu17,1,p4,movies,moviesace,open,0.21568627450980393,0.43137254901960786,0.3137254901960784,0.0392156862745098
stu21,0,p4,movies,moviesace,open,0.7457627118644068,0.2542372881355932,0.0,0.0
stu21,1,p4,movies,moviesace,open,0.6956521739130435,0.30434782608695654,0.0,0.0
stu24,0,p4,movies,moviesace,open,0.5,0.484375,0.015625,0.0
stu24,1,p4,movies,moviesace,open,0.43617021276595747,0.425531914893617,0.13829787234042554,0.0
stu25,0,p4,movies,moviesace,open,0.411214953271028,0.2897196261682243,0.2803738317757009,0.018691588785046728
stu25,1,p4,movies,moviesace,open,0.0,1.0,0.0,0.0
stu26,0,p4,movies,moviesace,open,0.5515151515151515,0.41818181818181815,0.030303030303030304,0.0
stu26,1,p4,movies,moviesace,open,0.6875,0.2864583333333333,0.026041666666666668,0.0
stu29,0,p4,movies,moviesade,open,0.3516483516483517,0.37362637362637363,0.24175824175824176,0.03296703296703297
stu29,1,p4,movies,moviesade,open,0.5922330097087378,0.20388349514563106,0.1941747572815534,0.009708737864077669
stu30,0,p4,movies,moviesadf,open,0.43157894736842106,0.10526315789473684,0.4421052631578947,0.021052631578947368
stu30,1,p4,movies,moviesadf,open,0.41237113402061853,0.4020618556701031,0.16494845360824742,0.020618556701030927
stu31,0,p4,movies,moviesade,open,0.6842105263157895,0.3157894736842105,0.0,0.0
stu31,1,p4,movies,moviesade,open,0.45263157894736844,0.5473684210526316,0.0,0.0
stu36,0,p4,movies,moviesadf,open,0.6129032258064516,0.22580645161290322,0.16129032258064516,0.0
stu36,1,p4,movies,moviesadf,open,0.55,0.325,0.125,0.0
stu37,0,p4,movies,moviesadf,open,0.33766233766233766,0.5064935064935064,0.15584415584415584,0.0
stu37,1,p4,movies,moviesadf,open,0.4,0.45454545454545453,0.12727272727272726,0.01818181818181818
stu38,0,p4,movies,moviesacf,open,0.4523809523809524,0.42857142857142855,0.11904761904761904,0.0
stu38,1,p4,movies,moviesacf,open,0.6363636363636364,0.09090909090909091,0.2727272727272727,0.0
stu39,0,p4,movies,moviesadf,open,0.5064935064935064,0.2987012987012987,0.18181818181818182,0.012987012987012988
stu39,1,p4,movies,moviesadf,open,0.6102941176470589,0.23529411764705882,0.1323529411764706,0.022058823529411766
stu3,0,p4,movies,moviesacf,open,0.6448598130841121,0.18691588785046728,0.1588785046728972,0.009345794392523364
stu3,1,p4,movies,moviesacf,open,0.7062937062937062,0.13286713286713286,0.13986013986013987,0.02097902097902098
stu4,0,p4,movies,moviesade,open,0.5769230769230769,0.21153846153846154,0.21153846153846154,0.0
stu4,1,p4,movies,moviesade,open,0.3333333333333333,0.6666666666666666,0.0,0.0
stu6,0,p4,movies,moviesacf,open,0.6178343949044586,0.21019108280254778,0.14012738853503184,0.03184713375796178
stu6,1,p4,movies,moviesacf,open,0.5689655172413793,0.1724137931034483,0.25862068965517243,0.0
stu7,0,p4,movies,moviesade,open,0.4142857142857143,0.42857142857142855,0.14285714285714285,0.014285714285714285
stu7,1,p4,movies,moviesade,open,0.3924050632911392,0.34177215189873417,0.26582278481012656,0.0
