u,Trial,Dataset,Opennded,probabsame,probabmodify1,probabmodify2,probabmodify3
pro10,0,birdstrikes,focused,0.68,0.32,0.0,0.0
pro10,1,birdstrikes,focused,0.8888888888888888,0.07407407407407407,0.037037037037037035,0.0
pro11,0,birdstrikes,focused,0.5454545454545454,0.18181818181818182,0.2727272727272727,0.0
pro11,1,birdstrikes,focused,0.6842105263157895,0.12280701754385964,0.19298245614035087,0.0
pro12,0,birdstrikes,focused,0.5147058823529411,0.39705882352941174,0.08823529411764706,0.0
pro12,1,birdstrikes,focused,0.6263736263736264,0.2967032967032967,0.06593406593406594,0.01098901098901099
pro14,0,birdstrikes,focused,0.5,0.5,0.0,0.0
pro14,1,birdstrikes,focused,0.3684210526315789,0.5263157894736842,0.10526315789473684,0.0
pro16,0,birdstrikes,focused,0.7619047619047619,0.23809523809523808,0.0,0.0
pro16,1,birdstrikes,focused,0.8,0.2,0.0,0.0
pro19,0,birdstrikes,focused,0.631578947368421,0.14035087719298245,0.19298245614035087,0.03508771929824561
pro19,1,birdstrikes,focused,0.6271186440677966,0.13559322033898305,0.23728813559322035,0.0
pro1,0,birdstrikes,focused,0.5,0.5,0.0,0.0
pro1,1,birdstrikes,focused,0.8,0.17142857142857143,0.02857142857142857,0.0
pro26,0,birdstrikes,focused,0.6222222222222222,0.37777777777777777,0.0,0.0
pro26,1,birdstrikes,focused,0.68,0.32,0.0,0.0
pro27,0,birdstrikes,focused,0.73,0.14,0.12,0.01
pro27,1,birdstrikes,focused,0.66,0.2,0.14,0.0
pro28,0,birdstrikes,focused,0.4838709677419355,0.5161290322580645,0.0,0.0
pro28,1,birdstrikes,focused,0.6896551724137931,0.3103448275862069,0.0,0.0
pro2,0,birdstrikes,focused,0.6590909090909091,0.3409090909090909,0.0,0.0
pro2,1,birdstrikes,focused,0.4666666666666667,0.5333333333333333,0.0,0.0
pro30,0,birdstrikes,focused,0.6875,0.25,0.0625,0.0
pro30,1,birdstrikes,focused,0.5833333333333334,0.4166666666666667,0.0,0.0
pro32,0,birdstrikes,focused,0.56,0.36,0.08,0.0
pro32,1,birdstrikes,focused,0.7011494252873564,0.14942528735632185,0.14942528735632185,0.0
pro4,0,birdstrikes,focused,0.6666666666666666,0.3333333333333333,0.0,0.0
pro4,1,birdstrikes,focused,0.6744186046511628,0.32558139534883723,0.0,0.0
pro6,0,birdstrikes,focused,0.8888888888888888,0.1111111111111111,0.0,0.0
pro6,1,birdstrikes,focused,0.6875,0.3125,0.0,0.0
pro7,0,birdstrikes,focused,0.6666666666666666,0.2916666666666667,0.041666666666666664,0.0
pro7,1,birdstrikes,focused,0.6410256410256411,0.358974358974359,0.0,0.0
stu12,0,birdstrikes,focused,0.5957446808510638,0.3829787234042553,0.02127659574468085,0.0
stu12,1,birdstrikes,focused,0.7435897435897436,0.23076923076923078,0.02564102564102564,0.0
stu14,0,birdstrikes,focused,0.7692307692307693,0.19230769230769232,0.038461538461538464,0.0
stu14,1,birdstrikes,focused,0.7368421052631579,0.10526315789473684,0.13157894736842105,0.02631578947368421
stu16,0,birdstrikes,focused,0.7165354330708661,0.14960629921259844,0.13385826771653545,0.0
stu16,1,birdstrikes,focused,0.6931818181818182,0.09090909090909091,0.20454545454545456,0.011363636363636364
stu18,0,birdstrikes,focused,0.6923076923076923,0.3076923076923077,0.0,0.0
stu18,1,birdstrikes,focused,0.8809523809523809,0.11904761904761904,0.0,0.0
stu19,0,birdstrikes,focused,0.5789473684210527,0.42105263157894735,0.0,0.0
stu19,1,birdstrikes,focused,0.7619047619047619,0.23809523809523808,0.0,0.0
stu1,0,birdstrikes,focused,0.7575757575757576,0.06060606060606061,0.16666666666666666,0.015151515151515152
stu1,1,birdstrikes,focused,0.5656565656565656,0.41414141414141414,0.020202020202020204,0.0
stu20,0,birdstrikes,focused,0.5,0.5,0.0,0.0
stu20,1,birdstrikes,focused,0.75,0.25,0.0,0.0
stu22,0,birdstrikes,focused,0.5294117647058824,0.4117647058823529,0.058823529411764705,0.0
stu22,1,birdstrikes,focused,0.5813953488372093,0.3953488372093023,0.023255813953488372,0.0
stu23,0,birdstrikes,focused,0.5272727272727272,0.2909090909090909,0.18181818181818182,0.0
stu23,1,birdstrikes,focused,0.5932203389830508,0.3898305084745763,0.01694915254237288,0.0
stu27,0,birdstrikes,focused,0.7727272727272727,0.22727272727272727,0.0,0.0
stu27,1,birdstrikes,focused,0.6739130434782609,0.1956521739130435,0.08695652173913043,0.043478260869565216
stu28,0,birdstrikes,focused,0.6363636363636364,0.36363636363636365,0.0,0.0
stu28,1,birdstrikes,focused,0.6538461538461539,0.34615384615384615,0.0,0.0
stu2,0,birdstrikes,focused,0.7727272727272727,0.22727272727272727,0.0,0.0
stu2,1,birdstrikes,focused,0.8163265306122449,0.1836734693877551,0.0,0.0
stu32,0,birdstrikes,focused,0.5,0.5,0.0,0.0
stu32,1,birdstrikes,focused,0.90625,0.09375,0.0,0.0
stu33,0,birdstrikes,focused,0.6973684210526315,0.3026315789473684,0.0,0.0
stu33,1,birdstrikes,focused,0.7027027027027027,0.2972972972972973,0.0,0.0
stu34,0,birdstrikes,focused,0.5675675675675675,0.20270270270270271,0.22972972972972974,0.0
stu34,1,birdstrikes,focused,0.6808510638297872,0.14893617021276595,0.1702127659574468,0.0
stu35,0,birdstrikes,focused,0.4827586206896552,0.5172413793103449,0.0,0.0
stu35,1,birdstrikes,focused,0.4634146341463415,0.5365853658536586,0.0,0.0
stu40,0,birdstrikes,focused,0.6388888888888888,0.3333333333333333,0.027777777777777776,0.0
stu40,1,birdstrikes,focused,0.6363636363636364,0.22727272727272727,0.11363636363636363,0.022727272727272728
stu5,0,birdstrikes,focused,0.5714285714285714,0.19047619047619047,0.23809523809523808,0.0
stu5,1,birdstrikes,focused,0.7894736842105263,0.14035087719298245,0.07017543859649122,0.0
stu8,0,birdstrikes,focused,0.8518518518518519,0.14814814814814814,0.0,0.0
stu8,1,birdstrikes,focused,0.8936170212765957,0.10638297872340426,0.0,0.0
stu9,0,birdstrikes,focused,0.7777777777777778,0.2222222222222222,0.0,0.0
stu9,1,birdstrikes,focused,0.9,0.1,0.0,0.0
