Algorithm,User,Epsilon,Threshold,LearningRate,Discount,Accuracy,StateAccuracy
SARSA,U_14,0.1,0.2,0.1,0.2,0.42105263157894735,"[0.25, 0.6666666666666666, 0.16666666666666666]"
SARSA,U_14,0.01,0.3,0.5,0.1,0.5454545454545454,"[0.75, 0.7142857142857143, 0.18181818181818182]"
SARSA,U_14,0.1,0.4,0.5,0.2,0.5172413793103449,"[0.625, 0.7272727272727273, 0.2]"
SARSA,U_14,0.1,0.5,0.1,0.1,0.25,"[0.0, 0.5, 0.2]"
SARSA,U_14,0.1,0.6,0.5,0.8,0.42105263157894735,"[0.0, 0.5714285714285714, 0.6666666666666666]"
SARSA,U_14,0.1,0.7,0.1,0.2,0.5333333333333333,"[0.16666666666666666, 0.5, 1.0]"
SARSA,U_14,0.1,0.8,0.1,0.1,0.9,"[1.0, 0.75, 1.0]"
SARSA,U_14,0.05,0.9,0.5,0.5,0.6,"[0, 0, 0.6]"
SARSA,U_15,0.1,0.05,0.0001,0.5,0.5448275862068965,"[0.24, 0.6274509803921569, 0.5]"
SARSA,U_15,0.1,0.1,0.5,0.1,0.6716417910447762,"[0.09090909090909091, 0.851063829787234, 0.4444444444444444]"
SARSA,U_15,0.1,0.2,0.0001,0.2,0.7,"[0.6363636363636364, 0.775, 0.4444444444444444]"
SARSA,U_15,0.1,0.3,0.1,0.5,0.7307692307692307,"[0.6363636363636364, 0.7837837837837838, 0.5]"
SARSA,U_15,0.1,0.4,0.5,0.2,0.5777777777777777,"[0.36363636363636365, 0.7333333333333333, 0.0]"
SARSA,U_15,0.05,0.5,0.5,0.9,0.5405405405405406,"[0.125, 0.68, 0.5]"
SARSA,U_15,0.01,0.6,0.5,0.2,0.7,"[0.625, 0.7777777777777778, 0.5]"
SARSA,U_15,0.05,0.7,0.1,0.5,0.6956521739130435,"[0.0, 0.8235294117647058, 0.5]"
SARSA,U_15,0.05,0.8,0.5,0.05,0.5333333333333333,"[0.0, 0.8, 0.0]"
SARSA,U_15,0.01,0.9,0.5,0.5,0.625,"[0, 0.8333333333333334, 0.0]"
SARSA,U_16,0.01,0.05,0.0001,0.9,0.2413793103448276,"[0.5, 0.15, 0.4]"
SARSA,U_16,0.1,0.1,0.0001,0.05,0.7222222222222222,"[0.7142857142857143, 0.8108108108108109, 0.4]"
SARSA,U_16,0.01,0.2,0.1,0.2,0.6458333333333334,"[0.5714285714285714, 0.75, 0.3333333333333333]"
SARSA,U_16,0.01,0.3,0.1,0.1,0.6428571428571429,"[0.6, 0.75, 0.3333333333333333]"
SARSA,U_16,0.1,0.4,0.1,0.9,0.6111111111111112,"[0.6, 0.7083333333333334, 0.2857142857142857]"
SARSA,U_16,0.01,0.5,0.5,0.05,0.5666666666666667,"[0.5, 0.6842105263157895, 0.2857142857142857]"
SARSA,U_16,0.01,0.6,0.5,0.1,0.5416666666666666,"[0.5, 0.6923076923076923, 0.2857142857142857]"
SARSA,U_16,0.1,0.7,0.01,0.1,0.6111111111111112,"[0.5, 0.6363636363636364, 0.6666666666666666]"
SARSA,U_16,0.01,0.8,0.1,0.2,0.5833333333333334,"[0.5, 0.7142857142857143, 0.3333333333333333]"
SARSA,U_16,0.01,0.9,0.5,0.5,0.6666666666666666,"[0.5, 0.6666666666666666, 1.0]"
SARSA,U_17,0.1,0.05,0.0001,0.8,0.38235294117647056,"[0.7954545454545454, 0.20833333333333334, 0.3333333333333333]"
SARSA,U_17,0.1,0.1,0.0001,0.9,0.6455696202531646,"[0.75, 0.7045454545454546, 0.3333333333333333]"
SARSA,U_17,0.1,0.2,0.1,0.05,0.7428571428571429,"[0.7894736842105263, 0.7692307692307693, 0.5833333333333334]"
SARSA,U_17,0.1,0.3,0.1,0.1,0.6721311475409836,"[0.7368421052631579, 0.6857142857142857, 0.42857142857142855]"
SARSA,U_17,0.1,0.4,0.5,0.1,0.660377358490566,"[0.6875, 0.7, 0.42857142857142855]"
SARSA,U_17,0.01,0.5,0.5,0.8,0.7727272727272727,"[0.8571428571428571, 0.75, 0.6666666666666666]"
SARSA,U_17,0.1,0.6,0.1,0.05,0.7142857142857143,"[0.8571428571428571, 0.625, 0.6]"
SARSA,U_17,0.01,0.7,0.5,0.9,0.6666666666666666,"[0.9230769230769231, 0.5555555555555556, 0.2]"
SARSA,U_17,0.1,0.8,0.01,0.1,0.7777777777777778,"[0.875, 0.6666666666666666, 0.75]"
SARSA,U_17,0.1,0.9,0.01,0.1,0.7777777777777778,"[1.0, 0.75, 0.75]"
SARSA,U_18,0.01,0.05,0.0001,0.8,0.25,"[0.8, 0.1724137931034483, 0.1]"
SARSA,U_18,0.1,0.1,0.01,0.1,0.23076923076923078,"[0.14285714285714285, 0.15384615384615385, 0.3157894736842105]"
