U_Index,Interaction,Value,Time,Reward,Action,Attribute,State,High-Level-State,User,Trial
89,mouseover a related chart,"mark:point;encoding:Director-nominal-x,Source-nominal-color,Title-nominal-y",1604690242459,2.322222222222222,same,"['Director', 'Source', 'Title']","[0, 9, 12]",Foraging,pro8_acf_p1,2
90,scroll on a related chart,"mark:point;encoding:Director-nominal-x,Source-nominal-color,Title-nominal-y",1604690242747,2.322222222222222,same,"['Director', 'Source', 'Title']","[0, 9, 12]",Foraging,pro8_acf_p1,2
91,mouseout a related chart,"mark:point;encoding:Director-nominal-x,Source-nominal-color,Title-nominal-y",1604690243141,2.322222222222222,modify-1,"['Director', 'Source', 'Title']","[0, 9, 12]",Foraging,pro8_acf_p1,2
92,mouseover a related chart,"mark:point;encoding:Creative_Type-nominal-x,Source-nominal-color,Title-nominal-y",1604690246340,2.85,modify-2,"['Creative_Type', 'Source', 'Title']","[0, 9, 11]",Foraging,pro8_acf_p1,2
93,mouseover a related chart,"mark:point;encoding:Distributor-nominal-x,Major_Genre-nominal-y,Source-nominal-color",1604690252347,2.0722222222222224,same,"['Distributor', 'Major_Genre', 'Source']","[8, 9, 10]",Foraging,pro8_acf_p1,2
94,scroll on a related chart,"mark:point;encoding:Distributor-nominal-x,Major_Genre-nominal-y,Source-nominal-color",1604690252431,2.0722222222222224,same,"['Distributor', 'Major_Genre', 'Source']","[8, 9, 10]",Foraging,pro8_acf_p1,2
95,mouseout a related chart,"mark:point;encoding:Distributor-nominal-x,Major_Genre-nominal-y,Source-nominal-color",1604690254103,2.0722222222222224,modify-1,"['Distributor', 'Major_Genre', 'Source']","[8, 9, 10]",Foraging,pro8_acf_p1,2
96,mouseover a related chart,"mark:point;encoding:MPAA_Rating-nominal-x,Major_Genre-nominal-y,Source-nominal-color",1604690255286,1.9611111111111112,modify-2,"['MPAA_Rating', 'Major_Genre', 'Source']","[6, 9, 10]",Foraging,pro8_acf_p1,2
97,mouseover a related chart,"mark:point;encoding:Creative_Type-nominal-x,Distributor-nominal-y,Source-nominal-color",1604690261077,2.5166666666666666,modify-1,"['Creative_Type', 'Distributor', 'Source']","[8, 9, 11]",Foraging,pro8_acf_p1,2
98,mouseover a related chart,"mark:point;encoding:Distributor-nominal-x,Major_Genre-nominal-y,Source-nominal-color",1604690262766,2.0722222222222224,same,"['Distributor', 'Major_Genre', 'Source']","[8, 9, 10]",Foraging,pro8_acf_p1,2
99,mouseout a related chart,"mark:point;encoding:Distributor-nominal-x,Major_Genre-nominal-y,Source-nominal-color",1604690267531,2.0722222222222224,modify-1,"['Distributor', 'Major_Genre', 'Source']","[8, 9, 10]",Foraging,pro8_acf_p1,2
100,mouseover a related chart,"mark:point;encoding:MPAA_Rating-nominal-x,Major_Genre-nominal-y,Source-nominal-color",1604690268797,1.9611111111111112,same,"['MPAA_Rating', 'Major_Genre', 'Source']","[6, 9, 10]",Foraging,pro8_acf_p1,2
101,mouseout a related chart,"mark:point;encoding:MPAA_Rating-nominal-x,Major_Genre-nominal-y,Source-nominal-color",1604690269413,1.9611111111111112,same,"['MPAA_Rating', 'Major_Genre', 'Source']","[6, 9, 10]",Foraging,pro8_acf_p1,2
