U_Index,Interaction,Value,Time,Reward,Action,Attribute,State,High-Level-State,User,Trial
0,mouseover a related chart,mark:tick;encoding:US_Gross-quantitative-x,1602699101792,0.5444444444444444,same,"['None', 'None', 'US_Gross']","[1, 16, 16]",Foraging,pro22_ade_p1,1
1,mouseout a related chart,mark:tick;encoding:US_Gross-quantitative-x,1602699102835,0.5444444444444444,modify-1,"['None', 'None', 'US_Gross']","[1, 16, 16]",Foraging,pro22_ade_p1,1
2,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1602699103392,0.8777777777777778,same,"['None', 'None', 'Title']","[0, 16, 16]",Foraging,pro22_ade_p1,1
3,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1602699105716,0.8777777777777778,same,"['None', 'None', 'Title']","[0, 16, 16]",Foraging,pro22_ade_p1,1
4,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1602699108614,0.8777777777777778,modify-1,"['None', 'None', 'Title']","[0, 16, 16]",Foraging,pro22_ade_p1,1
5,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,MPAA_Rating-nominal-y",1602699109831,0.4333333333333333,same,"['MPAA_Rating', 'None', 'None']","[6, 16, 16]",Foraging,pro22_ade_p1,1
6,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,MPAA_Rating-nominal-y",1602699113597,0.4333333333333333,modify-1,"['MPAA_Rating', 'None', 'None']","[6, 16, 16]",Foraging,pro22_ade_p1,1
7,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1602699114447,0.8777777777777778,modify-1,"['None', 'None', 'Title']","[0, 16, 16]",Foraging,pro22_ade_p1,1
8,clicked on a field,add Director,1602699115924,0.5722222222222222,same,"['Director', 'None', 'None']","[12, 16, 16]",Foraging,pro22_ade_p1,1
9,main chart changed because of clicking a field,"mark:bar;encoding:-quantitative-x<aggregate>count,Director-nominal-y",1602699116024,0.5722222222222222,same,"['Director', 'None', 'None']","[12, 16, 16]",Foraging,pro22_ade_p1,1
10,mouseover on the specified chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Director-nominal-y",1602699117275,0.5722222222222222,modify-1,"['Director', 'None', 'None']","[12, 16, 16]",Sensemaking,pro22_ade_p1,1
11,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Director-nominal-y,Release_Date-nominal-row",1602699118463,1.0444444444444445,same,"['Director', 'None', 'Release_Date']","[5, 12, 16]",Foraging,pro22_ade_p1,1
12,scroll on a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Director-nominal-y,Release_Date-nominal-row",1602699118620,1.0444444444444445,same,"['Director', 'None', 'Release_Date']","[5, 12, 16]",Foraging,pro22_ade_p1,1
13,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Director-nominal-y,Release_Date-nominal-row",1602699119788,1.0444444444444445,modify-1,"['Director', 'None', 'Release_Date']","[5, 12, 16]",Foraging,pro22_ade_p1,1
14,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Director-nominal-y,Source-nominal-color",1602699121455,1.5444444444444445,same,"['Director', 'None', 'Source']","[9, 12, 16]",Foraging,pro22_ade_p1,1
15,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Director-nominal-y,Source-nominal-color",1602699122356,1.5444444444444445,modify-1,"['Director', 'None', 'Source']","[9, 12, 16]",Foraging,pro22_ade_p1,1
16,mouseover on the specified chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Director-nominal-y",1602699122889,0.5722222222222222,same,"['Director', 'None', 'None']","[12, 16, 16]",Sensemaking,pro22_ade_p1,1
17,clicked on a field,remove Director,1602699124806,0.5722222222222222,modify-1,"['Director', 'None', 'None']","[12, 16, 16]",Foraging,pro22_ade_p1,1
18,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1602699129322,0.8777777777777778,same,"['None', 'None', 'Title']","[0, 16, 16]",Foraging,pro22_ade_p1,1
19,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1602699137038,0.8777777777777778,modify-1,"['None', 'None', 'Title']","[0, 16, 16]",Foraging,pro22_ade_p1,1
20,clicked on a field,add Creative_Type,1602699138577,1.1,same,"['Creative_Type', 'None', 'None']","[11, 16, 16]",Foraging,pro22_ade_p1,1
21,main chart changed because of clicking a field,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y",1602699138663,1.1,same,"['Creative_Type', 'None', 'None']","[11, 16, 16]",Foraging,pro22_ade_p1,1
22,mouseover on the specified chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y",1602699139270,1.1,same,"['Creative_Type', 'None', 'None']","[11, 16, 16]",Sensemaking,pro22_ade_p1,1
23,mouseover on the specified chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y",1602699142053,1.1,same,"['Creative_Type', 'None', 'None']","[11, 16, 16]",Sensemaking,pro22_ade_p1,1
24,mouseout on the specified chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y",1602699154550,1.1,same,"['Creative_Type', 'None', 'None']","[11, 16, 16]",Sensemaking,pro22_ade_p1,1
25,mouseover on the specified chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y",1602699158066,1.1,same,"['Creative_Type', 'None', 'None']","[11, 16, 16]",Sensemaking,pro22_ade_p1,1
26,added chart to bookmark,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y",1602699159005,1.1,same,"['Creative_Type', 'None', 'None']","[11, 16, 16]",Sensemaking,pro22_ade_p1,1
27,mouseover on the specified chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y",1602699176664,1.1,modify-1,"['Creative_Type', 'None', 'None']","[11, 16, 16]",Sensemaking,pro22_ade_p1,1
28,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y,Source-nominal-color",1602699185330,2.0722222222222224,same,"['Creative_Type', 'None', 'Source']","[9, 11, 16]",Foraging,pro22_ade_p1,1
29,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y,Source-nominal-color",1602699192772,2.0722222222222224,same,"['Creative_Type', 'None', 'Source']","[9, 11, 16]",Foraging,pro22_ade_p1,1
30,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y,Source-nominal-color",1602699197638,2.0722222222222224,same,"['Creative_Type', 'None', 'Source']","[9, 11, 16]",Foraging,pro22_ade_p1,1
31,added chart to bookmark,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y,Source-nominal-color",1602699198393,2.0722222222222224,same,"['Creative_Type', 'None', 'Source']","[9, 11, 16]",Sensemaking,pro22_ade_p1,1
32,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y,Source-nominal-color",1602699200033,2.0722222222222224,same,"['Creative_Type', 'None', 'Source']","[9, 11, 16]",Foraging,pro22_ade_p1,1
33,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y,Source-nominal-color",1602699207950,2.0722222222222224,modify-1,"['Creative_Type', 'None', 'Source']","[9, 11, 16]",Foraging,pro22_ade_p1,1
34,mouseover on the specified chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y",1602699210376,1.1,modify-1,"['Creative_Type', 'None', 'None']","[11, 16, 16]",Sensemaking,pro22_ade_p1,1
35,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y,Source-nominal-color",1602699212859,2.0722222222222224,same,"['Creative_Type', 'None', 'Source']","[9, 11, 16]",Foraging,pro22_ade_p1,1
36,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y,Source-nominal-color",1602699213725,2.0722222222222224,same,"['Creative_Type', 'None', 'Source']","[9, 11, 16]",Foraging,pro22_ade_p1,1
37,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y,Source-nominal-color",1602699214675,2.0722222222222224,same,"['Creative_Type', 'None', 'Source']","[9, 11, 16]",Foraging,pro22_ade_p1,1
38,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y,Source-nominal-color",1602699218308,2.0722222222222224,same,"['Creative_Type', 'None', 'Source']","[9, 11, 16]",Foraging,pro22_ade_p1,1
39,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y,Source-nominal-color",1602699219980,2.0722222222222224,same,"['Creative_Type', 'None', 'Source']","[9, 11, 16]",Foraging,pro22_ade_p1,2
40,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y,Source-nominal-color",1602699221864,2.0722222222222224,same,"['Creative_Type', 'None', 'Source']","[9, 11, 16]",Foraging,pro22_ade_p1,2
41,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y,Source-nominal-color",1602699223047,2.0722222222222224,modify-1,"['Creative_Type', 'None', 'Source']","[9, 11, 16]",Foraging,pro22_ade_p1,2
42,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y,IMDB_Rating-quantitative-color<aggregate>mean",1602699249728,1.2944444444444445,modify-1,"['Creative_Type', 'IMDB_Rating', 'None']","[11, 14, 16]",Foraging,pro22_ade_p1,2
43,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y,Source-nominal-color",1602699251171,2.0722222222222224,same,"['Creative_Type', 'None', 'Source']","[9, 11, 16]",Foraging,pro22_ade_p1,2
44,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y,Source-nominal-color",1602699253003,2.0722222222222224,modify-1,"['Creative_Type', 'None', 'Source']","[9, 11, 16]",Foraging,pro22_ade_p1,2
45,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y,IMDB_Rating-quantitative-color<aggregate>mean",1602699261774,1.2944444444444445,modify-1,"['Creative_Type', 'IMDB_Rating', 'None']","[11, 14, 16]",Foraging,pro22_ade_p1,2
46,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y,Source-nominal-color",1602699263692,2.0722222222222224,modify-2,"['Creative_Type', 'None', 'Source']","[9, 11, 16]",Foraging,pro22_ade_p1,2
47,clicked on a field,remove undefined,1602699274446,0.1,modify-1,"['None', 'None', 'None']","[16, 16, 16]",Foraging,pro22_ade_p1,2
48,main chart changed because of clicking a field,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y",1602699274529,1.1,modify-1,"['Creative_Type', 'None', 'None']","[11, 16, 16]",Foraging,pro22_ade_p1,2
49,clicked on a field,add Source,1602699275548,1.0722222222222222,modify-1,"['None', 'None', 'Source']","[9, 16, 16]",Foraging,pro22_ade_p1,2
50,main chart changed because of clicking a field,"mark:point;encoding:-quantitative-size<aggregate>count,Creative_Type-nominal-x,Source-nominal-y",1602699275587,2.0722222222222224,same,"['Creative_Type', 'None', 'Source']","[9, 11, 16]",Foraging,pro22_ade_p1,2
51,mouseover on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Creative_Type-nominal-x,Source-nominal-y",1602699276057,2.0722222222222224,modify-1,"['Creative_Type', 'None', 'Source']","[9, 11, 16]",Sensemaking,pro22_ade_p1,2
52,mouseover a related chart,"mark:point;encoding:-quantitative-size<aggregate>count,Creative_Type-nominal-x,Release_Date-nominal-row,Source-nominal-y",1602699281075,2.5444444444444447,same,"['Creative_Type', 'Release_Date', 'Source']","[5, 9, 11]",Foraging,pro22_ade_p1,2
53,mouseout a related chart,"mark:point;encoding:-quantitative-size<aggregate>count,Creative_Type-nominal-x,Release_Date-nominal-row,Source-nominal-y",1602699286625,2.5444444444444447,modify-1,"['Creative_Type', 'Release_Date', 'Source']","[5, 9, 11]",Foraging,pro22_ade_p1,2
54,mouseover on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Creative_Type-nominal-x,Source-nominal-y",1602699297432,2.0722222222222224,same,"['Creative_Type', 'None', 'Source']","[9, 11, 16]",Sensemaking,pro22_ade_p1,2
55,mouseout on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Creative_Type-nominal-x,Source-nominal-y",1602699304441,2.0722222222222224,same,"['Creative_Type', 'None', 'Source']","[9, 11, 16]",Sensemaking,pro22_ade_p1,2
56,mouseover on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Creative_Type-nominal-x,Source-nominal-y",1602699308507,2.0722222222222224,same,"['Creative_Type', 'None', 'Source']","[9, 11, 16]",Sensemaking,pro22_ade_p1,2
57,mouseout on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Creative_Type-nominal-x,Source-nominal-y",1602699312407,2.0722222222222224,same,"['Creative_Type', 'None', 'Source']","[9, 11, 16]",Sensemaking,pro22_ade_p1,2
58,added chart to bookmark,"mark:point;encoding:-quantitative-size<aggregate>count,Creative_Type-nominal-x,Source-nominal-y",1602699312991,2.0722222222222224,same,"['Creative_Type', 'None', 'Source']","[9, 11, 16]",Sensemaking,pro22_ade_p1,2
59,mouseover on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Creative_Type-nominal-x,Source-nominal-y",1602699321878,2.0722222222222224,same,"['Creative_Type', 'None', 'Source']","[9, 11, 16]",Sensemaking,pro22_ade_p1,2
60,mouseout on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Creative_Type-nominal-x,Source-nominal-y",1602699322495,2.0722222222222224,same,"['Creative_Type', 'None', 'Source']","[9, 11, 16]",Sensemaking,pro22_ade_p1,2
61,mouseover on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Creative_Type-nominal-x,Source-nominal-y",1602699391407,2.0722222222222224,same,"['Creative_Type', 'None', 'Source']","[9, 11, 16]",Sensemaking,pro22_ade_p1,2
62,mouseout on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Creative_Type-nominal-x,Source-nominal-y",1602699392158,2.0722222222222224,same,"['Creative_Type', 'None', 'Source']","[9, 11, 16]",Sensemaking,pro22_ade_p1,2
63,mouseover on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Creative_Type-nominal-x,Source-nominal-y",1602699445449,2.0722222222222224,same,"['Creative_Type', 'None', 'Source']","[9, 11, 16]",Sensemaking,pro22_ade_p1,2
64,mouseover on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Creative_Type-nominal-x,Source-nominal-y",1602699447984,2.0722222222222224,same,"['Creative_Type', 'None', 'Source']","[9, 11, 16]",Sensemaking,pro22_ade_p1,2
65,mouseover on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Creative_Type-nominal-x,Source-nominal-y",1602699451378,2.0722222222222224,same,"['Creative_Type', 'None', 'Source']","[9, 11, 16]",Sensemaking,pro22_ade_p1,2
66,mouseover on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Creative_Type-nominal-x,Source-nominal-y",1602699454294,2.0722222222222224,same,"['Creative_Type', 'None', 'Source']","[9, 11, 16]",Sensemaking,pro22_ade_p1,2
67,mouseout on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Creative_Type-nominal-x,Source-nominal-y",1602699455060,2.0722222222222224,same,"['Creative_Type', 'None', 'Source']","[9, 11, 16]",Sensemaking,pro22_ade_p1,2
0,clicked on a field,add Creative_Type,1605590794037,1.1,same,"['Creative_Type', 'None', 'None']","[11, 16, 16]",Foraging,stu24_ace_p1,1
1,main chart changed because of clicking a field,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y",1605590794212,1.1,same,"['Creative_Type', 'None', 'None']","[11, 16, 16]",Foraging,stu24_ace_p1,1
2,mouseover on the specified chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y",1605590822898,1.1,modify-1,"['Creative_Type', 'None', 'None']","[11, 16, 16]",Sensemaking,stu24_ace_p1,1
3,scroll on a related chart,"mark:point;encoding:Creative_Type-nominal-x,Director-nominal-y",1605590823595,1.5722222222222224,modify-1,"['Creative_Type', 'Director', 'None']","[11, 12, 16]",Foraging,stu24_ace_p1,1
4,mouseout on the specified chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y",1605590823999,1.1,modify-1,"['Creative_Type', 'None', 'None']","[11, 16, 16]",Sensemaking,stu24_ace_p1,1
5,scroll on a related chart,"mark:point;encoding:Creative_Type-nominal-x,Director-nominal-y",1605590824648,1.5722222222222224,same,"['Creative_Type', 'Director', 'None']","[11, 12, 16]",Foraging,stu24_ace_p1,1
6,mouseout a related chart,"mark:point;encoding:Creative_Type-nominal-x,Director-nominal-y",1605590825513,1.5722222222222224,modify-1,"['Creative_Type', 'Director', 'None']","[11, 12, 16]",Foraging,stu24_ace_p1,1
7,mouseout on the specified chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y",1605590826132,1.1,modify-1,"['Creative_Type', 'None', 'None']","[11, 16, 16]",Sensemaking,stu24_ace_p1,1
8,scroll on a related chart,"mark:point;encoding:Creative_Type-nominal-x,Director-nominal-y",1605590826535,1.5722222222222224,same,"['Creative_Type', 'Director', 'None']","[11, 12, 16]",Foraging,stu24_ace_p1,1
9,mouseover a related chart,"mark:point;encoding:Creative_Type-nominal-x,Director-nominal-y",1605590827022,1.5722222222222224,same,"['Creative_Type', 'Director', 'None']","[11, 12, 16]",Foraging,stu24_ace_p1,1
10,mouseout a related chart,"mark:point;encoding:Creative_Type-nominal-x,Director-nominal-y",1605590827811,1.5722222222222224,modify-1,"['Creative_Type', 'Director', 'None']","[11, 12, 16]",Foraging,stu24_ace_p1,1
11,mouseover a related chart,"mark:point;encoding:Creative_Type-nominal-x,Source-nominal-y",1605590834604,2.0722222222222224,same,"['Creative_Type', 'None', 'Source']","[9, 11, 16]",Foraging,stu24_ace_p1,2
12,mouseout a related chart,"mark:point;encoding:Creative_Type-nominal-x,Source-nominal-y",1605590835428,2.0722222222222224,modify-1,"['Creative_Type', 'None', 'Source']","[9, 11, 16]",Foraging,stu24_ace_p1,2
13,clicked on a field,add Source,1605590837095,1.0722222222222222,modify-1,"['None', 'None', 'Source']","[9, 16, 16]",Foraging,stu24_ace_p1,2
14,main chart changed because of clicking a field,"mark:point;encoding:-quantitative-size<aggregate>count,Creative_Type-nominal-x,Source-nominal-y",1605590837551,2.0722222222222224,same,"['Creative_Type', 'None', 'Source']","[9, 11, 16]",Foraging,stu24_ace_p1,2
15,mouseover on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Creative_Type-nominal-x,Source-nominal-y",1605590841424,2.0722222222222224,same,"['Creative_Type', 'None', 'Source']","[9, 11, 16]",Sensemaking,stu24_ace_p1,2
16,scroll on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Creative_Type-nominal-x,Source-nominal-y",1605590841928,2.0722222222222224,same,"['Creative_Type', 'None', 'Source']","[9, 11, 16]",Sensemaking,stu24_ace_p1,2
17,scroll on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Creative_Type-nominal-x,Source-nominal-y",1605590845505,2.0722222222222224,same,"['Creative_Type', 'None', 'Source']","[9, 11, 16]",Sensemaking,stu24_ace_p1,2
18,scroll on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Creative_Type-nominal-x,Source-nominal-y",1605590846791,2.0722222222222224,same,"['Creative_Type', 'None', 'Source']","[9, 11, 16]",Sensemaking,stu24_ace_p1,2
19,scroll on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Creative_Type-nominal-x,Source-nominal-y",1605590850802,2.0722222222222224,same,"['Creative_Type', 'None', 'Source']","[9, 11, 16]",Sensemaking,stu24_ace_p1,2
20,mouseout on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Creative_Type-nominal-x,Source-nominal-y",1605590861552,2.0722222222222224,same,"['Creative_Type', 'None', 'Source']","[9, 11, 16]",Sensemaking,stu24_ace_p1,2
21,added chart to bookmark,"mark:point;encoding:-quantitative-size<aggregate>count,Creative_Type-nominal-x,Source-nominal-y",1605590865252,2.0722222222222224,same,"['Creative_Type', 'None', 'Source']","[9, 11, 16]",Sensemaking,stu24_ace_p1,2
0,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1602883493500,0.8777777777777778,modify-1,"['None', 'None', 'Title']","[0, 16, 16]",Foraging,pro5_adf_p1,1
1,clicked on a field,add Creative_Type,1602883494826,1.1,same,"['Creative_Type', 'None', 'None']","[11, 16, 16]",Foraging,pro5_adf_p1,1
2,main chart changed because of clicking a field,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y",1602883501773,1.1,same,"['Creative_Type', 'None', 'None']","[11, 16, 16]",Foraging,pro5_adf_p1,1
3,clicked on a field,remove Creative_Type,1602883502277,1.1,modify-1,"['Creative_Type', 'None', 'None']","[11, 16, 16]",Foraging,pro5_adf_p1,1
4,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1602883512770,0.8777777777777778,same,"['None', 'None', 'Title']","[0, 16, 16]",Foraging,pro5_adf_p1,1
5,scroll on a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1602883513527,0.8777777777777778,same,"['None', 'None', 'Title']","[0, 16, 16]",Foraging,pro5_adf_p1,1
6,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1602883514243,0.8777777777777778,modify-1,"['None', 'None', 'Title']","[0, 16, 16]",Foraging,pro5_adf_p1,1
7,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Release_Date-nominal-y",1602883515695,0.5722222222222222,modify-1,"['None', 'None', 'Release_Date']","[5, 16, 16]",Foraging,pro5_adf_p1,1
8,scroll on a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Distributor-nominal-y",1602883518177,0.5444444444444444,modify-1,"['Distributor', 'None', 'None']","[8, 16, 16]",Foraging,pro5_adf_p1,1
9,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Release_Date-nominal-y",1602883518745,0.5722222222222222,modify-1,"['None', 'None', 'Release_Date']","[5, 16, 16]",Foraging,pro5_adf_p1,1
10,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Distributor-nominal-y",1602883519260,0.5444444444444444,same,"['Distributor', 'None', 'None']","[8, 16, 16]",Foraging,pro5_adf_p1,1
11,scroll on a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Distributor-nominal-y",1602883522343,0.5444444444444444,same,"['Distributor', 'None', 'None']","[8, 16, 16]",Foraging,pro5_adf_p1,1
12,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Distributor-nominal-y",1602883523114,0.5444444444444444,same,"['Distributor', 'None', 'None']","[8, 16, 16]",Foraging,pro5_adf_p1,1
13,scroll on a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Distributor-nominal-y",1602883523843,0.5444444444444444,same,"['Distributor', 'None', 'None']","[8, 16, 16]",Foraging,pro5_adf_p1,1
14,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Distributor-nominal-y",1602883524671,0.5444444444444444,modify-1,"['Distributor', 'None', 'None']","[8, 16, 16]",Foraging,pro5_adf_p1,1
15,mouseover a related chart,mark:tick;encoding:Rotten_Tomatoes_Rating-quantitative-x,1602883570077,0.2666666666666666,same,"['None', 'None', 'Rotten_Tomatoes_Rating']","[13, 16, 16]",Foraging,pro5_adf_p1,1
16,mouseout a related chart,mark:tick;encoding:Rotten_Tomatoes_Rating-quantitative-x,1602883573848,0.2666666666666666,modify-1,"['None', 'None', 'Rotten_Tomatoes_Rating']","[13, 16, 16]",Foraging,pro5_adf_p1,1
17,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Source-nominal-y",1602883579706,1.0722222222222222,same,"['None', 'None', 'Source']","[9, 16, 16]",Foraging,pro5_adf_p1,1
18,scroll on a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Source-nominal-y",1602883580126,1.0722222222222222,same,"['None', 'None', 'Source']","[9, 16, 16]",Foraging,pro5_adf_p1,1
19,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Source-nominal-y",1602883580418,1.0722222222222222,modify-1,"['None', 'None', 'Source']","[9, 16, 16]",Foraging,pro5_adf_p1,1
20,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y",1602883582249,1.1,modify-1,"['Creative_Type', 'None', 'None']","[11, 16, 16]",Foraging,pro5_adf_p1,1
21,scroll on a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Source-nominal-y",1602883583526,1.0722222222222222,same,"['None', 'None', 'Source']","[9, 16, 16]",Foraging,pro5_adf_p1,1
22,scroll on a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Source-nominal-y",1602883587593,1.0722222222222222,same,"['None', 'None', 'Source']","[9, 16, 16]",Foraging,pro5_adf_p1,1
23,scroll on a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Source-nominal-y",1602883588209,1.0722222222222222,same,"['None', 'None', 'Source']","[9, 16, 16]",Foraging,pro5_adf_p1,1
24,scroll on a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Source-nominal-y",1602883589292,1.0722222222222222,same,"['None', 'None', 'Source']","[9, 16, 16]",Foraging,pro5_adf_p1,1
25,scroll on a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Source-nominal-y",1602883598775,1.0722222222222222,same,"['None', 'None', 'Source']","[9, 16, 16]",Foraging,pro5_adf_p1,1
26,scroll on a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Source-nominal-y",1602883600125,1.0722222222222222,same,"['None', 'None', 'Source']","[9, 16, 16]",Foraging,pro5_adf_p1,1
27,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Source-nominal-y",1602883604263,1.0722222222222222,modify-1,"['None', 'None', 'Source']","[9, 16, 16]",Foraging,pro5_adf_p1,1
28,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,MPAA_Rating-nominal-y",1602883605299,0.4333333333333333,modify-1,"['MPAA_Rating', 'None', 'None']","[6, 16, 16]",Foraging,pro5_adf_p1,1
29,scroll on a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1602883606509,0.8777777777777778,modify-1,"['None', 'None', 'Title']","[0, 16, 16]",Foraging,pro5_adf_p1,1
30,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,MPAA_Rating-nominal-y",1602883606777,0.4333333333333333,modify-1,"['MPAA_Rating', 'None', 'None']","[6, 16, 16]",Foraging,pro5_adf_p1,1
31,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1602883611138,0.8777777777777778,modify-1,"['None', 'None', 'Title']","[0, 16, 16]",Foraging,pro5_adf_p1,1
32,scroll on a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Distributor-nominal-y",1602883631242,0.5444444444444444,same,"['Distributor', 'None', 'None']","[8, 16, 16]",Foraging,pro5_adf_p1,1
