participant_id,user,threshold,ncp-1,rank
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,4
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,150
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,26
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,152
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,154
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,25
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,30
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,154
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,158
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,26
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,41
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,40
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,32
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,158
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,46
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,41
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,40
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,27
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,160
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,54
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,162
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,163
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,164
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,166
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,56
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,19
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,167
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,63
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,168
pro10_bdf_p4,pro10_bdf_p4,0.05,0.03211009174311927,170
