User,Accuracy,Algorithm,StateAccuracy
pro10_bdf_p4,0.3391304347826087,Greedy,"[None, None, None]"
pro11_bcf_p4,0.6647058823529411,Greedy,"[None, None, None]"
pro12_bdf_p4,0.6451612903225806,Greedy,"[None, None, None]"
pro14_bdf_p4,0.6058394160583942,Greedy,"[None, None, None]"
pro16_bce_p4,0.6509433962264151,Greedy,"[None, None, None]"
pro19_bcf_p4,0.43820224719101125,Greedy,"[None, None, None]"
pro1_bcf_p4,0.6145833333333334,Greedy,"[None, None, None]"
pro26_bde_p4,0.5246913580246914,Greedy,"[None, None, None]"
pro27_bcf_p4,0.36885245901639346,Greedy,"[None, None, None]"
pro28_bce_p4,0.6782608695652174,Greedy,"[None, None, None]"
pro2_bce_p4,0.5327102803738317,Greedy,"[None, None, None]"
pro30_bde_p4,0.5350553505535055,Greedy,"[None, None, None]"
pro32_bdf_p4,0.44272445820433437,Greedy,"[None, None, None]"
pro4_bce_p4,0.6236559139784946,Greedy,"[None, None, None]"
pro6_bde_p4,0.5789473684210527,Greedy,"[None, None, None]"
pro7_bde_p4,0.6521739130434783,Greedy,"[None, None, None]"
stu12_bdf_p4,0.5769230769230769,Greedy,"[None, None, None]"
stu14_bcf_p4,0.5,Greedy,"[None, None, None]"
stu16_bcf_p4,0.44664031620553357,Greedy,"[None, None, None]"
stu18_bde_p4,0.5978260869565217,Greedy,"[None, None, None]"
stu19_bde_p4,0.5506329113924051,Greedy,"[None, None, None]"
stu1_bce_p4,0.4689265536723164,Greedy,"[None, None, None]"
stu20_bdf_p4,0.5652173913043478,Greedy,"[None, None, None]"
stu22_bde_p4,0.6422764227642277,Greedy,"[None, None, None]"
stu23_bdf_p4,0.5337837837837838,Greedy,"[None, None, None]"
stu27_bdf_p4,0.5336134453781513,Greedy,"[None, None, None]"
stu28_bde_p4,0.6017316017316018,Greedy,"[None, None, None]"
stu2_bce_p4,0.6684350132625995,Greedy,"[None, None, None]"
stu32_bce_p4,0.625,Greedy,"[None, None, None]"
stu33_bce_p4,0.5193370165745856,Greedy,"[None, None, None]"
stu34_bcf_p4,0.5569620253164557,Greedy,"[None, None, None]"
stu35_bde_p4,0.3711340206185567,Greedy,"[None, None, None]"
stu40_bdf_p4,0.3333333333333333,Greedy,"[None, None, None]"
stu5_bcf_p4,0.37142857142857144,Greedy,"[None, None, None]"
stu8_bce_p4,0.6,Greedy,"[None, None, None]"
stu9_bcf_p4,0.7152777777777778,Greedy,"[None, None, None]"
