time, action, visualization
0:00:00,brush,bar-4
0:00:20,brush,hist-3
0:00:21,brush,bar-2
0:00:32,brush,hist-3
0:00:42,brush,bar-2
0:01:27,brush,bar-4
0:01:30,pan,scatterplot-0-1
0:01:43,zoom,scatterplot-0-1
0:01:46,pan,scatterplot-0-1
0:01:50,brush,bar-4
0:01:54,range select,bar-4
0:02:27,pan,scatterplot-0-1
0:02:46,range select,bar-4
0:02:56,zoom,scatterplot-0-1
0:02:58,pan,scatterplot-0-1
0:03:02,range select,bar-4
0:06:13,pan,scatterplot-0-1
0:06:15,zoom,scatterplot-0-1
0:06:17,pan,scatterplot-0-1
0:06:24,zoom,scatterplot-0-1
0:06:29,pan,scatterplot-0-1
0:06:51,range select,bar-4
0:07:11,zoom,scatterplot-0-1
0:07:12,pan,scatterplot-0-1
0:07:15,zoom,scatterplot-0-1
0:07:18,pan,scatterplot-0-1
0:08:34,range select,bar-2
0:08:36,range select,bar-4
0:08:44,range select,bar-2
0:08:47,range select,bar-4
0:09:42,zoom,scatterplot-0-1
0:09:44,pan,scatterplot-0-1
0:09:49,zoom,scatterplot-0-1
0:09:50,pan,scatterplot-0-1
0:10:45,range select,bar-4
0:10:50,zoom,scatterplot-0-1
0:10:54,pan,scatterplot-0-1
0:11:03,range select,scatterplot-0-1
0:11:23,pan,scatterplot-0-1
0:11:29,range select,bar-4
0:11:32,zoom,scatterplot-0-1
0:11:35,pan,scatterplot-0-1
0:12:47,range select,bar-4
0:13:04,zoom,scatterplot-0-1
0:13:09,pan,scatterplot-0-1
0:15:27,zoom,scatterplot-0-1
0:15:29,pan,scatterplot-0-1
0:17:11,range select,bar-4
0:17:45,pan,scatterplot-0-1
0:18:05,zoom,scatterplot-0-1
0:18:10,pan,scatterplot-0-1
0:19:45,zoom,scatterplot-0-1
0:20:56,pan,scatterplot-0-1
0:21:16,range select,bar-4
0:21:41,pan,scatterplot-0-1
0:21:44,zoom,scatterplot-0-1
0:21:50,pan,scatterplot-0-1
0:21:53,zoom,scatterplot-0-1
0:21:54,pan,scatterplot-0-1
0:23:11,range select,bar-4
0:24:39,zoom,scatterplot-0-1
0:24:42,pan,scatterplot-0-1
0:24:52,zoom,scatterplot-0-1
0:24:54,pan,scatterplot-0-1
0:25:05,range select,bar-4
0:25:14,range select,scatterplot-0-1
0:25:53,pan,scatterplot-0-1
0:25:57,range select,scatterplot-0-1
0:26:52,zoom,scatterplot-0-1
0:27:07,range select,bar-4
0:27:11,pan,scatterplot-0-1
0:27:51,zoom,scatterplot-0-1
0:27:52,pan,scatterplot-0-1
0:28:22,range select,scatterplot-0-1
0:28:26,pan,scatterplot-0-1
0:28:28,range select,scatterplot-0-1
0:29:06,pan,scatterplot-0-1
0:29:11,range select,scatterplot-0-1
0:29:36,pan,scatterplot-0-1
0:29:48,range select,scatterplot-0-1
