time, action, visualization
0:00:00,brush,bar-4
0:00:55,zoom,scatterplot-0-1
0:00:56,pan,scatterplot-0-1
0:00:58,zoom,scatterplot-0-1
0:01:03,range select,scatterplot-0-1
0:01:06,pan,scatterplot-0-1
0:01:07,range select,scatterplot-0-1
0:01:56,brush,bar-2
0:01:56,pan,bar-2
0:01:57,range select,bar-2
0:02:09,brush,bar-4
0:04:01,pan,bar-4
0:04:01,range select,bar-4
0:04:21,brush,bar-4
0:04:53,zoom,scatterplot-0-1
0:04:55,pan,scatterplot-0-1
0:04:58,range select,scatterplot-0-1
0:05:51,zoom,scatterplot-0-1
0:05:52,pan,scatterplot-0-1
0:05:56,range select,scatterplot-0-1
0:06:08,zoom,scatterplot-0-1
0:06:09,pan,scatterplot-0-1
0:06:12,range select,scatterplot-0-1
0:06:19,zoom,scatterplot-0-1
0:06:22,range select,scatterplot-0-1
0:07:32,pan,scatterplot-0-1
0:07:33,range select,scatterplot-0-1
0:08:18,pan,scatterplot-0-1
0:08:18,range select,scatterplot-0-1
0:08:20,zoom,scatterplot-0-1
0:08:21,pan,scatterplot-0-1
0:08:39,range select,scatterplot-0-1
0:08:42,brush,bar-4
0:08:44,range select,scatterplot-0-1
0:08:47,pan,scatterplot-0-1
0:08:58,range select,scatterplot-0-1
0:09:00,pan,scatterplot-0-1
0:09:02,range select,scatterplot-0-1
0:09:35,zoom,scatterplot-0-1
0:09:40,pan,scatterplot-0-1
0:09:52,zoom,scatterplot-0-1
0:09:55,pan,scatterplot-0-1
0:09:57,zoom,scatterplot-0-1
0:09:58,pan,scatterplot-0-1
0:10:01,zoom,scatterplot-0-1
0:10:01,pan,scatterplot-0-1
0:10:05,zoom,scatterplot-0-1
0:10:06,pan,scatterplot-0-1
0:10:16,range select,scatterplot-0-1
0:10:23,brush,bar-4
0:10:29,range select,scatterplot-0-1
0:10:35,pan,scatterplot-0-1
0:10:39,range select,scatterplot-0-1
0:11:01,pan,bar-4
0:11:01,range select,bar-4
0:11:04,pan,scatterplot-0-1
0:11:18,pan,bar-4
0:11:18,range select,bar-4
0:11:20,pan,scatterplot-0-1
0:11:27,pan,bar-4
0:11:27,range select,bar-4
0:11:28,pan,bar-4
0:11:28,range select,bar-4
0:11:29,pan,scatterplot-0-1
0:11:32,range select,scatterplot-0-1
0:11:37,pan,bar-4
0:11:37,range select,bar-4
0:11:44,range select,scatterplot-0-1
0:12:34,pan,scatterplot-0-1
0:12:45,range select,scatterplot-0-1
0:13:13,pan,bar-4
0:13:13,range select,bar-4
0:13:20,pan,scatterplot-0-1
0:13:35,range select,scatterplot-0-1
0:13:39,pan,scatterplot-0-1
0:13:41,range select,scatterplot-0-1
0:13:42,pan,scatterplot-0-1
0:13:43,range select,scatterplot-0-1
