time, action, visualization
0:00:00,brush,bar-2
0:00:00,brush,bar-4
0:01:07,brush,bar-2
0:01:08,brush,bar-4
0:01:12,zoom,scatterplot-0-1
0:01:14,pan,scatterplot-0-1
0:01:21,brush,bar-4
0:01:27,zoom,scatterplot-0-1
0:02:21,pan,scatterplot-0-1
0:03:47,brush,bar-4
0:03:51,zoom,scatterplot-0-1
0:07:46,brush,bar-4
0:07:47,brush,bar-2
0:07:47,brush,bar-4
0:08:05,range select,bar-4
0:08:48,brush,bar-4
0:08:49,range select,bar-4
0:09:28,brush,bar-4
0:09:29,range select,bar-4
0:11:56,range select,bar-2
0:14:45,range select,bar-4
0:21:32,range select,hist-3
0:21:58,brush,bar-2
0:22:02,range select,bar-2
0:22:14,range select,hist-3
0:22:24,brush,hist-3
0:22:25,range select,hist-3
0:22:27,range select,bar-2
0:23:00,range select,bar-4
0:23:09,brush,bar-2
0:23:10,range select,bar-2
0:23:41,range select,bar-4
0:23:51,range select,bar-2
0:24:55,range select,bar-4
0:26:10,brush,bar-2
0:26:25,range select,bar-2
0:26:49,zoom,scatterplot-0-1
0:26:50,pan,scatterplot-0-1
0:26:58,range select,scatterplot-0-1
0:27:06,pan,scatterplot-0-1
0:27:18,range select,scatterplot-0-1
0:27:22,pan,scatterplot-0-1
0:27:24,range select,scatterplot-0-1
0:28:34,zoom,scatterplot-0-1
0:28:36,pan,scatterplot-0-1
0:28:41,range select,scatterplot-0-1
0:29:28,pan,scatterplot-0-1
0:29:44,range select,scatterplot-0-1
0:29:48,pan,scatterplot-0-1
0:29:52,range select,scatterplot-0-1
0:31:29,pan,scatterplot-0-1
0:31:34,range select,scatterplot-0-1
0:32:40,pan,scatterplot-0-1
0:32:44,range select,scatterplot-0-1
