time, action, visualization
0:00:00,brush,bar-4
0:01:29,range select,scatterplot-0-1
0:01:52,brush,hist-3
0:01:53,brush,bar-2
0:02:28,brush,bar-4
0:02:33,range select,scatterplot-0-1
0:03:10,range select,bar-4
0:03:20,range select,scatterplot-0-1
0:03:30,range select,bar-4
0:03:40,range select,scatterplot-0-1
0:04:27,brush,hist-3
0:04:30,brush,bar-2
0:04:35,brush,bar-4
0:04:35,brush,bar-2
0:04:35,brush,hist-3
0:04:56,brush,bar-4
0:04:58,pan,scatterplot-0-1
0:04:58,zoom,scatterplot-0-1
0:04:59,pan,scatterplot-0-1
0:05:01,zoom,scatterplot-0-1
0:05:01,brush,bar-4
0:05:01,brush,hist-3
0:05:06,brush,bar-4
0:05:06,pan,scatterplot-0-1
0:05:07,brush,bar-4
0:05:07,brush,hist-3
0:05:07,brush,bar-4
0:05:08,pan,scatterplot-0-1
0:05:09,brush,bar-4
0:05:09,brush,hist-3
0:05:12,brush,bar-4
0:05:13,zoom,scatterplot-0-1
0:05:14,pan,scatterplot-0-1
0:05:17,brush,bar-4
0:05:22,brush,hist-3
0:05:26,range select,hist-3
0:05:34,pan,scatterplot-0-1
0:05:42,brush,hist-3
0:05:42,range select,hist-3
0:06:14,brush,bar-4
0:06:15,brush,hist-3
0:06:35,brush,bar-4
0:06:37,brush,bar-2
0:06:57,brush,hist-3
0:06:57,brush,bar-2
0:06:58,range select,bar-2
0:07:20,brush,bar-4
0:07:32,range select,bar-4
0:07:37,brush,bar-4
0:07:49,range select,bar-4
0:07:56,brush,bar-4
0:09:15,pan,scatterplot-0-1
0:09:15,zoom,scatterplot-0-1
0:09:17,pan,scatterplot-0-1
0:09:20,zoom,scatterplot-0-1
0:09:28,range select,scatterplot-0-1
0:10:39,pan,scatterplot-0-1
0:10:39,zoom,scatterplot-0-1
0:10:42,pan,scatterplot-0-1
0:10:46,range select,scatterplot-0-1
0:10:48,zoom,scatterplot-0-1
0:10:51,range select,scatterplot-0-1
0:10:58,pan,scatterplot-0-1
0:11:00,range select,scatterplot-0-1
0:11:04,pan,scatterplot-0-1
0:11:17,range select,scatterplot-0-1
