time, action, visualization
0:00:00,brush,hist-3
0:00:00,brush,bar-4
0:00:12,pan,scatterplot-0-1
0:00:17,range select,scatterplot-0-1
0:00:25,range select,bar-4
0:00:29,range select,scatterplot-0-1
0:01:37,pan,scatterplot-0-1
0:02:07,range select,scatterplot-0-1
0:06:34,range select,bar-4
0:07:34,range select,hist-3
0:10:22,range select,bar-4
0:11:25,range select,bar-2
0:16:24,range select,scatterplot-0-1
0:18:12,pan,scatterplot-0-1
0:18:16,range select,scatterplot-0-1
0:18:29,pan,scatterplot-0-1
0:18:33,range select,scatterplot-0-1
0:19:17,range select,bar-4
0:19:37,pan,scatterplot-0-1
0:19:46,range select,scatterplot-0-1
0:21:28,range select,bar-4
0:21:44,range select,scatterplot-0-1
0:23:51,brush,bar-4
0:24:38,range select,bar-4
0:24:55,brush,bar-4
0:24:57,range select,bar-4
0:25:07,brush,bar-4
0:25:11,range select,bar-4
0:25:18,brush,bar-4
