User,Accuracy,Threshold
stu9_bcf_p3_logs.csv,0.75,0.1
stu9_bcf_p3_logs.csv,0.7676056338028169,0.2
stu9_bcf_p3_logs.csv,0.782258064516129,0.3
stu9_bcf_p3_logs.csv,0.7757009345794392,0.4
stu9_bcf_p3_logs.csv,0.7415730337078652,0.5
stu9_bcf_p3_logs.csv,0.704225352112676,0.6
stu9_bcf_p3_logs.csv,0.7037037037037037,0.7
stu9_bcf_p3_logs.csv,0.5833333333333334,0.8
stu9_bcf_p3_logs.csv,0.7222222222222222,0.9
pro4_bce_p3_logs.csv,0.6596638655462185,0.1
pro4_bce_p3_logs.csv,0.6509433962264151,0.2
pro4_bce_p3_logs.csv,0.654054054054054,0.3
pro4_bce_p3_logs.csv,0.6289308176100629,0.4
pro4_bce_p3_logs.csv,0.6363636363636364,0.5
pro4_bce_p3_logs.csv,0.5849056603773585,0.6
pro4_bce_p3_logs.csv,0.6,0.7
pro4_bce_p3_logs.csv,0.49056603773584906,0.8
pro4_bce_p3_logs.csv,0.37037037037037035,0.9
stu28_bde_p3_logs.csv,0.7202797202797203,0.1
stu28_bde_p3_logs.csv,0.7480314960629921,0.2
stu28_bde_p3_logs.csv,0.7657657657657657,0.3
stu28_bde_p3_logs.csv,0.7684210526315789,0.4
stu28_bde_p3_logs.csv,0.7341772151898734,0.5
stu28_bde_p3_logs.csv,0.734375,0.6
stu28_bde_p3_logs.csv,0.7708333333333334,0.7
stu28_bde_p3_logs.csv,0.71875,0.8
stu28_bde_p3_logs.csv,0.6875,0.9
stu34_bcf_p3_logs.csv,0.6805555555555556,0.1
stu34_bcf_p3_logs.csv,0.625,0.2
stu34_bcf_p3_logs.csv,0.6428571428571429,0.3
stu34_bcf_p3_logs.csv,0.6666666666666666,0.4
stu34_bcf_p3_logs.csv,0.7,0.5
stu34_bcf_p3_logs.csv,0.703125,0.6
stu34_bcf_p3_logs.csv,0.6666666666666666,0.7
stu34_bcf_p3_logs.csv,0.78125,0.8
