User,Accuracy,Algorithm,StateAccuracy
pro10_bdf_p3,0.5770750988142292,Greedy,"[None, None, None]"
pro11_bcf_p3,0.6106194690265486,Greedy,"[None, None, None]"
pro12_bdf_p3,0.5166666666666667,Greedy,"[None, None, None]"
pro14_bdf_p3,0.5833333333333334,Greedy,"[None, None, None]"
pro16_bce_p3,0.5147058823529411,Greedy,"[None, None, None]"
pro19_bcf_p3,0.628992628992629,Greedy,"[None, None, None]"
pro1_bcf_p3,0.55625,Greedy,"[None, None, None]"
pro26_bde_p3,0.4965034965034965,Greedy,"[None, None, None]"
pro27_bcf_p3,0.5638297872340425,Greedy,"[None, None, None]"
pro28_bce_p3,0.6305418719211823,Greedy,"[None, None, None]"
pro2_bce_p3,0.3829787234042553,Greedy,"[None, None, None]"
pro30_bde_p3,0.71875,Greedy,"[None, None, None]"
pro32_bdf_p3,0.5833333333333334,Greedy,"[None, None, None]"
pro4_bce_p3,0.5893536121673004,Greedy,"[None, None, None]"
pro6_bde_p3,0.6037735849056604,Greedy,"[None, None, None]"
pro7_bde_p3,0.7412587412587412,Greedy,"[None, None, None]"
stu12_bdf_p3,0.7419354838709677,Greedy,"[None, None, None]"
stu14_bcf_p3,0.4913294797687861,Greedy,"[None, None, None]"
stu16_bcf_p3,0.6486486486486487,Greedy,"[None, None, None]"
stu18_bde_p3,0.6521739130434783,Greedy,"[None, None, None]"
stu19_bde_p3,0.42,Greedy,"[None, None, None]"
stu1_bce_p3,0.61875,Greedy,"[None, None, None]"
stu20_bdf_p3,0.6792452830188679,Greedy,"[None, None, None]"
stu22_bde_p3,0.5639810426540285,Greedy,"[None, None, None]"
stu23_bdf_p3,0.6086956521739131,Greedy,"[None, None, None]"
stu27_bdf_p3,0.5493562231759657,Greedy,"[None, None, None]"
stu28_bde_p3,0.6050955414012739,Greedy,"[None, None, None]"
stu2_bce_p3,0.5631067961165048,Greedy,"[None, None, None]"
stu32_bce_p3,0.5963302752293578,Greedy,"[None, None, None]"
stu33_bce_p3,0.6395348837209303,Greedy,"[None, None, None]"
stu34_bcf_p3,0.5886075949367089,Greedy,"[None, None, None]"
stu35_bde_p3,0.3404255319148936,Greedy,"[None, None, None]"
stu40_bdf_p3,0.6096256684491979,Greedy,"[None, None, None]"
stu5_bcf_p3,0.5517241379310345,Greedy,"[None, None, None]"
stu8_bce_p3,0.5873015873015873,Greedy,"[None, None, None]"
stu9_bcf_p3,0.6704545454545454,Greedy,"[None, None, None]"
