Algorithm,User,Threshold,LearningRate,Discount,Temperature,Accuracy,StateAccuracy,Reward
Reinforce,pro1_bcf_p3,0.6,0.1,0.2,,0.5538461538461539,"[None, None, None]",0
Reinforce,pro1_bcf_p3,0.7,0.1,0.05,,0.6122448979591837,"[None, None, None]",0
Reinforce,pro1_bcf_p3,0.8,0.1,0.05,,0.24242424242424243,"[None, None, None]",0
Reinforce,pro1_bcf_p3,0.9,0.01,0.05,,0.7058823529411765,"[None, None, None]",0
Reinforce,pro30_bde_p3,0.05,0.01,0.9,,0.7235772357723578,"[None, None, None]",0
Reinforce,pro30_bde_p3,0.1,0.001,0.05,,0.7094017094017094,"[None, None, None]",0
Reinforce,pro30_bde_p3,0.2,0.01,0.05,,0.6923076923076923,"[None, None, None]",0
Reinforce,pro30_bde_p3,0.3,0.01,0.05,,0.7142857142857143,"[None, None, None]",0
Reinforce,pro30_bde_p3,0.4,0.01,0.8,,0.7435897435897436,"[None, None, None]",0
Reinforce,pro30_bde_p3,0.5,0.01,0.05,,0.7538461538461538,"[None, None, None]",0
Reinforce,pro30_bde_p3,0.6,0.01,0.05,,0.7115384615384616,"[None, None, None]",0
Reinforce,pro30_bde_p3,0.7,0.01,0.05,,0.6923076923076923,"[None, None, None]",0
Reinforce,pro30_bde_p3,0.8,0.1,0.9,,0.6538461538461539,"[None, None, None]",0
Reinforce,pro30_bde_p3,0.9,0.01,0.05,,0.6923076923076923,"[None, None, None]",0
Reinforce,pro28_bce_p3,0.05,0.0001,0.05,,0.4072164948453608,"[None, None, None]",0
Reinforce,pro28_bce_p3,0.1,0.01,0.05,,0.266304347826087,"[None, None, None]",0
Reinforce,pro28_bce_p3,0.2,0.01,0.1,,0.6890243902439024,"[None, None, None]",0
Reinforce,pro28_bce_p3,0.3,0.01,0.1,,0.2727272727272727,"[None, None, None]",0
Reinforce,pro28_bce_p3,0.4,0.01,0.05,,0.7154471544715447,"[None, None, None]",0
Reinforce,pro28_bce_p3,0.5,0.1,0.2,,0.7450980392156863,"[None, None, None]",0
Reinforce,pro28_bce_p3,0.6,0.1,0.2,,0.7073170731707317,"[None, None, None]",0
Reinforce,pro28_bce_p3,0.7,0.01,0.1,,0.7580645161290323,"[None, None, None]",0
Reinforce,pro28_bce_p3,0.8,0.1,0.05,,0.7317073170731707,"[None, None, None]",0
Reinforce,pro28_bce_p3,0.9,0.01,0.05,,0.7619047619047619,"[None, None, None]",0
Reinforce,pro27_bcf_p3,0.05,0.01,0.05,,0.5469613259668509,"[None, None, None]",0
Reinforce,pro27_bcf_p3,0.1,0.01,0.05,,0.5497076023391813,"[None, None, None]",0
Reinforce,pro27_bcf_p3,0.2,0.01,0.8,,0.6052631578947368,"[None, None, None]",0
Reinforce,pro27_bcf_p3,0.3,0.001,0.2,,0.6090225563909775,"[None, None, None]",0
Reinforce,pro27_bcf_p3,0.4,0.1,0.2,,0.6228070175438597,"[None, None, None]",0
Reinforce,pro27_bcf_p3,0.5,0.1,0.5,,0.5894736842105263,"[None, None, None]",0
Reinforce,pro27_bcf_p3,0.6,0.01,0.05,,0.5131578947368421,"[None, None, None]",0
Reinforce,pro27_bcf_p3,0.7,0.01,0.8,,0.5263157894736842,"[None, None, None]",0
Reinforce,pro27_bcf_p3,0.8,0.01,0.05,,0.47368421052631576,"[None, None, None]",0
Reinforce,pro27_bcf_p3,0.9,0.01,0.05,,0.47368421052631576,"[None, None, None]",0
Reinforce,pro6_bde_p3,0.05,0.0001,0.2,,0.3018867924528302,"[None, None, None]",0
Reinforce,pro6_bde_p3,0.1,0.01,0.05,,0.58,"[None, None, None]",0
Reinforce,pro6_bde_p3,0.2,0.01,0.05,,0.6136363636363636,"[None, None, None]",0
Reinforce,pro6_bde_p3,0.3,0.1,0.05,,0.6153846153846154,"[None, None, None]",0
Reinforce,pro6_bde_p3,0.4,0.1,0.5,,0.5454545454545454,"[None, None, None]",0
Reinforce,pro6_bde_p3,0.5,0.01,0.1,,0.5,"[None, None, None]",0
Reinforce,pro6_bde_p3,0.6,0.01,0.2,,0.5909090909090909,"[None, None, None]",0
Reinforce,pro6_bde_p3,0.7,0.01,0.05,,0.5882352941176471,"[None, None, None]",0
Reinforce,pro6_bde_p3,0.8,0.1,0.1,,0.6363636363636364,"[None, None, None]",0
Reinforce,pro6_bde_p3,0.9,0.01,0.8,,0.5,"[None, None, None]",0
Reinforce,pro2_bce_p3,0.05,0.01,0.2,,0.42962962962962964,"[None, None, None]",0
Reinforce,pro2_bce_p3,0.1,0.01,0.05,,0.296875,"[None, None, None]",0
Reinforce,pro2_bce_p3,0.2,0.01,0.1,,0.4473684210526316,"[None, None, None]",0
Reinforce,pro2_bce_p3,0.3,0.01,0.05,,0.4,"[None, None, None]",0
Reinforce,pro2_bce_p3,0.4,0.01,0.2,,0.4883720930232558,"[None, None, None]",0
Reinforce,pro2_bce_p3,0.5,0.01,0.05,,0.39436619718309857,"[None, None, None]",0
Reinforce,pro2_bce_p3,0.6,0.01,0.8,,0.40350877192982454,"[None, None, None]",0
Reinforce,pro2_bce_p3,0.7,0.01,0.05,,0.32558139534883723,"[None, None, None]",0
Reinforce,pro2_bce_p3,0.8,0.1,0.2,,0.1724137931034483,"[None, None, None]",0
Reinforce,pro2_bce_p3,0.9,0.01,0.5,,0.6666666666666666,"[None, None, None]",0
Reinforce,pro10_bdf_p3,0.05,0.001,0.2,,0.6584362139917695,"[None, None, None]",0
Reinforce,pro10_bdf_p3,0.1,0.01,0.05,,0.6434782608695652,"[None, None, None]",0
Reinforce,pro10_bdf_p3,0.2,0.01,0.05,,0.6078431372549019,"[None, None, None]",0
Reinforce,pro10_bdf_p3,0.3,0.1,0.2,,0.6312849162011173,"[None, None, None]",0
Reinforce,pro10_bdf_p3,0.4,0.01,0.5,,0.5882352941176471,"[None, None, None]",0
Reinforce,pro10_bdf_p3,0.5,0.01,0.9,,0.640625,"[None, None, None]",0
Reinforce,pro10_bdf_p3,0.6,0.1,0.1,,0.5980392156862745,"[None, None, None]",0
Reinforce,pro10_bdf_p3,0.7,0.01,0.05,,0.6363636363636364,"[None, None, None]",0
Reinforce,pro10_bdf_p3,0.8,0.01,0.9,,0.6470588235294118,"[None, None, None]",0
Reinforce,pro10_bdf_p3,0.9,0.1,0.2,,0.5769230769230769,"[None, None, None]",0
Reinforce,stu19_bde_p3,0.05,0.001,0.05,,0.5918367346938775,"[None, None, None]",0
Reinforce,stu19_bde_p3,0.1,0.01,0.2,,0.6086956521739131,"[None, None, None]",0
Reinforce,stu19_bde_p3,0.2,0.01,0.1,,0.6585365853658537,"[None, None, None]",0
Reinforce,stu19_bde_p3,0.3,0.01,0.1,,0.6388888888888888,"[None, None, None]",0
Reinforce,stu19_bde_p3,0.4,0.01,0.5,,0.6774193548387096,"[None, None, None]",0
Reinforce,stu19_bde_p3,0.5,0.01,0.05,,0.7692307692307693,"[None, None, None]",0
Reinforce,stu19_bde_p3,0.6,0.01,0.2,,0.7142857142857143,"[None, None, None]",0
Reinforce,stu19_bde_p3,0.7,0.1,0.9,,0.125,"[None, None, None]",0
Reinforce,stu19_bde_p3,0.8,0.01,0.9,,0.7272727272727273,"[None, None, None]",0
