User,Accuracy,Threshold,LearningRate,Discount,Algorithm
pro13_ace_p3,0.3448275862068966,0.1,0,0,HMM
pro13_ace_p3,0.3592233009708738,0.2,0,0,HMM
pro13_ace_p3,0.37777777777777777,0.3,0,0,HMM
pro13_ace_p3,0.38961038961038963,0.4,0,0,HMM
pro13_ace_p3,0.4375,0.5,0,0,HMM
pro13_ace_p3,0.5,0.6,0,0,HMM
pro13_ace_p3,0.46153846153846156,0.7,0,0,HMM
pro13_ace_p3,0.5384615384615384,0.8,0,0,HMM
pro13_ace_p3,0.6153846153846154,0.9,0,0,HMM
pro15_ade_p3,0.4845360824742268,0.1,0,0,HMM
pro15_ade_p3,0.4418604651162791,0.2,0,0,HMM
pro15_ade_p3,0.41333333333333333,0.3,0,0,HMM
pro15_ade_p3,0.4307692307692308,0.4,0,0,HMM
pro15_ade_p3,0.4444444444444444,0.5,0,0,HMM
pro15_ade_p3,0.46511627906976744,0.6,0,0,HMM
pro15_ade_p3,0.42424242424242425,0.7,0,0,HMM
pro15_ade_p3,0.5,0.8,0,0,HMM
pro15_ade_p3,0.2727272727272727,0.9,0,0,HMM
pro17_ace_p3,0.5952380952380952,0.1,0,0,HMM
pro17_ace_p3,0.6071428571428571,0.2,0,0,HMM
pro17_ace_p3,0.6122448979591837,0.3,0,0,HMM
pro17_ace_p3,0.6071428571428571,0.4,0,0,HMM
pro17_ace_p3,0.6714285714285714,0.5,0,0,HMM
pro17_ace_p3,0.7321428571428571,0.6,0,0,HMM
pro17_ace_p3,0.6904761904761905,0.7,0,0,HMM
pro17_ace_p3,0.6785714285714286,0.8,0,0,HMM
pro17_ace_p3,0.5714285714285714,0.9,0,0,HMM
pro18_adf_p3,0.42727272727272725,0.1,0,0,HMM
pro18_adf_p3,0.3979591836734694,0.2,0,0,HMM
pro18_adf_p3,0.3953488372093023,0.3,0,0,HMM
pro18_adf_p3,0.43243243243243246,0.4,0,0,HMM
pro18_adf_p3,0.4098360655737705,0.5,0,0,HMM
pro18_adf_p3,0.46938775510204084,0.6,0,0,HMM
pro18_adf_p3,0.35135135135135137,0.7,0,0,HMM
pro18_adf_p3,0.44,0.8,0,0,HMM
pro18_adf_p3,0.38461538461538464,0.9,0,0,HMM
pro20_ade_p3,0.5490196078431373,0.1,0,0,HMM
pro20_ade_p3,0.5682819383259912,0.2,0,0,HMM
pro20_ade_p3,0.5577889447236181,0.3,0,0,HMM
pro20_ade_p3,0.5529411764705883,0.4,0,0,HMM
pro20_ade_p3,0.5140845070422535,0.5,0,0,HMM
pro20_ade_p3,0.5087719298245614,0.6,0,0,HMM
pro20_ade_p3,0.5176470588235295,0.7,0,0,HMM
