User,Accuracy,Threshold
stu7_ade_p2_logs.csv,0.4166666666666667,0.1
stu7_ade_p2_logs.csv,0.53125,0.2
stu7_ade_p2_logs.csv,0.42857142857142855,0.3
stu7_ade_p2_logs.csv,0.4583333333333333,0.4
stu7_ade_p2_logs.csv,0.5,0.5
stu7_ade_p2_logs.csv,0.5,0.6
stu7_ade_p2_logs.csv,0.3333333333333333,0.7
stu7_ade_p2_logs.csv,0.5,0.8
stu7_ade_p2_logs.csv,0.5,0.9
pro5_adf_p2_logs.csv,0.8571428571428571,0.1
pro5_adf_p2_logs.csv,0.8928571428571429,0.2
pro5_adf_p2_logs.csv,0.8367346938775511,0.3
pro5_adf_p2_logs.csv,0.7857142857142857,0.4
pro5_adf_p2_logs.csv,0.8285714285714286,0.5
pro5_adf_p2_logs.csv,0.8214285714285714,0.6
pro5_adf_p2_logs.csv,0.8571428571428571,0.7
pro5_adf_p2_logs.csv,0.5714285714285714,0.8
pro5_adf_p2_logs.csv,0.2857142857142857,0.9
stu30_adf_p2_logs.csv,0.6470588235294118,0.1
stu30_adf_p2_logs.csv,0.7333333333333333,0.2
stu30_adf_p2_logs.csv,0.7692307692307693,0.3
stu30_adf_p2_logs.csv,0.9090909090909091,0.4
stu30_adf_p2_logs.csv,1.0,0.5
stu30_adf_p2_logs.csv,0.75,0.6
stu30_adf_p2_logs.csv,0.6666666666666666,0.7
stu30_adf_p2_logs.csv,1.0,0.8
stu30_adf_p2_logs.csv,0.0,0.9
stu38_acf_p2_logs.csv,0.5526315789473685,0.1
stu38_acf_p2_logs.csv,0.5588235294117647,0.2
stu38_acf_p2_logs.csv,0.5666666666666667,0.3
stu38_acf_p2_logs.csv,0.5384615384615384,0.4
stu38_acf_p2_logs.csv,0.5238095238095238,0.5
stu38_acf_p2_logs.csv,0.5294117647058824,0.6
stu38_acf_p2_logs.csv,0.5384615384615384,0.7
stu38_acf_p2_logs.csv,0.5555555555555556,0.8
stu38_acf_p2_logs.csv,0.6,0.9
stu10_acf_p2_logs.csv,0.5714285714285714,0.1
stu10_acf_p2_logs.csv,0.5483870967741935,0.2
stu10_acf_p2_logs.csv,0.5925925925925926,0.3
stu10_acf_p2_logs.csv,0.6521739130434783,0.4
stu10_acf_p2_logs.csv,0.6842105263157895,0.5
stu10_acf_p2_logs.csv,0.6875,0.6
stu10_acf_p2_logs.csv,0.6666666666666666,0.7
stu10_acf_p2_logs.csv,0.5,0.8
stu10_acf_p2_logs.csv,0.5,0.9
stu39_adf_p2_logs.csv,0.5,0.1
stu39_adf_p2_logs.csv,0.5208333333333334,0.2
stu39_adf_p2_logs.csv,0.47619047619047616,0.3
stu39_adf_p2_logs.csv,0.5833333333333334,0.4
