Algorithm,User,Threshold,LearningRate,Discount,Temperature,Accuracy,StateAccuracy,Reward
Reinforce,pro24_adf_p2,0.05,0.0001,0.1,,0.30434782608695654,"[None, None, None]",0
Reinforce,pro24_adf_p2,0.1,0.01,0.99,,0.6818181818181818,"[None, None, None]",0
Reinforce,pro24_adf_p2,0.2,0.001,0.5,,0.7,"[None, None, None]",0
Reinforce,pro24_adf_p2,0.3,0.001,0.5,,0.6470588235294118,"[None, None, None]",0
Reinforce,pro24_adf_p2,0.4,0.001,0.05,,0.7333333333333333,"[None, None, None]",0
Reinforce,pro24_adf_p2,0.5,0.01,0.5,,0.75,"[None, None, None]",0
Reinforce,pro24_adf_p2,0.6,0.01,0.05,,0.7,"[None, None, None]",0
Reinforce,pro24_adf_p2,0.7,0.01,0.05,,0.625,"[None, None, None]",0
Reinforce,pro24_adf_p2,0.8,0.01,0.05,,0.8,"[None, None, None]",0
Reinforce,pro24_adf_p2,0.9,0.01,0.05,,1.0,"[None, None, None]",0
Reinforce,pro25_acf_p2,0.05,0.0001,0.1,,0.2916666666666667,"[None, None, None]",0
Reinforce,pro25_acf_p2,0.1,0.1,0.5,,0.2608695652173913,"[None, None, None]",0
Reinforce,pro25_acf_p2,0.2,0.01,0.05,,0.55,"[None, None, None]",0
Reinforce,pro25_acf_p2,0.3,0.01,0.05,,0.5555555555555556,"[None, None, None]",0
Reinforce,pro25_acf_p2,0.4,0.01,0.1,,0.4666666666666667,"[None, None, None]",0
Reinforce,pro25_acf_p2,0.5,0.01,0.05,,0.46153846153846156,"[None, None, None]",0
Reinforce,pro25_acf_p2,0.6,0.01,0.05,,0.5,"[None, None, None]",0
Reinforce,pro25_acf_p2,0.7,0.1,0.1,,0.625,"[None, None, None]",0
Reinforce,pro25_acf_p2,0.8,0.001,0.8,,0.2,"[None, None, None]",0
Reinforce,pro25_acf_p2,0.9,0.01,0.05,,1.0,"[None, None, None]",0
Reinforce,pro13_ace_p2,0.05,0.0001,0.05,,0.3333333333333333,"[None, None, None]",0
Reinforce,pro13_ace_p2,0.1,0.001,0.2,,0.5769230769230769,"[None, None, None]",0
Reinforce,pro13_ace_p2,0.2,0.01,0.2,,0.6086956521739131,"[None, None, None]",0
Reinforce,pro13_ace_p2,0.3,0.01,0.2,,0.6,"[None, None, None]",0
Reinforce,pro13_ace_p2,0.4,0.01,0.2,,0.11764705882352941,"[None, None, None]",0
Reinforce,pro13_ace_p2,0.5,0.01,0.05,,0.07142857142857142,"[None, None, None]",0
Reinforce,pro13_ace_p2,0.6,0.01,0.8,,0.8333333333333334,"[None, None, None]",0
Reinforce,pro13_ace_p2,0.7,0.01,0.2,,0.8888888888888888,"[None, None, None]",0
Reinforce,pro13_ace_p2,0.8,0.001,0.05,,0.8333333333333334,"[None, None, None]",0
Reinforce,pro13_ace_p2,0.9,0.01,0.9,,1.0,"[None, None, None]",0
Reinforce,pro18_adf_p2,0.05,0.0001,0.2,,0.48148148148148145,"[None, None, None]",0
Reinforce,pro18_adf_p2,0.1,0.001,0.2,,0.8461538461538461,"[None, None, None]",0
Reinforce,pro18_adf_p2,0.2,0.01,0.05,,0.8260869565217391,"[None, None, None]",0
Reinforce,pro18_adf_p2,0.3,0.001,0.05,,0.85,"[None, None, None]",0
Reinforce,pro18_adf_p2,0.4,0.01,0.05,,0.8823529411764706,"[None, None, None]",0
Reinforce,pro18_adf_p2,0.5,0.01,0.05,,1.0,"[None, None, None]",0
Reinforce,pro18_adf_p2,0.6,0.01,0.05,,1.0,"[None, None, None]",0
Reinforce,pro18_adf_p2,0.7,0.1,0.2,,1.0,"[None, None, None]",0
Reinforce,pro18_adf_p2,0.8,0.1,0.8,,1.0,"[None, None, None]",0
Reinforce,pro18_adf_p2,0.9,0.01,0.05,,1.0,"[None, None, None]",0
Reinforce,pro31_adf_p2,0.05,0.0001,0.1,,0.5,"[None, None, None]",0
Reinforce,pro31_adf_p2,0.1,0.0001,0.1,,0.23076923076923078,"[None, None, None]",0
Reinforce,pro31_adf_p2,0.2,0.0001,0.9,,0.4166666666666667,"[None, None, None]",0
Reinforce,pro31_adf_p2,0.3,0.001,0.2,,0.4,"[None, None, None]",0
Reinforce,pro31_adf_p2,0.4,0.01,0.2,,0.5555555555555556,"[None, None, None]",0
Reinforce,pro31_adf_p2,0.5,0.01,0.05,,0.2857142857142857,"[None, None, None]",0
Reinforce,pro31_adf_p2,0.6,0.0001,0.2,,0.5,"[None, None, None]",0
Reinforce,pro31_adf_p2,0.7,0.01,0.1,,0.4,"[None, None, None]",0
Reinforce,pro31_adf_p2,0.8,0.001,0.1,,0.6666666666666666,"[None, None, None]",0
Reinforce,pro31_adf_p2,0.9,0.01,0.1,,0.5,"[None, None, None]",0
Reinforce,pro29_ace_p2,0.05,0.0001,0.05,,0.35,"[None, None, None]",0
Reinforce,pro29_ace_p2,0.1,0.0001,0.05,,0.42105263157894735,"[None, None, None]",0
Reinforce,pro29_ace_p2,0.2,0.01,0.05,,0.7647058823529411,"[None, None, None]",0
Reinforce,pro29_ace_p2,0.3,0.0001,0.2,,0.3333333333333333,"[None, None, None]",0
Reinforce,pro29_ace_p2,0.4,0.01,0.5,,0.9230769230769231,"[None, None, None]",0
Reinforce,pro29_ace_p2,0.5,0.0001,0.2,,0.45454545454545453,"[None, None, None]",0
Reinforce,pro29_ace_p2,0.6,0.01,0.05,,1.0,"[None, None, None]",0
Reinforce,pro29_ace_p2,0.7,0.01,0.9,,1.0,"[None, None, None]",0
Reinforce,pro29_ace_p2,0.8,0.01,0.05,,1.0,"[None, None, None]",0
Reinforce,pro29_ace_p2,0.9,0.01,0.9,,1.0,"[None, None, None]",0
Reinforce,pro15_ade_p2,0.05,0.0001,0.5,,0.375,"[None, None, None]",0
Reinforce,pro15_ade_p2,0.1,0.01,0.05,,0.6888888888888889,"[None, None, None]",0
Reinforce,pro15_ade_p2,0.2,0.01,0.05,,0.7,"[None, None, None]",0
Reinforce,pro15_ade_p2,0.3,0.01,0.05,,0.6857142857142857,"[None, None, None]",0
Reinforce,pro15_ade_p2,0.4,0.01,0.5,,0.8,"[None, None, None]",0
Reinforce,pro15_ade_p2,0.5,0.1,0.8,,0.76,"[None, None, None]",0
Reinforce,pro15_ade_p2,0.6,0.001,0.5,,0.7,"[None, None, None]",0
Reinforce,pro15_ade_p2,0.7,0.01,0.1,,0.8,"[None, None, None]",0
Reinforce,pro15_ade_p2,0.8,0.01,0.05,,0.7,"[None, None, None]",0
Reinforce,pro15_ade_p2,0.9,0.01,0.1,,0.8,"[None, None, None]",0
Reinforce,pro20_ade_p2,0.05,0.01,0.05,,0.6363636363636364,"[None, None, None]",0
Reinforce,pro20_ade_p2,0.1,0.01,0.05,,0.6349206349206349,"[None, None, None]",0
Reinforce,pro20_ade_p2,0.2,0.01,0.05,,0.32142857142857145,"[None, None, None]",0
Reinforce,pro20_ade_p2,0.3,0.01,0.99,,0.673469387755102,"[None, None, None]",0
Reinforce,pro20_ade_p2,0.4,0.01,0.5,,0.6428571428571429,"[None, None, None]",0
Reinforce,pro20_ade_p2,0.5,0.01,0.05,,0.22857142857142856,"[None, None, None]",0
Reinforce,pro20_ade_p2,0.6,0.01,0.05,,0.75,"[None, None, None]",0
Reinforce,pro20_ade_p2,0.7,0.1,0.5,,0.7619047619047619,"[None, None, None]",0
Reinforce,pro20_ade_p2,0.8,0.01,0.2,,0.8571428571428571,"[None, None, None]",0
Reinforce,pro20_ade_p2,0.9,0.01,0.05,,1.0,"[None, None, None]",0
Reinforce,pro9_acf_p2,0.05,0.0001,0.99,,0.30434782608695654,"[None, None, None]",0
Reinforce,pro9_acf_p2,0.1,0.0001,0.1,,0.4090909090909091,"[None, None, None]",0
Reinforce,pro9_acf_p2,0.2,0.001,0.2,,0.65,"[None, None, None]",0
Reinforce,pro9_acf_p2,0.3,0.01,0.2,,0.7058823529411765,"[None, None, None]",0
Reinforce,pro9_acf_p2,0.4,0.0001,0.99,,0.26666666666666666,"[None, None, None]",0
Reinforce,pro9_acf_p2,0.5,0.001,0.1,,0.5833333333333334,"[None, None, None]",0
Reinforce,pro9_acf_p2,0.6,0.01,0.99,,0.8,"[None, None, None]",0
Reinforce,pro9_acf_p2,0.7,0.001,0.05,,0.875,"[None, None, None]",0
Reinforce,pro9_acf_p2,0.8,0.001,0.9,,1.0,"[None, None, None]",0
Reinforce,pro9_acf_p2,0.9,0.01,0.05,,1.0,"[None, None, None]",0
Reinforce,pro21_ade_p2,0.05,0.001,0.1,,0.68,"[None, None, None]",0
Reinforce,pro21_ade_p2,0.1,0.001,0.5,,0.647887323943662,"[None, None, None]",0
Reinforce,pro21_ade_p2,0.2,0.01,0.05,,0.6507936507936508,"[None, None, None]",0
Reinforce,pro21_ade_p2,0.3,0.01,0.99,,0.6,"[None, None, None]",0
Reinforce,pro21_ade_p2,0.4,0.01,0.8,,0.6382978723404256,"[None, None, None]",0
Reinforce,pro21_ade_p2,0.5,0.1,0.5,,0.6666666666666666,"[None, None, None]",0
Reinforce,pro21_ade_p2,0.6,0.01,0.05,,0.6875,"[None, None, None]",0
Reinforce,pro21_ade_p2,0.7,0.001,0.1,,0.7083333333333334,"[None, None, None]",0
Reinforce,pro21_ade_p2,0.8,0.001,0.1,,0.875,"[None, None, None]",0
Reinforce,pro21_ade_p2,0.9,0.01,0.05,,0.875,"[None, None, None]",0
Reinforce,pro3_ace_p2,0.05,0.1,0.9,,0.5471698113207547,"[None, None, None]",0
Reinforce,pro3_ace_p2,0.1,0.001,0.2,,0.62,"[None, None, None]",0
Reinforce,pro3_ace_p2,0.2,0.0001,0.9,,0.3181818181818182,"[None, None, None]",0
Reinforce,pro3_ace_p2,0.3,0.01,0.5,,0.05128205128205128,"[None, None, None]",0
Reinforce,pro3_ace_p2,0.4,0.01,0.1,,0.696969696969697,"[None, None, None]",0
Reinforce,pro3_ace_p2,0.5,0.1,0.2,,0.4642857142857143,"[None, None, None]",0
Reinforce,pro3_ace_p2,0.6,0.1,0.2,,0.6363636363636364,"[None, None, None]",0
Reinforce,pro3_ace_p2,0.7,0.01,0.1,,0.7647058823529411,"[None, None, None]",0
Reinforce,pro3_ace_p2,0.8,0.001,0.2,,0.8181818181818182,"[None, None, None]",0
Reinforce,pro3_ace_p2,0.9,0.01,0.8,,0.6666666666666666,"[None, None, None]",0
Reinforce,stu10_acf_p2,0.05,0.0001,0.5,,0.2972972972972973,"[None, None, None]",0
Reinforce,stu10_acf_p2,0.1,0.01,0.9,,0.6857142857142857,"[None, None, None]",0
Reinforce,stu10_acf_p2,0.2,0.01,0.1,,0.7096774193548387,"[None, None, None]",0
Reinforce,stu10_acf_p2,0.3,0.001,0.05,,0.7407407407407407,"[None, None, None]",0
Reinforce,stu10_acf_p2,0.4,0.01,0.9,,0.6956521739130435,"[None, None, None]",0
Reinforce,stu10_acf_p2,0.5,0.01,0.05,,0.7368421052631579,"[None, None, None]",0
Reinforce,stu10_acf_p2,0.6,0.001,0.1,,0.75,"[None, None, None]",0
