User,Accuracy,Threshold
stu7_ade_p3_logs.csv,0.43537414965986393,0.1
stu7_ade_p3_logs.csv,0.4580152671755725,0.2
stu7_ade_p3_logs.csv,0.45217391304347826,0.3
stu7_ade_p3_logs.csv,0.45918367346938777,0.4
stu7_ade_p3_logs.csv,0.47560975609756095,0.5
stu7_ade_p3_logs.csv,0.4393939393939394,0.6
stu7_ade_p3_logs.csv,0.5306122448979592,0.7
stu7_ade_p3_logs.csv,0.5454545454545454,0.8
stu7_ade_p3_logs.csv,0.5882352941176471,0.9
pro5_adf_p3_logs.csv,0.6024096385542169,0.1
pro5_adf_p3_logs.csv,0.6081081081081081,0.2
pro5_adf_p3_logs.csv,0.6307692307692307,0.3
pro5_adf_p3_logs.csv,0.625,0.4
pro5_adf_p3_logs.csv,0.5652173913043478,0.5
pro5_adf_p3_logs.csv,0.5945945945945946,0.6
pro5_adf_p3_logs.csv,0.5714285714285714,0.7
pro5_adf_p3_logs.csv,0.6842105263157895,0.8
pro5_adf_p3_logs.csv,0.4,0.9
stu30_adf_p3_logs.csv,0.6776859504132231,0.1
stu30_adf_p3_logs.csv,0.6759259259259259,0.2
stu30_adf_p3_logs.csv,0.6702127659574468,0.3
stu30_adf_p3_logs.csv,0.6172839506172839,0.4
stu30_adf_p3_logs.csv,0.6716417910447762,0.5
stu30_adf_p3_logs.csv,0.7222222222222222,0.6
stu30_adf_p3_logs.csv,0.7560975609756098,0.7
stu30_adf_p3_logs.csv,0.8148148148148148,0.8
stu30_adf_p3_logs.csv,0.7857142857142857,0.9
stu38_acf_p3_logs.csv,0.5362318840579711,0.1
stu38_acf_p3_logs.csv,0.5434782608695652,0.2
stu38_acf_p3_logs.csv,0.5590062111801242,0.3
stu38_acf_p3_logs.csv,0.5869565217391305,0.4
stu38_acf_p3_logs.csv,0.591304347826087,0.5
stu38_acf_p3_logs.csv,0.6413043478260869,0.6
stu38_acf_p3_logs.csv,0.5942028985507246,0.7
stu38_acf_p3_logs.csv,0.717391304347826,0.8
stu38_acf_p3_logs.csv,0.6086956521739131,0.9
stu10_acf_p3_logs.csv,0.7961783439490446,0.1
stu10_acf_p3_logs.csv,0.8357142857142857,0.2
stu10_acf_p3_logs.csv,0.8360655737704918,0.3
stu10_acf_p3_logs.csv,0.8285714285714286,0.4
stu10_acf_p3_logs.csv,0.8390804597701149,0.5
stu10_acf_p3_logs.csv,0.7428571428571429,0.6
stu10_acf_p3_logs.csv,0.8113207547169812,0.7
stu10_acf_p3_logs.csv,0.8285714285714286,0.8
stu10_acf_p3_logs.csv,1.0,0.9
stu39_adf_p3_logs.csv,0.536723163841808,0.1
stu39_adf_p3_logs.csv,0.5031847133757962,0.2
stu39_adf_p3_logs.csv,0.4782608695652174,0.3
stu39_adf_p3_logs.csv,0.5084745762711864,0.4
stu39_adf_p3_logs.csv,0.47959183673469385,0.5
stu39_adf_p3_logs.csv,0.4810126582278481,0.6
stu39_adf_p3_logs.csv,0.423728813559322,0.7
stu39_adf_p3_logs.csv,0.475,0.8
stu39_adf_p3_logs.csv,0.4,0.9
stu21_ace_p3_logs.csv,0.5232558139534884,0.1
stu21_ace_p3_logs.csv,0.5394736842105263,0.2
stu21_ace_p3_logs.csv,0.5671641791044776,0.3
stu21_ace_p3_logs.csv,0.6140350877192983,0.4
stu21_ace_p3_logs.csv,0.5833333333333334,0.5
stu21_ace_p3_logs.csv,0.6052631578947368,0.6
stu21_ace_p3_logs.csv,0.5862068965517241,0.7
stu21_ace_p3_logs.csv,0.42105263157894735,0.8
stu21_ace_p3_logs.csv,0.4,0.9
pro3_ace_p3_logs.csv,0.5901639344262295,0.1
