User,Accuracy,Algorithm,StateAccuracy
pro13_ace_p3,0.5748031496062992,Greedy,"[None, None, None]"
pro15_ade_p3,0.4528301886792453,Greedy,"[None, None, None]"
pro17_ace_p3,0.5971223021582733,Greedy,"[None, None, None]"
pro18_adf_p3,0.4380165289256198,Greedy,"[None, None, None]"
pro20_ade_p3,0.524822695035461,Greedy,"[None, None, None]"
pro21_ade_p3,0.42911877394636017,Greedy,"[None, None, None]"
pro22_ade_p3,0.5306122448979592,Greedy,"[None, None, None]"
pro23_acf_p3,0.5775401069518716,Greedy,"[None, None, None]"
pro24_adf_p3,0.5131578947368421,Greedy,"[None, None, None]"
pro25_acf_p3,0.352,Greedy,"[None, None, None]"
pro29_ace_p3,0.6101694915254238,Greedy,"[None, None, None]"
pro31_adf_p3,0.696078431372549,Greedy,"[None, None, None]"
pro3_ace_p3,0.42424242424242425,Greedy,"[None, None, None]"
pro5_adf_p3,0.4835164835164835,Greedy,"[None, None, None]"
pro8_acf_p3,0.45614035087719296,Greedy,"[None, None, None]"
pro9_acf_p3,0.4810810810810811,Greedy,"[None, None, None]"
stu10_acf_p3,0.5491329479768786,Greedy,"[None, None, None]"
stu11_adf_p3,0.5384615384615384,Greedy,"[None, None, None]"
stu13_acf_p3,0.5202702702702703,Greedy,"[None, None, None]"
stu15_ade_p3,0.5,Greedy,"[None, None, None]"
stu17_ace_p3,0.3918918918918919,Greedy,"[None, None, None]"
stu21_ace_p3,0.4148936170212766,Greedy,"[None, None, None]"
stu24_ace_p3,0.4114285714285714,Greedy,"[None, None, None]"
stu25_ace_p3,0.6206896551724138,Greedy,"[None, None, None]"
stu26_ace_p3,0.6781609195402298,Greedy,"[None, None, None]"
stu29_ade_p3,0.4779874213836478,Greedy,"[None, None, None]"
stu30_adf_p3,0.5112781954887218,Greedy,"[None, None, None]"
stu31_ade_p3,0.4527027027027027,Greedy,"[None, None, None]"
stu36_adf_p3,0.4405594405594406,Greedy,"[None, None, None]"
stu37_adf_p3,0.4411764705882353,Greedy,"[None, None, None]"
stu38_acf_p3,0.5175438596491229,Greedy,"[None, None, None]"
stu39_adf_p3,0.49230769230769234,Greedy,"[None, None, None]"
stu3_acf_p3,0.6745762711864407,Greedy,"[None, None, None]"
stu4_ade_p3,0.5743243243243243,Greedy,"[None, None, None]"
stu6_acf_p3,0.5645933014354066,Greedy,"[None, None, None]"
stu7_ade_p3,0.3888888888888889,Greedy,"[None, None, None]"
