Algorithm,User,Threshold,LearningRate,Discount,Temperature,Accuracy,StateAccuracy
AC,U_14,0.6,0.5,0.5,1,0.7894736842105263,"[0.8333333333333334, 0.7142857142857143, 0.8333333333333334]"
AC,U_14,0.7,0.001,0.1,1,0.8,"[0.6666666666666666, 0.75, 1.0]"
AC,U_14,0.8,0.001,0.2,1,0.7,"[0.0, 0.75, 0.8]"
AC,U_14,0.9,0.01,0.2,1,0.8,"[0, 0, 0.8]"
AC,U_15,0.05,0.1,0.8,1,0.38028169014084506,"[0.36363636363636365, 0.4117647058823529, 0.2222222222222222]"
AC,U_15,0.1,0.001,0.05,1,0.47761194029850745,"[0.5454545454545454, 0.5106382978723404, 0.2222222222222222]"
AC,U_15,0.2,0.001,0.9,1,0.7166666666666667,"[0.5454545454545454, 0.825, 0.4444444444444444]"
AC,U_15,0.3,0.01,0.05,1,0.7884615384615384,"[0.6363636363636364, 0.8648648648648649, 0.5]"
AC,U_15,0.4,0.001,0.05,1,0.6888888888888889,"[0.45454545454545453, 0.8, 0.5]"
AC,U_15,0.5,0.001,0.1,1,0.7027027027027027,"[0.625, 0.76, 0.5]"
AC,U_15,0.6,0.001,0.2,1,0.7,"[0.75, 0.7777777777777778, 0.25]"
AC,U_15,0.7,0.001,0.5,1,0.6956521739130435,"[0.0, 0.8235294117647058, 0.5]"
AC,U_15,0.8,0.001,0.1,1,0.7333333333333333,"[0.0, 0.8, 1.0]"
AC,U_15,0.9,0.001,0.5,1,0.75,"[0, 0.8333333333333334, 0.5]"
AC,U_16,0.05,0.0001,0.1,1,0.3157894736842105,"[0.2857142857142857, 0.275, 0.5]"
AC,U_16,0.1,0.0001,0.1,1,0.24074074074074073,"[0.0, 0.24324324324324326, 0.4]"
AC,U_16,0.2,0.0001,0.99,1,0.5416666666666666,"[0.5714285714285714, 0.5, 0.6666666666666666]"
AC,U_16,0.3,0.1,0.1,1,0.6904761904761905,"[0.4, 0.75, 0.6666666666666666]"
AC,U_16,0.4,0.01,0.8,1,0.6944444444444444,"[0.4, 0.75, 0.7142857142857143]"
AC,U_16,0.5,0.001,0.8,1,0.6,"[0.25, 0.7368421052631579, 0.42857142857142855]"
AC,U_16,0.6,0.001,0.9,1,0.7083333333333334,"[0.5, 0.6923076923076923, 0.8571428571428571]"
AC,U_16,0.7,0.001,0.2,1,0.5555555555555556,"[0.5, 0.6363636363636364, 0.3333333333333333]"
AC,U_16,0.8,0.001,0.8,1,0.6666666666666666,"[0.5, 0.7142857142857143, 0.6666666666666666]"
AC,U_16,0.9,0.001,0.1,1,0.5,"[0.0, 0.6666666666666666, 1.0]"
AC,U_17,0.05,0.0001,0.2,1,0.39759036144578314,"[0.35, 0.3541666666666667, 0.6]"
AC,U_17,0.1,0.01,0.5,1,0.24050632911392406,"[0.25, 0.1590909090909091, 0.4666666666666667]"
AC,U_17,0.2,0.01,0.05,1,0.34285714285714286,"[0.15789473684210525, 0.4358974358974359, 0.3333333333333333]"
AC,U_17,0.3,0.001,0.5,1,0.7049180327868853,"[0.7368421052631579, 0.7428571428571429, 0.42857142857142855]"
AC,U_17,0.4,0.001,0.99,1,0.6981132075471698,"[0.75, 0.7333333333333333, 0.42857142857142855]"
AC,U_17,0.5,0.01,0.1,1,0.7272727272727273,"[0.8571428571428571, 0.7083333333333334, 0.5]"
AC,U_17,0.6,0.01,0.1,1,0.7428571428571429,"[0.8571428571428571, 0.6875, 0.6]"
AC,U_17,0.7,0.001,0.05,1,0.7037037037037037,"[0.8461538461538461, 0.5555555555555556, 0.6]"
AC,U_17,0.8,0.001,0.05,1,0.7222222222222222,"[0.75, 0.6666666666666666, 0.75]"
AC,U_17,0.9,0.001,0.1,1,0.7777777777777778,"[1.0, 0.75, 0.75]"
AC,U_18,0.05,0.0001,0.5,1,0.34146341463414637,"[0.0, 0.35714285714285715, 0.45]"
AC,U_18,0.1,0.0001,0.05,1,0.2564102564102564,"[0.2857142857142857, 0.15384615384615385, 0.3157894736842105]"
AC,U_18,0.2,0.5,0.8,1,0.8571428571428571,"[0.8571428571428571, 0.7, 0.9444444444444444]"
AC,U_18,0.3,0.01,0.9,1,0.41935483870967744,"[0.7142857142857143, 0.3333333333333333, 0.3333333333333333]"
AC,U_18,0.4,0.01,0.2,1,0.8461538461538461,"[0.8571428571428571, 0.6666666666666666, 0.9230769230769231]"
AC,U_18,0.5,0.5,0.9,1,0.5454545454545454,"[0.14285714285714285, 0.6666666666666666, 0.7777777777777778]"
AC,U_18,0.6,0.001,0.99,1,0.6111111111111112,"[0.42857142857142855, 0.6666666666666666, 0.8]"
AC,U_18,0.7,0.01,0.2,1,0.7692307692307693,"[0.8571428571428571, 0.5, 1.0]"
AC,U_18,0.8,0.001,0.9,1,0.7777777777777778,"[0.75, 0.6666666666666666, 1.0]"
AC,U_18,0.9,0.001,0.5,1,0.6,"[0, 0.6666666666666666, 0.5]"
