User,Threshold,LearningRate,Discount,Accuracy
82316e37-1117-4663-84b4-ddb6455c83b2,0.9,0.01,0.05,
8b544d24-3274-4bb0-9719-fd2bccc87b02,0.05,0.0001,0.8,
8b544d24-3274-4bb0-9719-fd2bccc87b02,0.1,0.001,0.05,
8b544d24-3274-4bb0-9719-fd2bccc87b02,0.2,0.001,0.5,
8b544d24-3274-4bb0-9719-fd2bccc87b02,0.3,0.01,0.99,
8b544d24-3274-4bb0-9719-fd2bccc87b02,0.4,0.001,0.2,
8b544d24-3274-4bb0-9719-fd2bccc87b02,0.5,0.01,0.1,
8b544d24-3274-4bb0-9719-fd2bccc87b02,0.6,0.001,0.2,
8b544d24-3274-4bb0-9719-fd2bccc87b02,0.7,0.01,0.05,
8b544d24-3274-4bb0-9719-fd2bccc87b02,0.8,0.001,0.2,
8b544d24-3274-4bb0-9719-fd2bccc87b02,0.9,0.001,0.5,
8bf5b71b-dfd4-403f-8791-06427b26ccaf,0.05,0.0001,0.05,
8bf5b71b-dfd4-403f-8791-06427b26ccaf,0.1,0.0001,0.1,
8bf5b71b-dfd4-403f-8791-06427b26ccaf,0.2,0.01,0.5,
8bf5b71b-dfd4-403f-8791-06427b26ccaf,0.3,0.001,0.99,
8bf5b71b-dfd4-403f-8791-06427b26ccaf,0.4,0.001,0.2,
8bf5b71b-dfd4-403f-8791-06427b26ccaf,0.5,0.01,0.9,
8bf5b71b-dfd4-403f-8791-06427b26ccaf,0.6,0.001,0.2,
8bf5b71b-dfd4-403f-8791-06427b26ccaf,0.7,0.001,0.2,
8bf5b71b-dfd4-403f-8791-06427b26ccaf,0.8,0.01,0.99,
8bf5b71b-dfd4-403f-8791-06427b26ccaf,0.9,0.01,0.2,
93be0a02-3f7a-46c9-b526-aa956ed00856,0.05,0.001,0.1,
93be0a02-3f7a-46c9-b526-aa956ed00856,0.1,0.0001,0.99,
93be0a02-3f7a-46c9-b526-aa956ed00856,0.2,0.001,0.2,
93be0a02-3f7a-46c9-b526-aa956ed00856,0.3,0.01,0.05,
93be0a02-3f7a-46c9-b526-aa956ed00856,0.4,0.01,0.9,
93be0a02-3f7a-46c9-b526-aa956ed00856,0.5,0.001,0.05,
93be0a02-3f7a-46c9-b526-aa956ed00856,0.6,0.01,0.05,
93be0a02-3f7a-46c9-b526-aa956ed00856,0.7,0.01,0.05,
93be0a02-3f7a-46c9-b526-aa956ed00856,0.8,0.01,0.5,
93be0a02-3f7a-46c9-b526-aa956ed00856,0.9,0.01,0.05,
954edb7c-4eae-47ab-9338-5c5c7eccac2d,0.05,0.0001,0.05,
954edb7c-4eae-47ab-9338-5c5c7eccac2d,0.1,0.001,0.05,
954edb7c-4eae-47ab-9338-5c5c7eccac2d,0.2,0.001,0.2,
954edb7c-4eae-47ab-9338-5c5c7eccac2d,0.3,0.01,0.2,
954edb7c-4eae-47ab-9338-5c5c7eccac2d,0.4,0.001,0.1,
954edb7c-4eae-47ab-9338-5c5c7eccac2d,0.5,0.01,0.9,
954edb7c-4eae-47ab-9338-5c5c7eccac2d,0.6,0.001,0.05,
954edb7c-4eae-47ab-9338-5c5c7eccac2d,0.7,0.001,0.5,
954edb7c-4eae-47ab-9338-5c5c7eccac2d,0.8,0.001,0.1,
954edb7c-4eae-47ab-9338-5c5c7eccac2d,0.9,0.001,0.1,
a6aab5f5-fdb6-41df-9fc6-221d70f8c6e8,0.05,0.001,0.8,
a6aab5f5-fdb6-41df-9fc6-221d70f8c6e8,0.1,0.0001,0.9,
a6aab5f5-fdb6-41df-9fc6-221d70f8c6e8,0.2,0.01,0.9,
a6aab5f5-fdb6-41df-9fc6-221d70f8c6e8,0.3,0.001,0.2,
a6aab5f5-fdb6-41df-9fc6-221d70f8c6e8,0.4,0.001,0.9,
a6aab5f5-fdb6-41df-9fc6-221d70f8c6e8,0.5,0.001,0.8,
a6aab5f5-fdb6-41df-9fc6-221d70f8c6e8,0.6,0.001,0.2,
a6aab5f5-fdb6-41df-9fc6-221d70f8c6e8,0.7,0.001,0.5,
