Algorithm,User,Epsilon,Threshold,LearningRate,Discount,Accuracy,StateAccuracy,Reward
SARSA,U_1,0.01,0.05,0.0001,0.05,0.37662337662337664,"[0.7272727272727273, 0.16279069767441862, 0.5]",1.0
SARSA,U_1,0.1,0.1,0.0001,0.05,0.6712328767123288,"[0.7, 0.7073170731707317, 0.5]",1.0
SARSA,U_1,0.5,0.2,1,0.2,0.4,"[0.5789473684210527, 0.2222222222222222, 0.7]",1.0
SARSA,U_1,0.05,0.3,0.5,0.5,0.5789473684210527,"[0.47368421052631576, 0.6451612903225806, 0.5714285714285714]",1.0
SARSA,U_1,0.1,0.4,0.1,0.5,0.7142857142857143,"[0.8125, 0.6923076923076923, 0.5714285714285714]",1.0
SARSA,U_1,0.05,0.5,0.5,0.9,0.6341463414634146,"[0.5625, 0.7142857142857143, 0.5]",1.0
SARSA,U_1,0.1,0.6,0.5,0.9,0.5151515151515151,"[0.5, 0.6, 0.25]",1.0
SARSA,U_1,0.1,0.7,0.001,0.1,0.68,"[0.75, 0.7, 0.3333333333333333]",1.0
SARSA,U_1,0.05,0.8,0.01,0.05,0.7647058823529411,"[0.875, 0.7142857142857143, 0.5]",1.0
SARSA,U_1,0.1,0.9,0.01,0.05,0.6666666666666666,"[0.75, 0.75, 0.0]",1.0
SARSA,U_10,0.01,0.05,0.01,0.05,0.4107142857142857,"[0.19444444444444445, 0.7571428571428571, 0.14516129032258066]",1.0
SARSA,U_10,0.01,0.1,0.0001,0.8,0.389937106918239,"[0.19444444444444445, 0.746031746031746, 0.13333333333333333]",1.0
SARSA,U_10,0.1,0.2,0.1,0.05,0.624113475177305,"[0.19444444444444445, 0.7058823529411765, 0.8333333333333334]",1.0
SARSA,U_10,0.01,0.3,0.5,0.2,0.7258064516129032,"[0.6363636363636364, 0.7105263157894737, 0.7924528301886793]",1.0
SARSA,U_10,0.1,0.4,0.1,0.5,0.6415094339622641,"[0.34375, 0.6857142857142857, 0.8461538461538461]",1.0
SARSA,U_10,0.01,0.5,0.1,0.05,0.8068181818181818,"[0.8260869565217391, 0.6666666666666666, 0.8947368421052632]",1.0
SARSA,U_10,0.01,0.6,0.5,0.1,0.7887323943661971,"[0.8235294117647058, 0.5714285714285714, 0.9090909090909091]",1.0
SARSA,U_10,0.05,0.7,0.1,0.2,0.8490566037735849,"[0.7857142857142857, 0.5555555555555556, 0.9666666666666667]",1.0
SARSA,U_10,0.01,0.8,0.1,0.1,0.8888888888888888,"[0.5, 0.6, 0.9655172413793104]",1.0
SARSA,U_10,0.01,0.9,0.1,0.1,0.7777777777777778,"[0.5, 0.6, 0.9090909090909091]",1.0
SARSA,U_11,0.01,0.05,0.0001,0.05,0.08333333333333333,"[0.25, 0.0625, 0.0]",1.0
SARSA,U_11,0.01,0.1,0.01,0.99,0.38235294117647056,"[0.25, 0.7857142857142857, 0.0]",1.0
SARSA,U_11,0.5,0.2,0.5,0.9,0.43333333333333335,"[0.25, 0.35714285714285715, 0.5833333333333334]",1.0
SARSA,U_11,0.7,0.3,0.1,0.05,0.5769230769230769,"[1.0, 0.4166666666666667, 0.6666666666666666]",1.0
SARSA,U_11,0.5,0.4,1,0.1,0.5652173913043478,"[0, 0.7272727272727273, 0.4166666666666667]",1.0
SARSA,U_11,0.5,0.5,0.001,0.5,0.5263157894736842,"[0, 0.42857142857142855, 0.5833333333333334]",1.0
SARSA,U_11,0.05,0.6,0.0001,0.2,0.13333333333333333,"[0, 0.6666666666666666, 0.0]",1.0
SARSA,U_11,0.01,0.7,0.5,0.1,0.0,"[0, 0, 0.0]",1.0
SARSA,U_11,0.05,0.8,0.1,0.05,1.0,"[0, 0, 1.0]",1.0
SARSA,U_11,0.01,0.9,1,0.99,1.0,"[0, 0, 1.0]",1.0
SARSA,U_12,0.01,0.05,0.0001,0.05,0.3150684931506849,"[0.7368421052631579, 0.0851063829787234, 0.7142857142857143]",1.0
SARSA,U_12,0.1,0.1,0.0001,0.5,0.2753623188405797,"[0.6875, 0.0851063829787234, 0.6666666666666666]",1.0
SARSA,U_12,0.1,0.2,0.1,0.05,0.7868852459016393,"[0.8, 0.7804878048780488, 0.8]",1.0
SARSA,U_12,0.1,0.3,0.1,0.5,0.7592592592592593,"[0.7692307692307693, 0.7567567567567568, 0.75]",1.0
SARSA,U_12,0.1,0.4,0.0001,0.1,0.7391304347826086,"[0.7272727272727273, 0.7419354838709677, 0.75]",1.0
SARSA,U_12,0.1,0.5,0.01,0.2,0.7368421052631579,"[0.8181818181818182, 0.7083333333333334, 0.6666666666666666]",1.0
SARSA,U_12,0.1,0.6,0.1,0.1,0.7096774193548387,"[0.5, 0.7727272727272727, 0.6666666666666666]",1.0
SARSA,U_12,0.01,0.7,0.1,0.05,0.782608695652174,"[0.8, 0.8, 0.6666666666666666]",1.0
SARSA,U_12,0.01,0.8,0.5,0.05,0.75,"[0.8, 0.7, 1.0]",1.0
SARSA,U_12,0.05,0.9,0.5,0.2,0.75,"[1.0, 0.6, 1.0]",1.0
SARSA,U_13,0.01,0.05,0.0001,0.05,0.5614035087719298,"[0.5, 0.696969696969697, 0.2857142857142857]",1.0
SARSA,U_13,0.7,0.1,0.01,0.99,0.5185185185185185,"[0.7, 0.375, 0.75]",1.0
SARSA,U_13,0.1,0.2,0.5,0.2,0.6666666666666666,"[0.4444444444444444, 0.7037037037037037, 0.75]",1.0
SARSA,U_13,0.5,0.3,0.01,0.8,0.5952380952380952,"[0.6, 0.64, 0.5]",1.0
SARSA,U_13,0.05,0.4,0.1,0.5,0.5555555555555556,"[0.6, 0.7142857142857143, 0.2]",1.0
SARSA,U_13,0.1,0.5,0.01,0.05,0.4666666666666667,"[0.3333333333333333, 0.6470588235294118, 0.2]",1.0
SARSA,U_13,0.5,0.6,0.1,0.99,0.5833333333333334,"[0.3333333333333333, 0.5833333333333334, 0.6666666666666666]",1.0
SARSA,U_13,0.5,0.7,0.001,0.9,0.4444444444444444,"[1.0, 0.5555555555555556, 0.25]",1.0
SARSA,U_13,0.1,0.8,0.5,0.2,0.6666666666666666,"[0.0, 0.6666666666666666, 0.8]",1.0
SARSA,U_13,0.1,0.9,0.5,0.05,0.8333333333333334,"[0, 0.6666666666666666, 1.0]",1.0
SARSA,U_14,0.1,0.05,1,0.8,0.3111111111111111,"[0.2727272727272727, 0.36363636363636365, 0.25]",1.0
SARSA,U_14,0.5,0.1,0.0001,0.99,0.5348837209302325,"[0.5555555555555556, 0.5454545454545454, 0.5]",1.0
SARSA,U_14,0.1,0.2,0.5,0.2,0.39473684210526316,"[0.125, 0.6666666666666666, 0.16666666666666666]",1.0
SARSA,U_14,0.7,0.3,0.01,0.99,0.5151515151515151,"[0.375, 0.5714285714285714, 0.5454545454545454]",1.0
SARSA,U_14,0.1,0.4,0.1,0.1,0.3448275862068966,"[0.25, 0.6363636363636364, 0.1]",1.0
SARSA,U_14,0.1,0.5,0.1,0.5,0.5416666666666666,"[1.0, 0.75, 0.1]",1.0
SARSA,U_14,0.05,0.6,0.5,0.1,0.631578947368421,"[0.3333333333333333, 0.7142857142857143, 0.8333333333333334]",1.0
SARSA,U_14,0.01,0.7,0.5,0.05,0.6,"[0.16666666666666666, 0.75, 1.0]",1.0
SARSA,U_14,0.1,0.8,0.1,0.1,0.7,"[0.0, 0.75, 0.8]",1.0
SARSA,U_14,0.01,0.9,0.5,0.2,1.0,"[0, 0, 1.0]",1.0
SARSA,U_15,0.1,0.05,0.01,0.5,0.15492957746478872,"[0.45454545454545453, 0.058823529411764705, 0.3333333333333333]",1.0
SARSA,U_15,0.1,0.1,0.01,0.2,0.6417910447761194,"[0.36363636363636365, 0.7659574468085106, 0.3333333333333333]",1.0
SARSA,U_15,0.1,0.2,0.0001,0.05,0.7166666666666667,"[0.6363636363636364, 0.825, 0.3333333333333333]",1.0
SARSA,U_15,0.01,0.3,0.5,0.05,0.6923076923076923,"[0.18181818181818182, 0.8648648648648649, 0.5]",1.0
SARSA,U_15,0.1,0.4,0.5,0.1,0.7111111111111111,"[0.45454545454545453, 0.8333333333333334, 0.5]",1.0
SARSA,U_15,0.1,0.5,0.5,0.05,0.5405405405405406,"[0.25, 0.64, 0.5]",1.0
SARSA,U_15,0.1,0.6,0.5,0.9,0.5666666666666667,"[0.25, 0.7222222222222222, 0.5]",1.0
SARSA,U_15,0.1,0.7,1,0.5,0.6521739130434783,"[0.0, 0.7058823529411765, 0.75]",1.0
SARSA,U_15,0.1,0.8,0.5,0.05,0.6,"[0.0, 0.7, 0.6666666666666666]",1.0
SARSA,U_15,0.01,0.9,0.5,0.5,0.625,"[0, 0.8333333333333334, 0.0]",1.0
SARSA,U_16,0.01,0.05,0.01,0.8,0.22807017543859648,"[0.5714285714285714, 0.125, 0.4]",1.0
SARSA,U_16,0.1,0.1,0.0001,0.1,0.6851851851851852,"[0.5714285714285714, 0.7837837837837838, 0.4]",1.0
SARSA,U_16,0.7,0.2,0.0001,0.05,0.5625,"[0.42857142857142855, 0.5625, 0.6666666666666666]",1.0
