User,Epsilon,Threshold,LearningRate,Discount,Accuracy,StateAccuracy
U_14,0.05,0.8,0.1,0.1,0.8,"[0.0, 0.75, 1.0]"
U_14,0.01,0.9,0.5,0.8,1.0,"[0, 0, 1.0]"
U_15,0.01,0.05,0.5,0.9,0.3931034482758621,"[0.72, 0.3333333333333333, 0.2777777777777778]"
U_15,0.1,0.1,0.001,0.9,0.7313432835820896,"[0.6363636363636364, 0.7659574468085106, 0.6666666666666666]"
U_15,0.1,0.2,0.001,0.5,0.7166666666666667,"[0.6363636363636364, 0.825, 0.3333333333333333]"
U_15,0.1,0.3,0.1,0.05,0.75,"[0.7272727272727273, 0.7837837837837838, 0.5]"
U_15,0.01,0.4,0.5,0.5,0.7555555555555555,"[0.6363636363636364, 0.8333333333333334, 0.5]"
U_15,0.01,0.5,0.5,0.05,0.7027027027027027,"[0.5, 0.84, 0.25]"
U_15,0.1,0.6,0.1,0.05,0.7,"[0.625, 0.7777777777777778, 0.5]"
U_15,0.1,0.7,0.1,0.05,0.6521739130434783,"[0.0, 0.7647058823529411, 0.5]"
U_15,0.1,0.8,0.5,0.05,0.5333333333333333,"[0.0, 0.8, 0.0]"
U_15,0.01,0.9,0.5,0.5,0.875,"[0, 0.8333333333333334, 1.0]"
U_16,0.01,0.05,0.0001,0.1,0.23275862068965517,"[0.5, 0.15, 0.35]"
U_16,0.01,0.1,0.5,0.05,0.6296296296296297,"[0.2857142857142857, 0.7567567567567568, 0.4]"
U_16,0.1,0.2,0.1,0.1,0.6041666666666666,"[0.42857142857142855, 0.6875, 0.4444444444444444]"
U_16,0.01,0.3,0.1,0.05,0.6428571428571429,"[0.6, 0.75, 0.3333333333333333]"
U_16,0.01,0.4,0.5,0.9,0.6388888888888888,"[0.6, 0.75, 0.2857142857142857]"
U_16,0.05,0.5,0.0001,0.8,0.6333333333333333,"[0.75, 0.6842105263157895, 0.42857142857142855]"
U_16,0.01,0.6,0.1,0.1,0.5416666666666666,"[0.5, 0.6923076923076923, 0.2857142857142857]"
U_16,0.1,0.7,0.1,0.2,0.6111111111111112,"[0.5, 0.6363636363636364, 0.6666666666666666]"
U_16,0.1,0.8,0.1,0.05,0.6666666666666666,"[0.5, 0.8571428571428571, 0.3333333333333333]"
U_16,0.1,0.9,0.5,0.1,0.5,"[0.5, 0.6666666666666666, 0.0]"
