User,Threshold,LearningRate,Discount,Temperature,Accuracy,StateAccuracy
U_1,0.05,0.0001,0.05,0.0001,0.6883116883116883,"[0.7272727272727273, 0.7209302325581395, 0.5]"
U_1,0.1,0.0001,0.1,0.0001,0.684931506849315,"[0.75, 0.7073170731707317, 0.5]"
U_1,0.2,0.1,0.99,10.0,0.6923076923076923,"[0.6842105263157895, 0.6944444444444444, 0.7]"
U_1,0.3,0.0001,0.8,0.0001,0.7017543859649122,"[0.7894736842105263, 0.7096774193548387, 0.42857142857142855]"
U_1,0.4,0.001,0.1,0.0001,0.6938775510204082,"[0.8125, 0.6923076923076923, 0.42857142857142855]"
U_1,0.5,0.0001,0.2,0.0001,0.7317073170731707,"[0.8125, 0.7142857142857143, 0.5]"
U_1,0.6,0.001,0.1,1.0,0.6666666666666666,"[0.6428571428571429, 0.6666666666666666, 0.75]"
U_1,0.7,0.001,0.5,1.0,0.72,"[0.8333333333333334, 0.7, 0.3333333333333333]"
U_1,0.8,0.001,0.1,1.0,0.7647058823529411,"[0.875, 0.7142857142857143, 0.5]"
U_1,0.9,0.1,0.99,1.0,0.6666666666666666,"[0.5, 0.75, 1.0]"
U_10,0.05,0.0001,0.05,0.0001,0.5416666666666666,"[0.8055555555555556, 0.7571428571428571, 0.14516129032258066]"
U_10,0.1,0.0001,0.1,0.0001,0.389937106918239,"[0.19444444444444445, 0.746031746031746, 0.13333333333333333]"
U_10,0.2,0.001,0.1,0.0001,0.8085106382978723,"[0.8055555555555556, 0.7254901960784313, 0.8888888888888888]"
U_10,0.3,0.001,0.8,1.0,0.7258064516129032,"[0.6363636363636364, 0.7105263157894737, 0.7924528301886793]"
U_10,0.4,0.001,0.9,1.0,0.8018867924528302,"[0.8125, 0.7142857142857143, 0.8717948717948718]"
U_10,0.5,0.0001,0.05,0.0001,0.8068181818181818,"[0.8260869565217391, 0.6666666666666666, 0.8947368421052632]"
U_10,0.6,1.0,0.8,10.0,0.8169014084507042,"[0.7647058823529411, 0.7142857142857143, 0.9090909090909091]"
U_10,0.7,0.01,0.1,5.0,0.5471698113207547,"[0.7857142857142857, 0.4444444444444444, 0.4666666666666667]"
U_10,0.8,0.5,0.5,0.0001,0.8888888888888888,"[0.5, 0.6, 0.9655172413793104]"
U_10,0.9,0.001,0.5,5.0,0.7777777777777778,"[0.5, 0.6, 0.9090909090909091]"
U_11,0.05,0.0001,0.05,10.0,0.3333333333333333,"[0.125, 0.4375, 0.3333333333333333]"
U_11,0.1,0.0001,0.05,1.0,0.2647058823529412,"[0.125, 0.35714285714285715, 0.25]"
U_11,0.2,0.001,0.05,10.0,0.26666666666666666,"[0.25, 0.14285714285714285, 0.4166666666666667]"
U_11,0.3,0.1,0.05,8.0,0.38461538461538464,"[0.5, 0.3333333333333333, 0.4166666666666667]"
U_11,0.4,0.0001,0.05,1.0,0.34782608695652173,"[0, 0.2727272727272727, 0.4166666666666667]"
U_11,0.5,0.001,0.8,1.0,0.8421052631578947,"[0, 0.8571428571428571, 0.8333333333333334]"
U_11,0.6,0.001,0.1,1.0,0.7333333333333333,"[0, 0.3333333333333333, 0.8333333333333334]"
U_11,0.7,0.01,0.9,8.0,0.6666666666666666,"[0, 0, 0.6666666666666666]"
U_11,0.8,0.001,0.5,1.0,1.0,"[0, 0, 1.0]"
U_11,0.9,0.01,0.99,10.0,1.0,"[0, 0, 1.0]"
U_12,0.05,0.0001,0.2,0.0001,0.7534246575342466,"[0.7368421052631579, 0.8297872340425532, 0.2857142857142857]"
U_12,0.1,0.0001,0.9,1.0,0.4492753623188406,"[0.4375, 0.44680851063829785, 0.5]"
U_12,0.2,0.5,0.2,5.0,0.7704918032786885,"[0.8666666666666667, 0.7804878048780488, 0.4]"
U_12,0.3,0.001,0.99,1.0,0.7222222222222222,"[0.6153846153846154, 0.8108108108108109, 0.25]"
U_12,0.4,0.01,0.99,1.0,0.782608695652174,"[0.8181818181818182, 0.8064516129032258, 0.5]"
U_12,0.5,0.001,0.1,0.0001,0.7894736842105263,"[0.8181818181818182, 0.7916666666666666, 0.6666666666666666]"
U_12,0.6,0.01,0.05,1.0,0.7741935483870968,"[0.6666666666666666, 0.8181818181818182, 0.6666666666666666]"
U_12,0.7,0.01,0.8,8.0,0.7391304347826086,"[0.8, 0.7333333333333333, 0.6666666666666666]"
U_12,0.8,0.1,0.5,1.0,0.75,"[0.8, 0.7, 1.0]"
U_12,0.9,0.0001,0.8,0.0001,0.75,"[1.0, 0.6, 1.0]"
U_13,0.05,0.0001,0.1,10.0,0.3157894736842105,"[0.3, 0.36363636363636365, 0.21428571428571427]"
U_13,0.1,0.001,0.2,10.0,0.3888888888888889,"[0.4, 0.40625, 0.3333333333333333]"
U_13,0.2,0.0001,0.1,0.0001,0.6666666666666666,"[0.4444444444444444, 0.7037037037037037, 0.75]"
U_13,0.3,0.0001,0.2,5.0,0.30952380952380953,"[0.2, 0.4, 0.16666666666666666]"
U_13,0.4,0.01,0.8,8.0,0.5555555555555556,"[0.2, 0.6190476190476191, 0.6]"
U_13,0.5,0.001,0.5,1.0,0.6,"[0.0, 0.7058823529411765, 0.6]"
U_13,0.6,0.1,0.8,5.0,0.5416666666666666,"[0.3333333333333333, 0.6666666666666666, 0.4444444444444444]"
U_13,0.7,0.01,0.99,8.0,0.7222222222222222,"[0.0, 0.7777777777777778, 0.75]"
U_13,0.8,0.1,0.05,5.0,0.75,"[0.0, 0.8333333333333334, 0.8]"
U_13,0.9,0.001,0.1,5.0,0.8333333333333334,"[0, 0.6666666666666666, 1.0]"
U_14,0.05,0.0001,0.05,0.0001,0.7777777777777778,"[0.7272727272727273, 0.7727272727272727, 0.8333333333333334]"
U_14,0.1,0.0001,0.2,0.0001,0.4186046511627907,"[0.6666666666666666, 0.09090909090909091, 0.8333333333333334]"
U_14,0.2,0.0001,0.99,0.0001,0.7631578947368421,"[0.75, 0.7222222222222222, 0.8333333333333334]"
U_14,0.3,0.1,0.99,0.0001,0.5151515151515151,"[0.75, 0.5, 0.36363636363636365]"
U_14,0.4,0.0001,0.99,0.0001,0.7586206896551724,"[0.75, 0.6363636363636364, 0.9]"
U_14,0.5,0.001,0.99,1.0,0.5416666666666666,"[0.6666666666666666, 0.625, 0.4]"
U_14,0.6,0.5,0.5,10.0,0.7894736842105263,"[0.8333333333333334, 0.7142857142857143, 0.8333333333333334]"
U_14,0.7,0.001,0.5,1.0,0.8,"[0.8333333333333334, 0.75, 0.8]"
U_14,0.8,0.1,0.2,0.0001,0.7,"[0.0, 0.5, 1.0]"
U_14,0.9,0.01,0.8,1.0,1.0,"[0, 0, 1.0]"
U_15,0.05,0.0001,0.05,10.0,0.3380281690140845,"[0.2727272727272727, 0.3333333333333333, 0.4444444444444444]"
U_15,0.1,0.01,0.9,5.0,0.4626865671641791,"[0.45454545454545453, 0.44680851063829785, 0.5555555555555556]"
U_15,0.2,0.0001,0.99,0.0001,0.7833333333333333,"[0.6363636363636364, 0.85, 0.6666666666666666]"
U_15,0.3,0.0001,0.05,0.0001,0.7884615384615384,"[0.6363636363636364, 0.8648648648648649, 0.5]"
U_15,0.4,0.0001,0.99,0.0001,0.7555555555555555,"[0.6363636363636364, 0.8333333333333334, 0.5]"
U_15,0.5,0.01,0.1,8.0,0.7567567567567568,"[0.625, 0.84, 0.5]"
U_15,0.6,0.01,0.1,8.0,0.6333333333333333,"[0.375, 0.7777777777777778, 0.5]"
U_15,0.7,0.1,0.2,1.0,0.6956521739130435,"[0.0, 0.8235294117647058, 0.5]"
U_15,0.8,0.001,0.5,1.0,0.6,"[0.0, 0.8, 0.3333333333333333]"
U_15,0.9,0.001,0.5,1.0,0.875,"[0, 0.8333333333333334, 1.0]"
U_16,0.05,0.0001,0.05,1.0,0.3508771929824561,"[0.5714285714285714, 0.3, 0.4]"
U_16,0.1,0.01,0.9,10.0,0.5185185185185185,"[0.42857142857142855, 0.5405405405405406, 0.5]"
U_16,0.2,0.0001,0.05,0.0001,0.625,"[0.42857142857142855, 0.75, 0.3333333333333333]"
U_16,0.3,0.5,0.05,0.0001,0.5952380952380952,"[0.4, 0.7142857142857143, 0.3333333333333333]"
U_16,0.4,0.1,0.2,0.0001,0.6388888888888888,"[0.6, 0.75, 0.2857142857142857]"
U_16,0.5,0.001,0.8,0.0001,0.6,"[0.5, 0.7368421052631579, 0.2857142857142857]"
U_16,0.6,0.1,0.05,0.0001,0.4583333333333333,"[0.0, 0.6923076923076923, 0.2857142857142857]"
U_16,0.7,0.01,0.05,5.0,0.4444444444444444,"[0.5, 0.5454545454545454, 0.0]"
U_16,0.8,0.1,0.8,10.0,0.5,"[0.5, 0.42857142857142855, 0.6666666666666666]"
U_16,0.9,0.0001,0.1,0.0001,0.6666666666666666,"[0.5, 0.6666666666666666, 1.0]"
U_17,0.05,0.01,0.99,8.0,0.4819277108433735,"[0.5, 0.4791666666666667, 0.4666666666666667]"
U_17,0.1,0.0001,0.2,0.0001,0.7088607594936709,"[0.75, 0.7272727272727273, 0.6]"
U_17,0.2,0.01,0.9,5.0,0.5571428571428572,"[0.42105263157894735, 0.6666666666666666, 0.4166666666666667]"
U_17,0.3,0.001,0.1,1.0,0.7049180327868853,"[0.7368421052631579, 0.7142857142857143, 0.5714285714285714]"
U_17,0.4,0.0001,0.05,0.0001,0.7358490566037735,"[0.8125, 0.7666666666666667, 0.42857142857142855]"
U_17,0.5,0.01,0.1,5.0,0.6136363636363636,"[0.5714285714285714, 0.7083333333333334, 0.3333333333333333]"
U_17,0.6,1.0,0.05,10.0,0.6,"[0.8571428571428571, 0.4375, 0.4]"
U_17,0.7,0.1,0.05,1.0,0.7037037037037037,"[0.9230769230769231, 0.4444444444444444, 0.6]"
U_17,0.8,0.01,0.05,5.0,0.7777777777777778,"[0.875, 0.6666666666666666, 0.75]"
U_17,0.9,0.01,0.9,8.0,0.7777777777777778,"[1.0, 0.75, 0.75]"
