User,Threshold,LearningRate,Discount,Accuracy,StateAccuracy
44968286-f204-4ad6-a9b5-d95b38e97866,0.05,0.0001,0.5,0.5060240963855421,"[0.5, 0.5416666666666666, 0.4]"
44968286-f204-4ad6-a9b5-d95b38e97866,0.1,0.0001,0.99,0.6455696202531646,"[0.6, 0.6590909090909091, 0.6666666666666666]"
44968286-f204-4ad6-a9b5-d95b38e97866,0.2,0.0001,0.05,0.5428571428571428,"[0.42105263157894735, 0.6153846153846154, 0.5]"
44968286-f204-4ad6-a9b5-d95b38e97866,0.3,0.01,0.2,0.6721311475409836,"[0.5789473684210527, 0.7714285714285715, 0.42857142857142855]"
44968286-f204-4ad6-a9b5-d95b38e97866,0.4,0.001,0.9,0.7547169811320755,"[0.8125, 0.8, 0.42857142857142855]"
44968286-f204-4ad6-a9b5-d95b38e97866,0.5,0.1,0.5,0.7272727272727273,"[0.7857142857142857, 0.75, 0.5]"
44968286-f204-4ad6-a9b5-d95b38e97866,0.6,0.001,0.1,0.7428571428571429,"[0.8571428571428571, 0.6875, 0.6]"
44968286-f204-4ad6-a9b5-d95b38e97866,0.7,0.0001,0.99,0.4444444444444444,"[0.38461538461538464, 0.5555555555555556, 0.4]"
44968286-f204-4ad6-a9b5-d95b38e97866,0.8,0.0001,0.8,0.7777777777777778,"[0.75, 0.6666666666666666, 1.0]"
44968286-f204-4ad6-a9b5-d95b38e97866,0.9,0.001,0.8,0.7777777777777778,"[1.0, 0.75, 0.75]"
6d49fab8-273b-4a91-948b-ecd14556b049,0.05,0.0001,0.99,0.4931506849315068,"[0.2631578947368421, 0.5957446808510638, 0.42857142857142855]"
6d49fab8-273b-4a91-948b-ecd14556b049,0.1,0.0001,0.99,0.5362318840579711,"[0.5625, 0.5531914893617021, 0.3333333333333333]"
6d49fab8-273b-4a91-948b-ecd14556b049,0.2,0.001,0.05,0.6721311475409836,"[0.6666666666666666, 0.7073170731707317, 0.4]"
