User,Epsilon,Threshold,LearningRate,Discount,Accuracy,StateAccuracy
44968286-f204-4ad6-a9b5-d95b38e97866,0.95,0.05,0.0001,0.9,0.27647058823529413,"[0.20454545454545456, 0.3020833333333333, 0.3]"
44968286-f204-4ad6-a9b5-d95b38e97866,0.95,0.1,0.0001,0.2,0.7088607594936709,"[0.75, 0.7272727272727273, 0.6]"
44968286-f204-4ad6-a9b5-d95b38e97866,0.5,0.2,0.0001,0.5,0.7285714285714285,"[0.7894736842105263, 0.7435897435897436, 0.5833333333333334]"
44968286-f204-4ad6-a9b5-d95b38e97866,0.95,0.3,0.1,0.5,0.7377049180327869,"[0.7894736842105263, 0.7714285714285715, 0.42857142857142855]"
44968286-f204-4ad6-a9b5-d95b38e97866,0.95,0.4,0.0001,0.9,0.2641509433962264,"[0.1875, 0.23333333333333334, 0.5714285714285714]"
44968286-f204-4ad6-a9b5-d95b38e97866,0.3,0.5,0.001,0.8,0.75,"[0.8571428571428571, 0.75, 0.5]"
44968286-f204-4ad6-a9b5-d95b38e97866,0.3,0.6,0.0001,0.5,0.2571428571428571,"[0.14285714285714285, 0.3125, 0.4]"
44968286-f204-4ad6-a9b5-d95b38e97866,0.8,0.7,0.0001,0.8,0.7407407407407407,"[0.9230769230769231, 0.5555555555555556, 0.6]"
44968286-f204-4ad6-a9b5-d95b38e97866,0.5,0.8,0.0001,0.05,0.2222222222222222,"[0.125, 0.3333333333333333, 0.25]"
44968286-f204-4ad6-a9b5-d95b38e97866,0.3,0.9,0.1,0.05,0.7777777777777778,"[1.0, 0.75, 0.75]"
6d49fab8-273b-4a91-948b-ecd14556b049,0.95,0.05,0.0001,0.05,0.24161073825503357,"[0.2682926829268293, 0.19148936170212766, 0.5]"
6d49fab8-273b-4a91-948b-ecd14556b049,0.95,0.1,0.001,0.2,0.7681159420289855,"[0.75, 0.8297872340425532, 0.3333333333333333]"
6d49fab8-273b-4a91-948b-ecd14556b049,0.3,0.2,0.1,0.1,0.7704918032786885,"[0.8, 0.8292682926829268, 0.2]"
6d49fab8-273b-4a91-948b-ecd14556b049,0.3,0.3,0.01,0.9,0.7777777777777778,"[0.7692307692307693, 0.8378378378378378, 0.25]"
6d49fab8-273b-4a91-948b-ecd14556b049,0.5,0.4,0.0001,0.05,0.7608695652173914,"[0.8181818181818182, 0.8064516129032258, 0.25]"
6d49fab8-273b-4a91-948b-ecd14556b049,0.3,0.5,0.1,0.5,0.23684210526315788,"[0.18181818181818182, 0.20833333333333334, 0.6666666666666666]"
6d49fab8-273b-4a91-948b-ecd14556b049,0.3,0.6,0.001,0.2,0.7419354838709677,"[0.6666666666666666, 0.8181818181818182, 0.3333333333333333]"
6d49fab8-273b-4a91-948b-ecd14556b049,0.05,0.7,0.0001,0.1,0.7391304347826086,"[0.8, 0.8, 0.3333333333333333]"
6d49fab8-273b-4a91-948b-ecd14556b049,0.5,0.8,0.0001,0.5,0.6875,"[0.8, 0.7, 0.0]"
6d49fab8-273b-4a91-948b-ecd14556b049,0.3,0.9,0.001,0.8,0.625,"[1.0, 0.6, 0.0]"
72a8d170-77ae-400e-b2a5-de9e1d33a714,0.95,0.05,0.0001,0.05,0.6962025316455697,"[0.7708333333333334, 0.6976744186046512, 0.5416666666666666]"
72a8d170-77ae-400e-b2a5-de9e1d33a714,0.95,0.1,0.1,0.5,0.3150684931506849,"[0.25, 0.2926829268292683, 0.5]"
72a8d170-77ae-400e-b2a5-de9e1d33a714,0.5,0.2,0.001,0.2,0.7076923076923077,"[0.7894736842105263, 0.7222222222222222, 0.5]"
