Algorithm,User,Threshold,LearningRate,Discount,Temperature,Accuracy,StateAccuracy,Reward
ActorCritic,U_1,0.05,0.001,0.1,,0.6103896103896104,"[0.7272727272727273, 0.627906976744186, 0.3333333333333333]",1.0
ActorCritic,U_1,0.1,0.001,0.1,,0.6575342465753424,"[0.75, 0.6585365853658537, 0.5]",1.0
ActorCritic,U_1,0.2,0.001,0.05,,0.7076923076923077,"[0.7894736842105263, 0.7222222222222222, 0.5]",1.0
ActorCritic,U_1,0.3,0.001,0.8,,0.6491228070175439,"[0.7368421052631579, 0.6129032258064516, 0.5714285714285714]",1.0
ActorCritic,U_1,0.4,0.001,0.05,,0.6938775510204082,"[0.8125, 0.6923076923076923, 0.42857142857142855]",1.0
ActorCritic,U_1,0.5,0.001,0.1,,0.6829268292682927,"[0.8125, 0.6666666666666666, 0.25]",1.0
ActorCritic,U_1,0.6,0.001,0.2,,0.7575757575757576,"[0.8571428571428571, 0.6666666666666666, 0.75]",1.0
ActorCritic,U_1,0.7,0.001,0.1,,0.76,"[0.75, 0.7, 1.0]",1.0
ActorCritic,U_1,0.8,0.0001,0.1,,0.7647058823529411,"[0.875, 0.7142857142857143, 0.5]",1.0
ActorCritic,U_1,0.9,0.01,0.1,,0.6666666666666666,"[0.75, 0.75, 0.0]",1.0
ActorCritic,U_10,0.05,0.001,0.05,,0.7916666666666666,"[0.8055555555555556, 0.7285714285714285, 0.8548387096774194]",1.0
ActorCritic,U_10,0.1,0.001,0.1,,0.5974842767295597,"[0.6111111111111112, 0.7301587301587301, 0.45]",1.0
ActorCritic,U_10,0.2,0.001,0.05,,0.8014184397163121,"[0.7777777777777778, 0.7254901960784313, 0.8888888888888888]",1.0
ActorCritic,U_10,0.3,0.001,0.8,,0.7983870967741935,"[0.8181818181818182, 0.7105263157894737, 0.8490566037735849]",1.0
ActorCritic,U_10,0.4,0.001,0.1,,0.8018867924528302,"[0.8125, 0.7142857142857143, 0.8717948717948718]",1.0
ActorCritic,U_10,0.5,0.001,0.05,,0.7954545454545454,"[0.8260869565217391, 0.6666666666666666, 0.868421052631579]",1.0
ActorCritic,U_10,0.6,0.001,0.05,,0.8309859154929577,"[0.8235294117647058, 0.7142857142857143, 0.9090909090909091]",1.0
ActorCritic,U_10,0.7,0.001,0.05,,0.8679245283018868,"[0.8571428571428571, 0.5555555555555556, 0.9666666666666667]",1.0
ActorCritic,U_10,0.8,0.001,0.05,,0.8888888888888888,"[0.5, 0.6, 0.9655172413793104]",1.0
ActorCritic,U_10,0.9,0.0001,0.2,,0.6666666666666666,"[0.5, 0.4, 0.8181818181818182]",1.0
ActorCritic,U_11,0.05,0.0001,0.1,,0.1388888888888889,"[0.125, 0.25, 0.0]",1.0
ActorCritic,U_11,0.1,0.001,0.2,,0.20588235294117646,"[0.25, 0.2857142857142857, 0.08333333333333333]",1.0
ActorCritic,U_11,0.2,0.001,0.2,,0.7333333333333333,"[0.25, 0.6428571428571429, 1.0]",1.0
ActorCritic,U_11,0.3,0.001,0.05,,0.7692307692307693,"[0.5, 0.6666666666666666, 0.9166666666666666]",1.0
ActorCritic,U_11,0.4,0.1,0.05,,0.9565217391304348,"[0, 0.9090909090909091, 1.0]",1.0
ActorCritic,U_11,0.5,0.001,0.5,,0.8947368421052632,"[0, 0.7142857142857143, 1.0]",1.0
