User,Threshold,LearningRate,Discount,Temperature,Accuracy
U_13,0.4,0.01,0.2,10.0,0.6944444444444444
U_13,0.5,0.0001,0.1,0.1,0.6666666666666666
U_13,0.6,0.01,0.1,8.0,0.6666666666666666
U_13,0.7,0.01,0.8,10.0,0.6666666666666666
U_13,0.8,0.0001,0.2,0.1,0.6666666666666666
U_13,0.9,0.01,0.1,10.0,0.8333333333333334
U_14,0.05,0.0001,0.05,0.1,0.5777777777777777
U_14,0.1,0.1,0.1,0.1,0.3953488372093023
U_14,0.2,0.001,0.05,0.1,0.7105263157894737
U_14,0.3,0.0001,0.05,0.1,0.6666666666666666
U_14,0.4,0.01,0.1,10.0,0.4827586206896552
U_14,0.5,0.001,0.8,0.1,0.75
U_14,0.6,0.1,0.99,8.0,0.7368421052631579
U_14,0.7,0.01,0.99,1.0,0.8666666666666667
U_14,0.8,0.001,0.8,0.1,0.8
U_14,0.9,0.001,0.1,0.1,1.0
U_15,0.05,0.01,0.1,5.0,0.4225352112676056
U_15,0.1,0.01,0.1,10.0,0.7761194029850746
U_15,0.2,0.0001,0.05,0.1,0.65
U_15,0.3,0.01,0.8,10.0,0.75
U_15,0.4,0.001,0.05,0.1,0.7555555555555555
U_15,0.5,0.01,0.8,10.0,0.6486486486486487
U_15,0.6,0.01,0.05,5.0,0.7
U_15,0.7,0.001,0.05,0.1,0.6956521739130435
U_15,0.8,0.001,0.5,0.1,0.6666666666666666
U_15,0.9,0.01,0.05,10.0,0.875
U_16,0.05,0.0001,0.1,8.0,0.22807017543859648
U_16,0.1,0.0001,0.05,0.1,0.5555555555555556
U_16,0.2,0.001,0.2,0.1,0.6458333333333334
U_16,0.3,0.001,0.1,0.1,0.6190476190476191
U_16,0.4,0.001,0.2,0.1,0.6388888888888888
U_16,0.5,0.001,0.1,1.0,0.7
U_16,0.6,0.001,0.1,0.1,0.5416666666666666
U_16,0.7,0.001,0.8,0.1,0.6111111111111112
U_16,0.8,0.01,0.99,0.1,0.6666666666666666
U_16,0.9,0.0001,0.1,0.1,0.6666666666666666
U_17,0.05,0.0001,0.05,1.0,0.3373493975903614
U_17,0.1,0.0001,0.5,0.1,0.6075949367088608
U_17,0.2,0.001,0.8,0.1,0.7285714285714285
U_17,0.3,0.001,0.1,0.1,0.7377049180327869
U_17,0.4,0.0001,0.1,0.1,0.6792452830188679
U_17,0.5,0.01,0.2,8.0,0.7727272727272727
U_17,0.6,0.1,0.99,5.0,0.5714285714285714
U_17,0.7,0.001,0.1,0.1,0.7037037037037037
U_17,0.8,0.0001,0.9,0.1,0.7777777777777778
U_17,0.9,0.01,0.2,10.0,0.7777777777777778
U_18,0.05,0.0001,0.2,0.1,0.7804878048780488
U_18,0.1,0.001,0.9,8.0,0.38461538461538464
U_18,0.2,0.01,0.2,5.0,0.3142857142857143
U_18,0.3,0.01,0.9,1.0,0.3225806451612903
U_18,0.4,0.0001,0.99,0.1,0.6923076923076923
U_18,0.5,0.001,0.1,1.0,0.7727272727272727
U_18,0.6,0.001,0.2,0.1,0.7777777777777778
U_18,0.7,0.001,0.99,0.1,0.5384615384615384
U_18,0.8,0.001,0.05,0.1,0.7777777777777778
U_18,0.9,0.001,0.8,1.0,0.6
U_19,0.05,0.001,0.05,10.0,0.3333333333333333
U_19,0.1,0.001,0.99,1.0,0.25
U_19,0.2,0.01,0.05,8.0,0.37735849056603776
U_19,0.3,0.01,0.1,8.0,0.5319148936170213
U_19,0.4,0.01,0.1,1.0,0.5
U_19,0.5,0.001,0.05,0.1,0.6363636363636364
U_19,0.6,0.001,0.2,0.1,0.37037037037037035
U_19,0.7,0.001,0.2,0.1,0.2
U_19,0.8,0.001,0.2,0.1,0.0
U_19,0.9,0.0001,0.8,0.1,1.0
U_2,0.05,0.001,0.2,8.0,0.37815126050420167
U_2,0.1,0.01,0.5,10.0,0.7256637168141593
U_2,0.2,0.001,0.9,0.1,0.7
U_2,0.3,0.01,0.05,8.0,0.6818181818181818
U_2,0.4,0.1,0.5,1.0,0.6933333333333334
U_2,0.5,0.001,0.8,0.1,0.6984126984126984
U_2,0.6,0.01,0.8,5.0,0.64
U_2,0.7,0.01,0.5,5.0,0.6052631578947368
U_2,0.8,0.01,0.1,1.0,0.72
U_2,0.9,0.01,0.1,0.1,0.7692307692307693
U_20,0.05,0.0001,0.05,0.1,0.8145161290322581
U_20,0.1,0.01,0.5,5.0,0.7948717948717948
U_20,0.2,0.01,0.05,8.0,0.8076923076923077
U_20,0.3,0.001,0.05,0.1,0.8461538461538461
U_20,0.4,0.0001,0.05,0.1,0.8205128205128205
U_20,0.5,0.001,0.05,0.1,0.8153846153846154
U_20,0.6,0.001,0.05,0.1,0.8461538461538461
U_20,0.7,0.001,0.99,0.1,0.8974358974358975
U_20,0.8,0.01,0.05,10.0,0.8461538461538461
