Algorithm,User,Epsilon,Threshold,LearningRate,Discount,Accuracy,StateAccuracy,Reward
QLearn,data/NDSI-2D/U_1,0.01,0.05,0.0001,0.05,0.37662337662337664,"[0.7272727272727273, 0.16279069767441862, 0.5]",1.0064516129032257
QLearn,data/NDSI-2D/U_1,0.5,0.1,1.0,0.1,0.3835616438356164,"[0.6, 0.2682926829268293, 0.4166666666666667]",1.0068027210884354
QLearn,data/NDSI-2D/U_1,1.0,0.2,0.01,0.99,0.49230769230769234,"[0.631578947368421, 0.3333333333333333, 0.8]",1.0076335877862597
QLearn,data/NDSI-2D/U_1,0.7,0.3,0.1,0.2,0.5263157894736842,"[0.5263157894736842, 0.4838709677419355, 0.7142857142857143]",1.0086956521739132
QLearn,data/NDSI-2D/U_1,0.5,0.4,0.0001,0.9,0.40816326530612246,"[0.25, 0.5, 0.42857142857142855]",1.01010101010101
QLearn,data/NDSI-2D/U_1,1.0,0.5,0.01,0.2,0.5121951219512195,"[0.5625, 0.38095238095238093, 1.0]",1.0120481927710843
QLearn,data/NDSI-2D/U_1,0.5,0.6,1.0,0.2,0.5757575757575758,"[0.5714285714285714, 0.5333333333333333, 0.75]",1.0149253731343286
QLearn,data/NDSI-2D/U_1,1.0,0.7,0.001,0.2,0.44,"[0.5, 0.3, 0.6666666666666666]",1.019607843137255
QLearn,data/NDSI-2D/U_1,1.0,0.8,0.01,0.05,0.47058823529411764,"[0.625, 0.2857142857142857, 0.5]",1.0285714285714285
QLearn,data/NDSI-2D/U_1,0.7,0.9,0.01,0.99,0.2222222222222222,"[0.25, 0.25, 0.0]",1.0526315789473684
QLearn,data/NDSI-2D/U_10,0.01,0.05,0.01,0.5,0.4166666666666667,"[0.2777777777777778, 0.7285714285714285, 0.14516129032258066]",1.0029673590504449
QLearn,data/NDSI-2D/U_10,0.1,0.1,0.001,0.99,0.389937106918239,"[0.25, 0.6825396825396826, 0.16666666666666666]",1.0031347962382444
QLearn,data/NDSI-2D/U_10,1.0,0.2,0.5,0.05,0.46099290780141844,"[0.5555555555555556, 0.35294117647058826, 0.5]",1.0035335689045934
QLearn,data/NDSI-2D/U_10,1.0,0.3,0.5,0.9,0.4838709677419355,"[0.6363636363636364, 0.34210526315789475, 0.49056603773584906]",1.0040160642570282
QLearn,data/NDSI-2D/U_10,0.7,0.4,0.1,0.8,0.5849056603773585,"[0.75, 0.34285714285714286, 0.6666666666666666]",1.0046948356807512
QLearn,data/NDSI-2D/U_10,0.1,0.5,0.01,0.2,0.42045454545454547,"[0.6521739130434783, 0.5925925925925926, 0.15789473684210525]",1.0056497175141244
QLearn,data/NDSI-2D/U_10,1.0,0.6,0.0001,0.1,0.4788732394366197,"[0.35294117647058826, 0.5238095238095238, 0.5151515151515151]",1.006993006993007
QLearn,data/NDSI-2D/U_10,0.5,0.7,1.0,0.1,0.5660377358490566,"[0.5, 0.2222222222222222, 0.7]",1.0093457943925233
QLearn,data/NDSI-2D/U_10,1.0,0.8,0.001,0.2,0.3611111111111111,"[0.5, 0.0, 0.41379310344827586]",1.0136986301369861
QLearn,data/NDSI-2D/U_10,1.0,0.9,0.5,0.9,0.5,"[0.5, 0.6, 0.45454545454545453]",1.027027027027027
QLearn,data/NDSI-2D/U_11,0.01,0.05,0.0001,0.05,0.08333333333333333,"[0.25, 0.0625, 0.0]",1.0136986301369864
QLearn,data/NDSI-2D/U_11,0.1,0.1,0.1,0.05,0.5882352941176471,"[0.25, 0.5714285714285714, 0.8333333333333334]",1.0144927536231885
QLearn,data/NDSI-2D/U_11,1.0,0.2,0.0001,0.2,0.43333333333333335,"[0.75, 0.2857142857142857, 0.5]",1.0163934426229508
QLearn,data/NDSI-2D/U_11,0.7,0.3,0.01,0.8,0.5769230769230769,"[0.0, 0.5833333333333334, 0.6666666666666666]",1.018867924528302
QLearn,data/NDSI-2D/U_11,1.0,0.4,0.5,0.1,0.4782608695652174,"[None, 0.2727272727272727, 0.6666666666666666]",1.0212765957446808
QLearn,data/NDSI-2D/U_11,0.7,0.5,0.5,0.05,0.631578947368421,"[None, 0.42857142857142855, 0.75]",1.0256410256410255
QLearn,data/NDSI-2D/U_11,0.1,0.6,0.001,0.05,0.13333333333333333,"[None, 0.6666666666666666, 0.0]",1.032258064516129
QLearn,data/NDSI-2D/U_11,1.0,0.7,0.01,0.5,0.5833333333333334,"[None, None, 0.5833333333333334]",1.0399999999999998
