Algorithm,User,Epsilon,Threshold,LearningRate,Discount,Accuracy,StateAccuracy,Reward
SARSA,U_1,0.01,0.05,0.0001,0.05,0.4025974025974026,"[0.7727272727272727, 0.18604651162790697, 0.5]",1.0
SARSA,U_1,0.1,0.1,0.0001,0.05,0.6164383561643836,"[0.65, 0.6341463414634146, 0.5]",1.0
SARSA,U_1,0.7,0.2,0.0001,0.8,0.4307692307692308,"[0.5789473684210527, 0.3888888888888889, 0.3]",1.0
SARSA,U_1,0.1,0.3,0.5,0.9,0.5614035087719298,"[0.47368421052631576, 0.6129032258064516, 0.5714285714285714]",1.0
SARSA,U_1,0.5,0.4,0.1,0.9,0.5306122448979592,"[0.625, 0.5, 0.42857142857142855]",1.0
SARSA,U_1,0.01,0.5,0.5,0.2,0.6585365853658537,"[0.625, 0.7142857142857143, 0.5]",1.0
SARSA,U_1,0.5,0.6,0.01,0.99,0.5454545454545454,"[0.5, 0.6666666666666666, 0.25]",1.0
SARSA,U_1,0.1,0.7,0.5,0.05,0.56,"[0.5, 0.7, 0.3333333333333333]",1.0
SARSA,U_1,0.1,0.8,0.1,0.5,0.7647058823529411,"[0.875, 0.7142857142857143, 0.5]",1.0
SARSA,U_1,0.1,0.9,0.5,0.5,0.6666666666666666,"[0.75, 0.75, 0.0]",1.0
SARSA,U_10,0.01,0.05,0.5,0.2,0.5119047619047619,"[0.7222222222222222, 0.7285714285714285, 0.14516129032258066]",1.0
SARSA,U_10,0.5,0.1,0.5,0.5,0.46540880503144655,"[0.5555555555555556, 0.3492063492063492, 0.5333333333333333]",1.0
SARSA,U_10,0.1,0.2,0.1,0.5,0.6312056737588653,"[0.2222222222222222, 0.6666666666666666, 0.8703703703703703]",1.0
SARSA,U_10,0.05,0.3,0.5,0.99,0.7741935483870968,"[0.7878787878787878, 0.5789473684210527, 0.9056603773584906]",1.0
SARSA,U_10,0.1,0.4,0.01,0.2,0.5660377358490566,"[0.15625, 0.6571428571428571, 0.8205128205128205]",1.0
SARSA,U_10,0.01,0.5,0.1,0.1,0.7954545454545454,"[0.8260869565217391, 0.6666666666666666, 0.868421052631579]",1.0
