Algorithm,User,Threshold,LearningRate,Discount,Epsilon,Accuracy,StateAccuracy,Reward
TAMER-Q,data/NDSI-2D/U_12,0.4,0.01,0.05,0.1,0.6333333333333333,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_12,0.5,0.001,0.05,0.01,0.8157894736842105,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_12,0.6,0.0001,0.1,0.05,0.7777777777777778,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_12,0.7,0.01,0.2,0.05,0.7735849056603774,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_12,0.8,0.0001,0.05,0.01,0.8,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_12,0.9,0.0001,0.1,0.01,0.7647058823529411,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_13,0.05,0.0001,0.9,0.01,1.0,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_13,0.1,0.001,0.2,0.5,0.16666666666666666,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_13,0.2,0.001,0.2,0.1,0.75,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_13,0.3,0.0001,0.5,0.01,0.6111111111111112,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_13,0.4,0.001,0.8,0.1,0.625,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_13,0.5,0.5,0.2,0.1,0.7,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_13,0.6,0.5,0.05,0.5,0.3333333333333333,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_13,0.7,0.0001,0.9,0.1,0.6190476190476191,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_13,0.8,0.5,0.1,0.1,0.5833333333333334,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_13,0.9,0.001,0.05,0.01,0.6296296296296297,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_14,0.05,0.0001,0.05,0.01,1.0,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_14,0.1,0.0001,0.05,0.01,1.0,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_14,0.2,0.5,0.99,0.1,0.6666666666666666,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_14,0.3,0.01,0.05,0.05,0.5714285714285714,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_14,0.4,0.5,0.8,0.05,0.5555555555555556,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_14,0.5,0.1,0.2,0.01,0.6956521739130435,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_14,0.6,0.001,0.1,0.05,0.6785714285714286,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_14,0.7,0.001,0.5,0.05,0.625,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_14,0.8,0.01,0.05,0.01,0.7837837837837838,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_14,0.9,0.1,0.9,0.05,0.7380952380952381,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_15,0.05,0.1,0.1,0.5,0.0,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_15,0.1,0.0001,0.2,0.01,0.7142857142857143,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_15,0.2,0.0001,0.1,0.01,0.9285714285714286,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_15,0.3,0.0001,0.05,0.01,0.8181818181818182,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_15,0.4,0.0001,0.8,0.01,0.896551724137931,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_15,0.5,0.1,0.8,0.1,0.7837837837837838,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_15,0.6,0.0001,0.05,0.01,0.8863636363636364,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_15,0.7,0.5,0.9,0.01,0.7647058823529411,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_15,0.8,0.0001,0.8,0.01,0.8305084745762712,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_15,0.9,0.01,0.05,0.1,0.7727272727272727,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_16,0.05,0.001,0.2,0.1,0.5,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_16,0.1,0.5,0.5,0.1,0.8,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_16,0.2,0.001,0.05,0.05,0.8181818181818182,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_16,0.3,0.001,0.8,0.1,0.6470588235294118,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_16,0.4,0.01,0.1,0.01,0.7391304347826086,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_16,0.5,0.01,0.05,0.01,0.7586206896551724,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_16,0.6,0.01,0.1,0.05,0.6571428571428571,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_16,0.7,0.1,0.1,0.1,0.6341463414634146,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_16,0.8,0.1,0.1,0.01,0.6382978723404256,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_16,0.9,0.1,0.1,0.01,0.6981132075471698,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_17,0.05,0.001,0.2,0.1,0.75,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_17,0.1,0.01,0.2,0.1,0.375,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_17,0.2,0.01,0.1,0.1,0.47058823529411764,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_17,0.3,0.001,0.1,0.01,0.6153846153846154,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_17,0.4,0.0001,0.1,0.05,0.6470588235294118,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_17,0.5,0.0001,0.1,0.1,0.6511627906976745,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_17,0.6,0.0001,0.1,0.1,0.6730769230769231,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_17,0.7,0.01,0.5,0.01,0.7166666666666667,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_17,0.8,0.001,0.05,0.01,0.6956521739130435,"[None, None, None]",0
TAMER-Q,data/NDSI-2D/U_17,0.9,0.1,0.8,0.01,0.717948717948718,"[None, None, None]",0
