Algorithm,User,Epsilon,Threshold,LearningRate,Discount,Accuracy,StateAccuracy,Reward
SARSA,data/zheng/processed_interactions/pro13_ace_p4_log,0.01,0.05,0.001,0.1,0.9506578947368421,0,1.0
SARSA,data/zheng/processed_interactions/pro13_ace_p4_log,0.01,0.1,0.1,0.1,0.9444444444444444,0,1.0
SARSA,data/zheng/processed_interactions/pro13_ace_p4_log,0.01,0.2,0.01,0.05,0.97265625,0,1.0
SARSA,data/zheng/processed_interactions/pro13_ace_p4_log,0.01,0.3,0.001,0.9,0.9776785714285714,0,1.0
SARSA,data/zheng/processed_interactions/pro13_ace_p4_log,0.01,0.4,0.01,0.9,0.9739583333333334,0,1.0
SARSA,data/zheng/processed_interactions/pro13_ace_p4_log,0.01,0.5,0.001,0.05,0.96875,0,1.0
SARSA,data/zheng/processed_interactions/pro13_ace_p4_log,0.01,0.6,0.5,0.2,0.96875,0,1.0
SARSA,data/zheng/processed_interactions/pro13_ace_p4_log,0.01,0.7,0.0001,0.05,0.9583333333333334,0,1.0
SARSA,data/zheng/processed_interactions/pro13_ace_p4_log,0.01,0.8,0.001,0.9,0.921875,0,1.0
SARSA,data/zheng/processed_interactions/pro13_ace_p4_log,0.01,0.9,0.0001,0.05,0.84375,0,1.0
SARSA,data/zheng/processed_interactions/pro15_ade_p4_log,0.1,0.05,0.0001,0.9,0.7364864864864865,0,1.0
SARSA,data/zheng/processed_interactions/pro15_ade_p4_log,0.1,0.1,0.01,0.05,0.7178571428571429,0,1.0
SARSA,data/zheng/processed_interactions/pro15_ade_p4_log,0.01,0.2,0.0001,0.99,0.7911646586345381,0,1.0
SARSA,data/zheng/processed_interactions/pro15_ade_p4_log,0.05,0.3,0.1,0.05,0.7889908256880734,0,1.0
SARSA,data/zheng/processed_interactions/pro15_ade_p4_log,0.05,0.4,0.1,0.8,0.786096256684492,0,1.0
SARSA,data/zheng/processed_interactions/pro15_ade_p4_log,0.01,0.5,0.0001,0.99,0.8012820512820513,0,1.0
SARSA,data/zheng/processed_interactions/pro15_ade_p4_log,0.01,0.6,0.0001,0.8,0.792,0,1.0
SARSA,data/zheng/processed_interactions/pro15_ade_p4_log,0.01,0.7,0.01,0.2,0.7978723404255319,0,1.0
SARSA,data/zheng/processed_interactions/pro15_ade_p4_log,0.01,0.8,0.01,0.5,0.7301587301587301,0,1.0
SARSA,data/zheng/processed_interactions/pro15_ade_p4_log,0.01,0.9,0.0001,0.8,0.75,0,1.0
SARSA,data/zheng/processed_interactions/pro17_ace_p4_log,0.01,0.05,0.0001,0.05,0.9428989751098097,0,1.0
SARSA,data/zheng/processed_interactions/pro17_ace_p4_log,0.01,0.1,0.0001,0.5,0.9435857805255023,0,1.0
SARSA,data/zheng/processed_interactions/pro17_ace_p4_log,0.01,0.2,0.0001,0.99,0.9582608695652174,0,1.0
SARSA,data/zheng/processed_interactions/pro17_ace_p4_log,0.01,0.3,0.0001,0.2,0.9602385685884692,0,1.0
SARSA,data/zheng/processed_interactions/pro17_ace_p4_log,0.01,0.4,0.01,0.1,0.9582850521436849,0,1.0
SARSA,data/zheng/processed_interactions/pro17_ace_p4_log,0.01,0.5,0.0001,0.5,0.9499304589707928,0,1.0
SARSA,data/zheng/processed_interactions/pro17_ace_p4_log,0.01,0.6,0.0001,0.99,0.9565217391304348,0,1.0
SARSA,data/zheng/processed_interactions/pro17_ace_p4_log,0.01,0.7,0.01,0.2,0.9791666666666666,0,1.0
SARSA,data/zheng/processed_interactions/pro17_ace_p4_log,0.01,0.8,0.0001,0.05,0.9826388888888888,0,1.0
SARSA,data/zheng/processed_interactions/pro17_ace_p4_log,0.01,0.9,0.01,0.9,0.9722222222222222,0,1.0
