Action,State,TimeStamp,StateActionProbab,IdleTime,Reward,Subtask_Screenshot_Time,Subtask_Idle_Time,ZoomLevel,NDSI,Subtask_Zoom,Angle
start,Foraging,2016-06-14 20:08:20.801,0.4,0.0,0,1,1,0,0.676744,1,0.0
zoom,Navigation,2016-06-14 20:08:37.841,0.4,17.04,0,1,1,1,0.626178375,1,0.0
zoom,Navigation,2016-06-14 20:08:38.252,0.5,0.411,0,1,1,2,0.5911005,1,0.0
pan,Foraging,2016-06-14 20:08:39.159,0.3333333333333333,0.907,0,1,1,2,0.5292859999999999,1,348.3915641914253
zoom,Navigation,2016-06-14 20:08:39.867,0.5714285714285714,0.708,0,1,1,1,0.626178375,1,0.0
zoom,Navigation,2016-06-14 20:08:40.547,0.625,0.68,0,1,1,0,0.676744,1,0.0
zoom,Navigation,2016-06-14 20:08:42.059,0.6666666666666666,1.512,0,1,1,1,0.626178375,1,0.0
pan,Navigation,2016-06-14 20:08:43.566,0.2,1.507,0,1,1,1,0.643234,1,331.8538706555722
pan,Navigation,2016-06-14 20:08:45.107,0.2727272727272727,1.541,0,1,1,1,0.643234,1,2.6391646424559396
zoom,Navigation,2016-06-14 20:08:45.635,0.5833333333333334,0.528,0,1,1,2,0.618309125,1,0.0
pan,Foraging,2016-06-14 20:08:47.134,0.42857142857142855,1.499,0,1,1,2,0.63406,1,15.8593556555323
pan,Foraging,2016-06-14 20:08:50.649,0.5,3.515,0,1,1,2,0.63406,1,350.154290526107
pan,Foraging,2016-06-14 20:08:51.278,0.5555555555555556,0.629,0,1,1,2,0.63406,1,13.586201452965398
zoom,Foraging,2016-06-14 20:08:52.826,0.2,1.548,0,1,1,1,0.626178375,1,0.0
pan,Foraging,2016-06-14 20:08:55.888,0.5454545454545454,3.062,0,1,1,1,0.643234,1,2.7065609706792686
pan,Foraging,2016-06-14 20:08:56.470,0.5833333333333334,0.582,0,1,1,1,0.643234,1,358.7674069152538
pan,Foraging,2016-06-14 20:09:05.442,0.6153846153846154,8.972,0,1,1,1,0.643234,1,346.62632786071737
zoom,Foraging,2016-06-14 20:09:06.380,0.21428571428571427,0.938,0,1,1,0,0.676744,1,0.0
pan,Foraging,2016-06-14 20:09:08.270,0.6,1.89,0,1,1,0,0.676744,1,7.588359226302831
pan,Foraging,2016-06-14 20:09:11.357,0.625,3.087,0,1,1,0,0.676744,1,359.9030841788658
pan,Foraging,2016-06-14 20:09:15.443,0.6470588235294118,4.086,0,1,1,0,0.676744,1,354.20254570510366
pan,Foraging,2016-06-14 20:09:19.552,0.6666666666666666,4.109,0,1,1,0,0.676744,1,357.52523450216654
zoom,Foraging,2016-06-14 20:09:20.204,0.21052631578947367,0.652,0,1,1,1,0.651583625,1,0.0
pan,Foraging,2016-06-14 20:09:22.614,0.65,2.41,0,1,1,1,0.57259225,1,7.143622901456122
pan,Foraging,2016-06-14 20:09:25.173,0.6666666666666666,2.559,0,1,1,1,0.5527610000000001,1,15.868801758729688
pan,Foraging,2016-06-14 20:09:25.990,0.6818181818181818,0.817,0,1,1,1,0.5527610000000001,1,0.4687382116174962
zoom,Navigation,2016-06-14 20:09:27.172,0.6153846153846154,1.182,0,1,1,2,0.651013625,1,0.0
zoom,Navigation,2016-06-14 20:09:27.738,0.6428571428571429,0.566,0,1,1,3,0.6572629999999999,1,0.0
pan,Foraging,2016-06-14 20:09:29.157,0.6956521739130435,1.419,0,1,1,3,0.42908175,1,359.9911437083149
pan,Foraging,2016-06-14 20:09:30.061,0.7083333333333334,0.904,0,1,1,3,0.572109,1,356.45504392269623
pan,Foraging,2016-06-14 20:09:32.384,0.72,2.323,0,1,1,3,0.65253175,1,10.185625278214715
zoom,Navigation,2016-06-14 20:09:32.979,0.6666666666666666,0.595,0,1,1,4,0.591859375,1,0.0
pan,Navigation,2016-06-14 20:09:33.878,0.25,0.899,0,1,1,4,0.631721875,1,349.6495449601603
pan,Navigation,2016-06-14 20:09:35.422,0.29411764705882354,1.544,0,1,1,4,0.627681,1,358.6635632525034
zoom,Navigation,2016-06-14 20:09:36.042,0.6111111111111112,0.62,0,1,1,5,0.584113375,1,0.0
pan,Sensemaking,2016-06-14 20:09:39.232,0.4,3.19,10,1,1,5,0.6766795,1,342.64754078745364
zoom,Navigation,2016-06-14 20:09:50.181,0.631578947368421,10.949,10,2,1,4,0.645461125,1,0.0
zoom,Navigation,2016-06-14 20:09:50.499,0.65,0.318,10,2,1,3,0.47314325,1,0.0
zoom,Navigation,2016-06-14 20:09:51.083,0.6666666666666666,0.584,10,2,1,2,0.66253525,1,0.0
pan,Foraging,2016-06-14 20:09:52.135,0.7307692307692307,1.052,10,2,1,2,0.643423625,1,358.95022807215673
pan,Foraging,2016-06-14 20:09:53.422,0.7407407407407407,1.287,10,2,1,2,0.6078665,1,338.8328691725957
pan,Foraging,2016-06-14 20:09:54.782,0.75,1.36,10,2,1,2,0.66188225,1,13.242902504811283
pan,Foraging,2016-06-14 20:09:55.542,0.7586206896551724,0.76,10,2,1,2,0.6766825,1,344.3980633004076
pan,Foraging,2016-06-14 20:09:56.182,0.7666666666666667,0.64,10,2,1,2,0.643423625,1,146.4662979569956
pan,Foraging,2016-06-14 20:09:57.366,0.7741935483870968,1.184,10,2,1,2,0.6078665,1,335.5460884162142
zoom,Navigation,2016-06-14 20:09:58.203,0.6818181818181818,0.837,0,2,1,1,0.651583625,1,0.0
zoom,Navigation,2016-06-14 20:09:58.371,0.6956521739130435,0.168,0,2,1,0,0.676744,1,0.0
pan,Foraging,2016-06-14 20:09:59.653,0.78125,1.282,0,2,1,0,0.676744,1,3.331485828340287
zoom,Navigation,2016-06-14 20:10:00.564,0.7083333333333334,0.911,0,2,1,1,0.651583625,1,0.0
zoom,Navigation,2016-06-14 20:10:01.187,0.72,0.623,0,2,1,2,0.651013625,1,0.0
pan,Foraging,2016-06-14 20:10:02.358,0.7878787878787878,1.171,0,2,1,2,0.6578195,1,356.7962666824347
pan,Foraging,2016-06-14 20:10:03.270,0.7941176470588235,0.912,0,2,1,2,0.6078665,1,19.560102358834964
