u,Trial,probabsame,minutessame,probabmodify1,minutesmodify1,probabmodify2,minutesmodify2,probabmodify3,minutesmodify3
pro13,0,4,0,4,0,1,0,3,0
pro13,1,11,0,0,0,0,0,0,0
pro15,0,19,0,3,0,1,0,3,0
pro15,1,12,0,2,0,3,0,0,0
pro17,0,29,0,12,0,1,0,0,0
pro17,1,30,0,6,0,6,0,1,0
pro18,0,16,0,0,0,2,0,0,0
pro18,1,6,0,0,0,0,0,0,0
pro20,0,19,0,9,0,3,0,0,0
pro20,1,22,0,2,0,1,0,5,0
pro21,0,24,0,6,0,5,0,1,0
pro21,1,23,0,3,0,6,0,1,0
pro22,0,25,0,14,0,9,0,0,0
pro22,1,17,0,3,0,6,0,3,0
pro23,0,43,0,3,0,6,0,10,0
pro23,1,16,0,3,0,3,0,5,0
pro24,0,10,0,2,0,2,0,1,0
pro24,1,4,0,1,0,0,0,0,0
pro25,0,6,0,4,0,0,0,2,0
pro25,1,3,0,0,0,0,0,0,0
pro29,0,5,0,2,0,1,0,1,0
pro29,1,8,0,0,0,0,0,0,0
pro31,0,3,0,1,0,1,0,1,0
pro31,1,2,0,0,0,0,0,2,0
pro3,0,7,0,5,0,2,0,1,0
pro3,1,22,0,5,0,4,0,0,0
pro5,0,25,0,0,0,2,0,0,0
pro5,1,23,0,5,0,3,0,0,0
pro8,0,33,0,4,0,3,0,12,0
pro8,1,56,0,2,0,4,0,2,0
pro9,0,10,0,1,0,1,0,5,0
pro9,1,3,0,0,0,0,0,0,0
stu10,0,10,0,1,0,1,0,2,0
stu10,1,14,0,0,0,0,0,3,0
stu11,0,6,0,1,0,2,0,0,0
stu11,1,3,0,0,0,0,0,2,0
stu13,0,13,0,0,0,1,0,2,0
stu13,1,1,0,0,0,0,0,1,0
stu15,0,47,0,7,0,10,0,4,0
stu15,1,33,0,17,0,8,0,0,0
stu17,0,5,0,1,0,1,0,0,0
stu17,1,5,0,0,0,2,0,0,0
stu21,0,50,0,49,0,0,0,0,0
stu21,1,16,0,11,0,4,0,5,0
stu24,0,13,0,0,0,1,0,1,0
stu24,1,6,0,2,0,0,0,0,0
stu25,0,12,0,1,0,2,0,1,0
stu25,1,13,0,1,0,0,0,0,0
stu26,0,3,0,1,0,1,0,1,0
stu26,1,9,0,0,0,0,0,0,0
stu29,0,6,0,0,0,1,0,1,0
stu29,1,5,0,1,0,1,0,1,0
stu30,0,4,0,1,0,1,0,1,0
stu30,1,7,0,0,0,0,0,0,0
stu31,0,13,0,4,0,1,0,0,0
stu31,1,9,0,4,0,1,0,1,0
stu36,0,7,0,1,0,1,0,1,0
stu36,1,8,0,3,0,0,0,0,0
stu37,0,19,0,5,0,3,0,6,0
stu37,1,35,0,7,0,1,0,0,0
stu38,0,14,0,0,0,6,0,0,0
stu38,1,9,0,1,0,3,0,3,0
stu39,0,17,0,10,0,0,0,4,0
stu39,1,8,0,10,0,7,0,2,0
stu3,0,27,0,0,0,6,0,8,0
stu3,1,22,0,1,0,2,0,3,0
stu4,0,13,0,1,0,1,0,3,0
stu4,1,12,0,0,0,3,0,0,0
stu6,0,13,0,2,0,5,0,5,0
stu6,1,18,0,4,0,5,0,8,0
stu7,0,6,0,7,0,0,0,0,0
stu7,1,12,0,4,0,8,0,0,0
