u,Task,Dataset,Experiment,Openendedness,Total_interactions,Action_counts
pro20,1,movies,moviesade,focused,69,"{'same': 45, 'modify-1': 21, 'modify-2': 3, 'modify-3': 0}"
pro21,1,movies,moviesade,focused,78,"{'same': 50, 'modify-1': 20, 'modify-2': 6, 'modify-3': 2}"
pro22,1,movies,moviesade,focused,88,"{'same': 44, 'modify-1': 39, 'modify-2': 5, 'modify-3': 0}"
pro23,1,movies,moviesacf,focused,103,"{'same': 61, 'modify-1': 19, 'modify-2': 20, 'modify-3': 3}"
pro24,1,movies,moviesadf,focused,24,"{'same': 16, 'modify-1': 5, 'modify-2': 3, 'modify-3': 0}"
pro25,1,movies,moviesacf,focused,25,"{'same': 15, 'modify-1': 4, 'modify-2': 6, 'modify-3': 0}"
pro29,1,movies,moviesace,focused,21,"{'same': 15, 'modify-1': 4, 'modify-2': 2, 'modify-3': 0}"
pro31,1,movies,moviesadf,focused,14,"{'same': 7, 'modify-1': 5, 'modify-2': 2, 'modify-3': 0}"
pro3,1,movies,moviesace,focused,55,"{'same': 30, 'modify-1': 14, 'modify-2': 8, 'modify-3': 3}"
pro5,1,movies,moviesadf,focused,70,"{'same': 50, 'modify-1': 6, 'modify-2': 14, 'modify-3': 0}"
pro8,1,movies,moviesacf,focused,127,"{'same': 91, 'modify-1': 9, 'modify-2': 25, 'modify-3': 2}"
pro9,1,movies,moviesacf,focused,24,"{'same': 15, 'modify-1': 3, 'modify-2': 6, 'modify-3': 0}"
stu10,1,movies,moviesacf,focused,38,"{'same': 25, 'modify-1': 3, 'modify-2': 8, 'modify-3': 2}"
stu11,1,movies,moviesadf,focused,18,"{'same': 11, 'modify-1': 5, 'modify-2': 2, 'modify-3': 0}"
stu13,1,movies,moviesacf,focused,22,"{'same': 16, 'modify-1': 2, 'modify-2': 3, 'modify-3': 1}"
stu15,1,movies,moviesade,focused,142,"{'same': 82, 'modify-1': 43, 'modify-2': 17, 'modify-3': 0}"
stu17,1,movies,moviesace,focused,18,"{'same': 12, 'modify-1': 4, 'modify-2': 2, 'modify-3': 0}"
stu21,1,movies,moviesace,focused,139,"{'same': 69, 'modify-1': 67, 'modify-2': 3, 'modify-3': 0}"
stu24,1,movies,moviesace,focused,27,"{'same': 21, 'modify-1': 4, 'modify-2': 2, 'modify-3': 0}"
stu25,1,movies,moviesace,focused,36,"{'same': 27, 'modify-1': 3, 'modify-2': 6, 'modify-3': 0}"
stu26,1,movies,moviesace,focused,19,"{'same': 14, 'modify-1': 3, 'modify-2': 2, 'modify-3': 0}"
stu29,1,movies,moviesade,focused,20,"{'same': 13, 'modify-1': 5, 'modify-2': 2, 'modify-3': 0}"
stu30,1,movies,moviesadf,focused,18,"{'same': 13, 'modify-1': 3, 'modify-2': 2, 'modify-3': 0}"
stu31,1,movies,moviesade,focused,39,"{'same': 24, 'modify-1': 13, 'modify-2': 1, 'modify-3': 1}"
stu36,1,movies,moviesadf,focused,25,"{'same': 17, 'modify-1': 6, 'modify-2': 2, 'modify-3': 0}"
stu37,1,movies,moviesadf,focused,89,"{'same': 56, 'modify-1': 19, 'modify-2': 14, 'modify-3': 0}"
stu38,1,movies,moviesacf,focused,42,"{'same': 25, 'modify-1': 7, 'modify-2': 10, 'modify-3': 0}"
stu39,1,movies,moviesadf,focused,60,"{'same': 26, 'modify-1': 29, 'modify-2': 5, 'modify-3': 0}"
